,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,440.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,2,395.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.1980211987239261,0.8019788012760739,0.5,0.5,0.0,0.0,-0.5,0.5
2,3,351.1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.8019788012760739,0.1980211987239261,0.8019788012760739,0.1980211987239261,0.8019788012760739,0.0,0.0,0.8019788012760739,-0.8019788012760739
3,4,414.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.3176176071597309,0.1980211987239261,0.8019788012760739,0.682382392840269,0.3176176071597309,0.0,0.0,-0.682382392840269,0.682382392840269
4,5,290.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.1980211987239261,0.1980211987239261,0.8019788012760739,0.2702523588366622,0.7297476411633377,0.8019788012760739,-0.8019788012760739,0.0,0.0
5,6,285.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7297476411633377,0.682382392840269,0.3176176071597309,0.2702523588366622,0.7297476411633377,0.0,0.0,-0.2702523588366622,0.2702523588366623
6,7,364.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.682382392840269,0.682382392840269,0.3176176071597309,0.10703139210960894,0.892968607890391,0.317617607159731,-0.3176176071597309,0.0,0.0
7,8,412.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.87420996138881,0.87420996138881,0.12579003861118992,0.10703139210960894,0.892968607890391,0.12579003861118998,-0.12579003861118992,0.0,0.0
8,9,375.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9501818115333664,0.9501818115333664,0.04981818846663355,0.10703139210960894,0.892968607890391,0.04981818846663355,-0.04981818846663355,0.0,0.0
9,10,423.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9802698852031655,0.9802698852031655,0.01973011479683449,0.10703139210960894,0.892968607890391,0.019730114796834508,-0.01973011479683449,0.0,0.0
10,11,386.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9921860380339403,0.9921860380339403,0.007813961966059674,0.10703139210960894,0.892968607890391,0.007813961966059657,-0.007813961966059674,0.0,0.0
11,12,334.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.892968607890391,0.9969053397693954,0.0030946602306046057,0.10703139210960894,0.892968607890391,0.0,0.0,-0.10703139210960894,0.10703139210960899
12,13,389.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9576110308667294,0.9969053397693954,0.0030946602306046057,0.04238896913327066,0.9576110308667294,0.0,0.0,-0.04238896913327066,0.042388969133270615
13,14,496.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.016787828960883516,0.9969053397693954,0.0030946602306046057,0.016787828960883516,0.9832121710391165,0.0,0.0,0.9832121710391165,-0.9832121710391165
14,15,336.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6106062945817606,0.9969053397693954,0.0030946602306046057,0.6106062945817606,0.38939370541823937,0.0,0.0,0.38939370541823937,-0.38939370541823937
