,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q,PE
0,1,440.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5
1,2,395.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.28456132047391103,0.715438679526089,-0.715438679526089
2,3,351.1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.5928276492718898,0.4071723507281102,-0.4071723507281102
3,4,414.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.642557057970516,0.357442942029484,-0.357442942029484
4,5,290.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7965711288440208,0.20342887115597916,-0.20342887115597916
5,6,285.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8842240236026749,0.11577597639732506,-0.11577597639732506
6,7,364.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9341092705544416,0.06589072944555835,-0.06589072944555835
7,8,412.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9625000940439654,0.037499905956034585,-0.037499905956034585
8,9,375.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9786579544870067,0.02134204551299336,-0.02134204551299336
9,10,423.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9878537586944166,0.012146241305583394,-0.012146241305583394
10,11,386.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9930872990705769,0.006912700929423142,-0.006912700929423142
11,12,334.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9960658253909642,0.003934174609035761,-0.003934174609035761
12,13,389.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9977609721565557,0.0022390278434442972,-0.0022390278434442972
13,14,496.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0012742814394167247,0.0012742814394167247,0.9987257185605832
14,15,336.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4316025814702897,0.4316025814702897,0.5683974185297103
