,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,390.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,2,389.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.9644333666160556,0.03556663338394439,-0.5,0.5,0.0,0.0
2,3,481.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9644333666160556,0.03556663338394439,0.9644333666160556,0.7661345447152423,0.2338654552847577,-0.03556663338394439,0.03556663338394439,0.0,0.0
3,4,396.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0025299708205358123,0.0025299708205358123,0.9974700291794641,0.6525032458517178,0.34749675414828224,0.9974700291794641,-0.9974700291794641,0.0,0.0
4,5,431.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.41261096893605387,0.9290466983214034,0.07095330167859659,0.5873890310639461,0.41261096893605387,0.0,0.0,-0.5873890310639461,0.5873890310639461
5,6,291.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9582170993567967,0.7458568998849301,0.2541431001150699,0.041782900643203336,0.9582170993567967,0.0,0.0,-0.041782900643203336,0.041782900643203336
6,7,322.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.640883534257495,0.640883534257495,0.35911646574250505,0.0029721542177891733,0.9970278457822108,-0.640883534257495,0.640883534257495,0.0,0.0
7,8,326.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.7936525846027036,0.20634741539729645,0.7936525846027036,0.2151878203501292,0.7848121796498708,-0.20634741539729645,0.2063474153972964,0.0,0.0
8,9,549.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6632061027672378,0.014678165746320249,0.9853218342536798,0.3367938972327623,0.6632061027672378,0.0,0.0,-0.3367938972327623,0.3367938972327622
9,10,473.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7781042764876236,0.2218957235123765,0.7781042764876236,0.023957250137654984,0.976042749862345,-0.2218957235123765,0.2218957235123764,0.0,0.0
