,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,392.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,2,359.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.8642932658518268,0.1357067341481732,0.5,0.5,0.0,0.0,0.5,-0.5
2,3,303.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5831343792261472,0.5831343792261472,0.41686562077385275,0.8642932658518268,0.1357067341481732,0.4168656207738528,-0.41686562077385275,0.0,0.0
3,4,298.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8868570560522592,0.8868570560522592,0.11314294394774083,0.5831343792261472,0.41686562077385275,0.11314294394774083,-0.11314294394774083,0.0,0.0
4,5,266.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9692914811698845,0.9692914811698845,0.030708518830115453,0.5189718714485597,0.4810281285514402,0.030708518830115494,-0.030708518830115453,0.0,0.0
5,6,333.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.495670480616911,0.9916652943980747,0.008334705601925296,0.504329519383089,0.495670480616911,0.0,0.0,-0.504329519383089,0.504329519383089
6,7,345.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.612201604773694,0.612201604773694,0.38779839522630605,0.13688182401999366,0.8631181759800064,0.387798395226306,-0.38779839522630605,0.0,0.0
7,8,348.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.10525370744812901,0.894746292551871,0.10525370744812901,0.41713378484984875,0.5828662151501512,-0.894746292551871,0.894746292551871,0.0,0.0
8,9,295.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5189106744513093,0.0926701086694589,0.9073298913305411,0.48108932554869066,0.5189106744513093,0.0,0.0,-0.48108932554869066,0.48108932554869066
9,10,347.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.1305741224075202,0.407044349071794,0.592955650928206,0.1305741224075202,0.8694258775924798,0.0,0.0,0.8694258775924798,-0.8694258775924798
10,11,354.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5212131572550728,0.4787868427449272,0.5212131572550728,0.9099523616613768,0.09004763833862317,-0.4787868427449272,0.4787868427449272,0.0,0.0
11,12,438.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.8700508024359419,0.1299491975640581,0.8700508024359419,0.5935541177773893,0.40644588222261074,0.8700508024359419,-0.8700508024359419,0.0,0.0
12,13,337.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.4786502682466917,0.9098876373326639,0.09011236266733613,0.5213497317533083,0.4786502682466917,0.0,0.0,-0.5213497317533083,0.5213497317533082
13,14,349.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5935393472136903,0.5935393472136903,0.4064606527863098,0.14150133889053523,0.8584986611094647,0.4064606527863097,-0.4064606527863098,0.0,0.0
14,15,376.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5818120081771224,0.8896811045012707,0.11031889549872936,0.4181879918228775,0.5818120081771224,0.0,0.0,-0.4181879918228775,0.4181879918228776
15,16,404.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5889280691014731,0.5889280691014731,0.4110719308985269,0.1135018532605313,0.8864981467394686,0.4110719308985269,-0.4110719308985269,0.0,0.0
16,17,343.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5882016949341886,0.8884295415155548,0.11157045848444525,0.4117983050658114,0.5882016949341886,0.0,0.0,-0.4117983050658114,0.4117983050658114
17,18,402.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.11176760621646875,0.5886424533033423,0.41135754669665764,0.11176760621646875,0.8882323937835312,0.0,0.0,0.8882323937835312,-0.8882323937835312
18,19,342.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.09199545518192975,0.5202288541107798,0.4797711458892202,0.9080045448180702,0.09199545518192975,0.0,0.0,-0.9080045448180702,0.9080045448180702
19,20,313.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5046163719909112,0.5046163719909112,0.4953836280090887,0.09404328415898411,0.9059567158410159,0.49538362800908875,-0.4953836280090887,0.0,0.0
20,21,437.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.40735771772993623,0.8655462113848261,0.13445378861517382,0.40735771772993623,0.5926422822700638,0.0,0.0,0.5926422822700638,-0.5926422822700638
21,22,340.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.16085109728998032,0.5834203105316478,0.41657968946835217,0.8391489027100196,0.16085109728998032,0.0,0.0,-0.8391489027100196,0.8391489027100196
22,23,344.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5190371230571189,0.5190371230571189,0.48096287694288103,0.08691181025428674,0.9130881897457133,0.4809628769428811,-0.48096287694288103,0.0,0.0
23,24,307.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.594269736608667,0.8694601974471439,0.1305398025528562,0.405730263391333,0.594269736608667,0.0,0.0,-0.405730263391333,0.405730263391333
24,25,362.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.11012065797983184,0.5843135106868298,0.41568648931317026,0.11012065797983184,0.8898793420201682,0.0,0.0,0.8898793420201682,-0.8898793420201682
25,26,310.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5192409578446002,0.5192409578446002,0.48075904215539983,0.907833968115677,0.09216603188432304,0.4807590421553998,-0.48075904215539983,0.0,0.0
26,27,313.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8695155209537735,0.8695155209537735,0.13048447904622645,0.5930706849256547,0.40692931507434527,0.1304844790462265,-0.13048447904622645,0.0,0.0
