,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,767.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,2,706.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.784155537526894,0.2158444624731059,-0.5,0.5,0.0,0.0
2,3,558.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.784155537526894,0.2158444624731059,0.784155537526894,0.5671450034896062,0.4328549965103938,-0.2158444624731059,0.21584446247310596,0.0,0.0
3,4,401.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4841338601638459,0.09317766396060805,0.9068223360393919,0.515866139836154,0.4841338601638459,0.0,0.0,-0.515866139836154,0.5158661398361541
4,5,412.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.596130757861544,0.40386924213845604,0.596130757861544,0.2226936993220215,0.7773063006779786,-0.40386924213845604,0.403869242138456,0.0,0.0
5,6,520.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4344734482784789,0.1743458789575914,0.8256541210424087,0.4344734482784789,0.5655265517215211,0.0,0.0,0.5655265517215211,-0.5655265517215211
6,7,587.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.24413154914120172,0.42304901996946775,0.5769509800305322,0.7558684508587983,0.24413154914120172,0.0,0.0,-0.7558684508587983,0.7558684508587983
7,8,415.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5181832593080812,0.4818167406919188,0.5181832593080812,0.32630003895199317,0.6736999610480068,-0.4818167406919188,0.4818167406919188,0.0,0.0
8,9,494.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7920050491896178,0.20799495081038216,0.7920050491896178,0.45895527994203167,0.5410447200579683,-0.20799495081038216,0.20799495081038222,0.0,0.0
9,10,494.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5096987301233268,0.08978911670957408,0.9102108832904259,0.4903012698766732,0.5096987301233268,0.0,0.0,-0.4903012698766732,0.4903012698766732
10,11,449.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5969314602479046,0.4030685397520954,0.5969314602479046,0.2116576280928235,0.7883423719071765,-0.4030685397520954,0.40306853975209544,0.0,0.0
11,12,516.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.43186566154433537,0.1740002246052215,0.8259997753947785,0.43186566154433537,0.5681343384556646,0.0,0.0,0.5681343384556646,-0.5681343384556646
12,13,416.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5770326569983579,0.4229673430016421,0.5770326569983579,0.7547426982070469,0.24525730179295313,-0.4229673430016421,0.42296734300164207,0.0,0.0
13,14,723.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5601948478953889,0.1825903175877345,0.8174096824122655,0.5601948478953889,0.4398051521046111,0.0,0.0,0.43980515210461113,-0.4398051521046111
14,15,463.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8101409867021553,0.42499715325382587,0.5750028467461742,0.8101409867021553,0.18985901329784471,0.0,0.0,0.18985901329784471,-0.18985901329784471
15,16,318.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9180399666581049,0.48227707807374465,0.5177229219262554,0.9180399666581049,0.08196003334189511,0.0,0.0,0.08196003334189506,-0.08196003334189511
16,17,458.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9646187613180817,0.4958121328025437,0.5041878671974562,0.9646187613180817,0.03538123868191838,0.0,0.0,0.03538123868191834,-0.03538123868191838
17,18,373.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5009895790173035,0.4990104209826965,0.5009895790173035,0.9847263111101373,0.01527368888986267,-0.4990104209826965,0.49901042098269655,0.0,0.0
18,19,393.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7845827278290232,0.21541727217097684,0.7845827278290232,0.614539206711443,0.385460793288557,-0.21541727217097684,0.21541727217097684,0.0,0.0
19,20,484.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5270652316026347,0.0929932506383345,0.9070067493616655,0.5270652316026347,0.4729347683973652,0.0,0.0,0.47293476839736526,-0.4729347683973652
20,21,347.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4038256658869588,0.4038256658869588,0.5961743341130412,0.7958392982608558,0.20416070173914425,0.5961743341130412,-0.5961743341130412,0.0,0.0
21,22,351.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2573618573737825,0.7426381426262175,0.2573618573737825,0.5699058370882805,0.43009416291171954,-0.7426381426262175,0.7426381426262175,0.0,0.0
22,23,418.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6794113385856366,0.3205886614143634,0.6794113385856366,0.516518515585121,0.483481484414879,-0.3205886614143634,0.3205886614143634,0.0,0.0
23,24,414.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5039032700057837,0.13839457459591162,0.8616054254040884,0.5039032700057837,0.49609672999421633,0.0,0.0,0.4960967299942163,-0.49609672999421633
24,25,405.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5854461530538361,0.41455384694616393,0.5854461530538361,0.7858405359594657,0.21415946404053438,-0.41455384694616393,0.41455384694616393,0.0,0.0
25,26,441.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5675431629857036,0.17895830452050593,0.8210416954794941,0.5675431629857036,0.4324568370142964,0.0,0.0,0.4324568370142964,-0.4324568370142964
26,27,364.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5758610792909131,0.424138920709087,0.5758610792909131,0.8133131729436592,0.18668682705634074,-0.424138920709087,0.4241389207090869,0.0,0.0
27,28,907.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,0,0.5740348552547582,0.18309607470875233,0.8169039252912478,0.5740348552547582,0.42596514474524183,0.0,0.0,0.42596514474524183,-0.42596514474524183
28,29,359.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.816115564600369,0.4251166619706054,0.5748833380293946,0.816115564600369,0.18388443539963095,0.0,0.0,0.18388443539963095,-0.18388443539963095
29,30,366.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9206191257679922,0.4823053175839616,0.5176946824160383,0.9206191257679922,0.07938087423200782,0.0,0.0,0.07938087423200779,-0.07938087423200782
30,31,298.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9657321557414941,0.4958188057043938,0.5041811942956063,0.9657321557414941,0.0342678442585059,0.0,0.0,0.03426784425850593,-0.0342678442585059
31,32,393.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5009880022329061,0.49901199776709393,0.5009880022329061,0.9852069511518213,0.014793048848178631,-0.49901199776709393,0.49901199776709393,0.0,0.0
32,33,497.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6146527803463508,0.21541795285133825,0.7845820471486618,0.6146527803463508,0.38534721965364915,0.0,0.0,0.38534721965364915,-0.38534721965364915
33,34,336.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5672457862872642,0.43275421371273587,0.5672457862872642,0.8336498730167045,0.16635012698329554,-0.43275421371273587,0.4327542137127358,0.0,0.0
34,35,396.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.18681520128359413,0.18681520128359413,0.8131847987164059,0.5788403494895571,0.42115965051044285,0.8131847987164058,-0.8131847987164059,0.0,0.0
35,36,407.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3510428715404869,0.648957128459513,0.3510428715404869,0.5186297109944481,0.4813702890055519,-0.648957128459513,0.648957128459513,0.0,0.0
36,37,642.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5044021384225679,0.28014760512086784,0.7198523948791321,0.5044021384225679,0.49559786157743213,0.0,0.0,0.49559786157743213,-0.49559786157743213
37,38,406.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7860558919299968,0.4480496141309213,0.5519503858690786,0.7860558919299968,0.2139441080700032,0.0,0.0,0.2139441080700032,-0.2139441080700032
38,39,465.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4877242975068345,0.4877242975068345,0.5122757024931655,0.9076426979886841,0.09235730201131584,0.5122757024931655,-0.5122757024931655,0.0,0.0
39,40,428.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7788562527146599,0.7788562527146599,0.22114374728534003,0.5963246066474145,0.4036753933525855,0.22114374728534014,-0.22114374728534003,0.0,0.0
40,41,368.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4772388174949311,0.9045346934758147,0.0954653065241852,0.5227611825050689,0.4772388174949311,0.0,0.0,-0.5227611825050689,0.5227611825050689
41,42,407.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4044098044278671,0.595590195572133,0.4044098044278671,0.22567021287922362,0.7743297871207764,-0.595590195572133,0.5955901955721329,0.0,0.0
42,43,439.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7428903087649619,0.25710969123503813,0.7428903087649619,0.43517678848055497,0.564823211519445,-0.25710969123503813,0.25710969123503813,0.0,0.0
43,44,346.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.48468249184385975,0.11099140620250605,0.889008593797494,0.48468249184385975,0.5153175081561403,0.0,0.0,0.5153175081561403,-0.5153175081561403
44,45,442.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.22245686110188495,0.4080785698728556,0.5919214301271444,0.7775431388981151,0.22245686110188495,0.0,0.0,-0.7775431388981151,0.7775431388981151
45,46,421.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5217207266146363,0.4782792733853637,0.5217207266146363,0.33565676173023035,0.6643432382697697,-0.4782792733853637,0.4782792733853637,0.0,0.0
46,47,361.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.793532134648217,0.20646786535178296,0.793532134648217,0.46116624225184255,0.5388337577481574,-0.20646786535178296,0.20646786535178296,0.0,0.0
47,48,284.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9108701091703496,0.08912989082965041,0.9108701091703496,0.4908237128784873,0.5091762871215126,-0.08912989082965041,0.0891298908296504,0.0,0.0
48,49,447.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.49783167403261575,0.038476386752825005,0.961523613247175,0.49783167403261575,0.5021683259673843,0.0,0.0,0.5021683259673843,-0.5021683259673843
49,50,383.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6090564867808859,0.39094351321911414,0.6090564867808859,0.783219495221101,0.21678050477889899,-0.39094351321911414,0.39094351321911414,0.0,0.0
50,51,458.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.16876598493625453,0.16876598493625453,0.8312340150637455,0.5669238198222531,0.43307618017774685,0.8312340150637455,-0.8312340150637455,0.0,0.0
51,52,502.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5158138748750503,0.6411654816584085,0.3588345183415915,0.5158138748750503,0.4841861251249497,0.0,0.0,0.48418612512494974,-0.4841861251249497
52,53,393.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7909822121709384,0.5333569313519666,0.4666430686480334,0.7909822121709384,0.2090177878290615,0.0,0.0,0.20901778782906155,-0.2090177878290615
53,54,337.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.909769335877437,0.5078821313549745,0.49211786864502555,0.909769335877437,0.09023066412256295,0.0,0.0,0.09023066412256298,-0.09023066412256295
54,55,288.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9610484216077481,0.5018625212865514,0.4981374787134486,0.9610484216077481,0.038951578392251926,0.0,0.0,0.03895157839225194,-0.038951578392251926
55,56,331.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.49955989244702603,0.500440107552974,0.49955989244702603,0.9831850349988907,0.016814965001109326,-0.500440107552974,0.500440107552974,0.0,0.0
