,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,767.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,2,706.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5344238193412887,0.4655761806587113,-0.5,0.5,0.0,0.0
2,3,558.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5344238193412887,0.4655761806587113,0.5344238193412887,0.5132221764193294,0.4867778235806706,-0.4655761806587113,0.4655761806587113,0.0,0.0
3,4,401.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.49492136687301924,0.433522359993506,0.566477640006494,0.5050786331269808,0.49492136687301924,0.0,0.0,-0.5050786331269808,0.5050786331269808
4,5,412.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5255340372139435,0.4744659627860565,0.5255340372139435,0.47030516188716437,0.5296948381128357,-0.4744659627860565,0.47446596278605646,0.0,0.0
5,6,520.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4885942235410116,0.44180010161298094,0.5581998983870191,0.4885942235410116,0.5114057764589884,0.0,0.0,0.5114057764589883,-0.5114057764589884
6,7,587.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4761966963411571,0.4776454403147178,0.5223545596852822,0.523803303658843,0.4761966963411571,0.0,0.0,-0.523803303658843,0.523803303658843
7,8,415.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5085863781994902,0.4914136218005098,0.5085863781994902,0.4877406830677986,0.5122593169322014,-0.4914136218005098,0.49141362180050985,0.0,0.0
8,9,494.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5424190456769084,0.4575809543230916,0.5424190456769084,0.4952912008498831,0.5047087991501169,-0.4575809543230916,0.45758095432309165,0.0,0.0
9,10,494.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5018086480314332,0.42607758611182645,0.5739224138881734,0.4981913519685668,0.5018086480314332,0.0,0.0,-0.4981913519685668,0.4981913519685668
10,11,449.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5283935721391548,0.4716064278608451,0.5283935721391548,0.4638920537734502,0.5361079462265498,-0.4716064278608451,0.47160642786084517,0.0,0.0
11,12,516.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4861309510599695,0.4391374389151007,0.5608625610848993,0.4861309510599695,0.5138690489400305,0.0,0.0,0.5138690489400305,-0.5138690489400305
12,13,416.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.523377287453735,0.476622712546265,0.523377287453735,0.5215096216715523,0.47849037832844765,-0.476622712546265,0.476622712546265,0.0,0.0
13,14,723.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5082618378174317,0.44380836424496983,0.5561916357550302,0.5082618378174317,0.4917381621825683,0.0,0.0,0.4917381621825683,-0.4917381621825683
14,15,463.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5421168491338118,0.4784168132571924,0.5215831867428076,0.5421168491338118,0.4578831508661882,0.0,0.0,0.45788315086618825,-0.4578831508661882
15,16,318.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5736410228634872,0.49170990586560376,0.5082900941343962,0.5736410228634872,0.42635897713651283,0.0,0.0,0.42635897713651283,-0.42635897713651283
16,17,458.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6029948316704551,0.4968157778748751,0.5031842221251249,0.6029948316704551,0.39700516832954497,0.0,0.0,0.3970051683295449,-0.39700516832954497
17,18,373.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5012230585537101,0.4987769414462899,0.5012230585537101,0.6303277000547234,0.3696722999452767,-0.4987769414462899,0.4987769414462899,0.0,0.0
18,19,393.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5355626732016052,0.4644373267983947,0.5355626732016052,0.5500588219268898,0.4499411780731102,-0.4644373267983947,0.4644373267983948,0.0,0.0
19,20,484.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5192275751943437,0.43246191353227675,0.5675380864677232,0.5192275751943437,0.4807724248056563,0.0,0.0,0.4807724248056563,-0.4807724248056563
20,21,347.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4740586456881304,0.4740586456881304,0.5259413543118696,0.5523276213859101,0.4476723786140899,0.5259413543118696,-0.5259413543118696,0.0,0.0
21,22,351.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.48973153398198066,0.5102684660180193,0.48973153398198066,0.5200990202367961,0.47990097976320384,-0.5102684660180193,0.5102684660180193,0.0,0.0
22,23,418.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5248623129615022,0.4751376870384978,0.5248623129615022,0.5077200263222343,0.4922799736777656,-0.4751376870384978,0.4751376870384978,0.0,0.0
23,24,414.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5029652592869617,0.4424255792367958,0.5575744207632042,0.5029652592869617,0.49703474071303827,0.0,0.0,0.4970347407130383,-0.49703474071303827
24,25,405.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5221143139587279,0.47788568604127213,0.5221143139587279,0.5371849275282614,0.46281507247173853,-0.47788568604127213,0.47788568604127213,0.0,0.0
25,26,441.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5142827170641386,0.44498438499712706,0.555015615002873,0.5142827170641386,0.4857172829358613,0.0,0.0,0.48571728293586136,-0.4857172829358613
26,27,364.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5211314776020045,0.4788685223979955,0.5211314776020045,0.54772320506159,0.45227679493840994,-0.4788685223979955,0.4788685223979955,0.0,0.0
27,28,907.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,0,0.518330465610576,0.44589955539147863,0.5541004446085214,0.518330465610576,0.4816695343894239,0.0,0.0,0.48166953438942395,-0.4816695343894239
28,29,359.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5514922756786244,0.479220039011765,0.520779960988235,0.5514922756786244,0.4485077243213756,0.0,0.0,0.44850772432137564,-0.4485077243213756
29,30,366.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5823709734290474,0.49201842458417516,0.5079815754158248,0.5823709734290474,0.4176290265709525,0.0,0.0,0.4176290265709526,-0.4176290265709525
30,31,298.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6111237457537608,0.4969342798018453,0.5030657201981548,0.6111237457537608,0.3888762542462391,0.0,0.0,0.3888762542462392,-0.3888762542462391
31,32,393.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5011775420069,0.49882245799310004,0.5011775420069,0.63789695759834,0.36210304240165997,-0.49882245799310004,0.4988224579931,0.0,0.0
