,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,541.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,2,396.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.9380943534741731,0.06190564652582686,0.5,0.5,0.0,0.0,0.5,-0.5
2,3,420.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.06190564652582686,0.9380943534741731,0.06190564652582686,0.9380943534741731,0.06190564652582686,-0.9380943534741731,0.9380943534741731,0.0,0.0
3,4,391.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.1161466749080925,0.1161466749080925,0.8838533250919075,0.9380943534741731,0.06190564652582686,0.8838533250919075,-0.8838533250919075,0.0,0.0
4,5,511.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9380943534741731,0.8905689769523673,0.10943102304763275,0.9380943534741731,0.06190564652582686,0.0,0.0,0.06190564652582686,-0.06190564652582686
5,6,358.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.10943102304763275,0.8905689769523673,0.10943102304763275,0.9923353818564388,0.007664618143561237,-0.8905689769523673,0.8905689769523673,0.0,0.0
6,7,418.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.007664618143561237,0.11026249658816101,0.889737503411839,0.9923353818564388,0.007664618143561237,0.0,0.0,-0.9923353818564388,0.9923353818564388
7,8,385.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8771376732314478,0.11026249658816101,0.889737503411839,0.12286232676855224,0.8771376732314478,0.0,0.0,-0.12286232676855224,0.12286232676855224
8,9,428.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.889737503411839,0.11026249658816101,0.889737503411839,0.015211743544549267,0.9847882564554508,-0.11026249658816101,0.11026249658816101,0.0,0.0
9,10,440.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9847882564554508,0.013651742277683773,0.9863482577223163,0.015211743544549267,0.9847882564554508,0.0,0.0,-0.015211743544549267,0.015211743544549239
10,11,603.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0018833856378207905,0.013651742277683773,0.9863482577223163,0.0018833856378207905,0.9981166143621792,0.0,0.0,0.9981166143621792,-0.9981166143621792
11,12,383.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8764218913594798,0.013651742277683773,0.9863482577223163,0.8764218913594798,0.12357810864052021,0.0,0.0,0.12357810864052021,-0.12357810864052021
12,13,458.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9863482577223163,0.013651742277683773,0.9863482577223163,0.9846996345763395,0.015300365423660547,-0.013651742277683773,0.013651742277683732,0.0,0.0
13,14,398.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9983097601361921,0.001690239863807957,0.9983097601361921,0.9846996345763395,0.015300365423660547,-0.001690239863807957,0.0016902398638078964,0.0,0.0
14,15,445.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9846996345763395,0.00020927078310551436,0.9997907292168945,0.9846996345763395,0.015300365423660547,0.0,0.0,0.015300365423660534,-0.015300365423660547
15,16,441.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.00020927078310551436,0.00020927078310551436,0.9997907292168945,0.9981056419727338,0.0018943580272662262,0.9997907292168945,-0.9997907292168945,0.0,0.0
16,17,464.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9981056419727338,0.8762146170346005,0.12378538296539954,0.9981056419727338,0.0018943580272662262,0.0,0.0,0.0018943580272662297,-0.0018943580272662262
17,18,447.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9997654570831414,0.8762146170346005,0.12378538296539954,0.9997654570831414,0.0002345429168586113,0.0,0.0,0.0002345429168586488,-0.0002345429168586113
18,19,451.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.12378538296539954,0.8762146170346005,0.12378538296539954,0.9999709609381876,2.9039061812371185e-05,-0.8762146170346005,0.8762146170346005,0.0,0.0
19,20,398.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8915147352741866,0.10848526472581344,0.8915147352741866,0.9999709609381876,2.9039061812371185e-05,-0.10848526472581344,0.10848526472581344,0.0,0.0
20,21,398.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9999709609381876,0.013431700902753918,0.9865682990972461,0.9999709609381876,2.9039061812371185e-05,0.0,0.0,2.9039061812397016e-05,-2.9039061812371185e-05
