,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q,PE
0,1,505.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.5,0.5,0.5
1,2,656.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,1,0.4736147512523803,0.5263852487476197,-0.5263852487476197
2,3,464.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5013923627029475,0.4986076372970525,-0.4986076372970525
3,4,451.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5277041357780389,0.4722958642219611,-0.4722958642219611
4,5,354.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5526274234979758,0.44737257650202417,-0.44737257650202417
5,6,474.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.42376450307428526,0.42376450307428526,0.5762354969257147
6,7,421.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.45417273692147175,0.45417273692147175,0.5458272630785282
7,8,389.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5170236868594094,0.48297631314059064,-0.48297631314059064
8,9,388.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5425105871822549,0.45748941281774513,-0.45748941281774513
9,10,372.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5666525310954522,0.43334746890454773,-0.43334746890454773
10,11,479.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.41047950738215194,0.41047950738215194,0.5895204926178481
11,12,463.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5584112029387656,0.44158879706123444,-0.44158879706123444
12,13,414.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.41828593655198876,0.41828593655198876,0.5817140634480112
13,14,381.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5510167229198824,0.4489832770801176,-0.4489832770801176
14,15,489.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5747097938184431,0.42529020618155683,-0.42529020618155683
15,16,404.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4028474304215031,0.4028474304215031,0.5971525695784969
16,17,372.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.434359468598721,0.434359468598721,0.565640531401279
17,18,439.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5357913991557619,0.4642086008442381,-0.4642086008442381
18,19,427.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5602879179638813,0.4397120820361186,-0.4397120820361186
19,20,342.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5834917432875949,0.4165082567124051,-0.4165082567124051
20,21,397.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.39452890879481656,0.39452890879481656,0.6054710912051835
21,22,281.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5735200805033004,0.4264799194966996,-0.4264799194966996
22,23,420.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4039743619731291,0.4039743619731291,0.5960256380268709
23,24,384.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.43542693141172456,0.43542693141172456,0.5645730685882755
24,25,375.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5347802668864582,0.4652197331135418,-0.4652197331135418
25,26,411.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4406698563525377,0.4406698563525377,0.5593301436474623
26,27,422.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.529814013703102,0.470185986296898,-0.470185986296898
27,28,361.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5546259621152791,0.44537403788472085,-0.44537403788472085
28,29,385.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5781285716659195,0.42187142833408053,-0.42187142833408053
29,30,484.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6003909368181362,0.39960906318186384,-0.39960906318186384
30,31,392.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6214785058858496,0.3785214941141503,-0.3785214941141503
31,32,391.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6414532734428948,0.35854672655710523,-0.35854672655710523
32,33,367.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6603739625786028,0.3396260374213972,-0.3396260374213972
33,34,346.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6782961975356667,0.3217038024643333,-0.3217038024643333
34,35,278.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6952726672378198,0.30472733276218017,-0.30472733276218017
35,36,381.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7113532801880775,0.2886467198119225,-0.2886467198119225
36,37,468.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.27341468880707837,0.27341468880707837,0.7265853111929217
37,38,368.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4100322368754699,0.4100322368754699,0.5899677631245301
38,39,371.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4411651292417049,0.4411651292417049,0.5588348707582951
39,40,415.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5293448766106921,0.470655123389308,-0.470655123389308
40,41,450.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.554181581620629,0.4458184183793709,-0.4458184183793709
41,42,325.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5777076413510494,0.4222923586489507,-0.4222923586489507
42,43,401.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5999922192053926,0.40000778079460747,-0.40000778079460747
43,44,404.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6211008287998907,0.37889917120010935,-0.37889917120010935
44,45,404.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3589044734353457,0.3589044734353457,0.6410955265646543
45,46,359.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4794476465048355,0.4794476465048355,0.5205523534951645
46,47,399.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.49308254682890695,0.506917453171093,-0.506917453171093
47,48,490.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5198328330217653,0.4801671669782347,-0.4801671669782347
48,49,329.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5451714933040865,0.4548285066959135,-0.4548285066959135
