,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,458.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,2,425.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.12184847128217441,0.8781515287178256,0.5,0.5,0.0,0.0,-0.5,0.5
2,3,385.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.41591979394927503,0.41591979394927503,0.5840802060507251,0.12184847128217441,0.8781515287178256,0.584080206050725,-0.5840802060507251,0.0,0.0
3,4,356.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8576614395730835,0.8576614395730835,0.14233856042691656,0.41591979394927503,0.5840802060507251,0.1423385604269165,-0.14233856042691656,0.0,0.0
4,5,336.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4813051633732583,0.9653125280149496,0.03468747198505037,0.4813051633732583,0.5186948366267418,0.0,0.0,0.5186948366267417,-0.5186948366267418
5,6,371.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6034600425023655,0.6034600425023655,0.3965399574976345,0.8735956541901486,0.12640434580985138,0.3965399574976345,-0.3965399574976345,0.0,0.0
6,7,339.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.09663557524677036,0.9033644247532296,0.09663557524677036,0.5830672288711083,0.4169327711288917,-0.9033644247532296,0.9033644247532296,0.0,0.0
7,8,446.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5184696059360827,0.2201471483337638,0.7798528516662362,0.5184696059360827,0.48153039406391723,0.0,0.0,0.4815303940639173,-0.48153039406391723
8,9,401.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8826525152148172,0.4377760404360599,0.5622239595639401,0.8826525152148172,0.1173474847851827,0.0,0.0,0.11734748478518275,-0.1173474847851827
9,10,381.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.028597223259765464,0.4861647965323128,0.5138352034676872,0.9714027767402346,0.028597223259765464,0.0,0.0,-0.9714027767402346,0.9714027767402346
