,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,628.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,2,543.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4890538481893523,0.5,0.5,0.5109461518106477,0.4890538481893523,0.0,0.0,-0.5109461518106477,0.5109461518106477
2,3,419.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5002396364789236,0.5,0.5,0.49976036352107656,0.5002396364789236,0.0,0.0,-0.49976036352107656,0.49976036352107645
3,4,430.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.511180542095016,0.5,0.5,0.4888194579049842,0.511180542095016,0.0,0.0,-0.4888194579049842,0.48881945790498404
4,5,386.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5218819260834688,0.5,0.5,0.47811807391653127,0.5218819260834688,0.0,0.0,-0.47811807391653127,0.47811807391653116
5,6,413.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5323490321244785,0.5,0.5,0.46765096787552163,0.5323490321244785,0.0,0.0,-0.46765096787552163,0.4676509678755215
6,7,385.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4574130108979981,0.5,0.5,0.4574130108979981,0.5425869891020021,0.0,0.0,0.5425869891020019,-0.5425869891020021
7,8,408.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5307085099956166,0.5,0.5,0.4692914900043836,0.5307085099956166,0.0,0.0,-0.4692914900043836,0.4692914900043834
8,9,359.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5409823817816827,0.5,0.5,0.4590176182183175,0.5409823817816827,0.0,0.0,-0.4590176182183175,0.4590176182183173
9,10,403.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.44896866515275824,0.5510313348472419,0.5,-0.5,0.0,0.0
10,11,550.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5505017846497476,0.5109461518106477,0.4890538481893523,0.4494982153502525,0.5505017846497476,0.0,0.0,-0.4494982153502525,0.44949821535025236
11,12,402.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5108325640146302,0.5108325640146302,0.4891674359853698,0.43965766394257433,0.5603423360574258,0.4891674359853698,-0.4891674359853698,0.0,0.0
12,13,365.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.5215415660448725,0.5215415660448725,0.47845843395512755,0.44028383404124266,0.5597161659587574,-0.5215415660448725,0.5215415660448725,0.0,0.0
13,14,393.1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1,0.5590964936031014,0.5101238197298922,0.48987618027010776,0.4409035063968986,0.5590964936031014,0.0,0.0,0.5590964936031013,-0.5590964936031014
14,15,392.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.5100187652422248,0.5100187652422248,0.48998123475777516,0.45314341658845936,0.5468565834115408,0.4899812347577752,-0.48998123475777516,0.0,0.0
15,16,484.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.546370354449007,0.5207455832022791,0.47925441679772074,0.4536296455509931,0.546370354449007,0.0,0.0,-0.4536296455509931,0.45362964555099305
16,17,447.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5563013523810298,0.5205303070838945,0.47946969291610536,0.44369864761897015,0.5563013523810298,0.0,0.0,-0.44369864761897015,0.44369864761897015
17,18,338.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5203172648775043,0.5203172648775043,0.4796827351224956,0.4339850621089375,0.5660149378910625,0.4796827351224957,-0.4796827351224956,0.0,0.0
18,19,542.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.43467009657849287,0.5308186249566994,0.46918137504330054,0.43467009657849287,0.5653299034215071,0.0,0.0,0.5653299034215071,-0.5653299034215071
19,20,385.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4470464704703941,0.5304988212717444,0.4695011787282556,0.4470464704703941,0.5529535295296059,0.0,0.0,0.552953529529606,-0.5529535295296059
20,21,353.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4591518970273231,0.5301823361773188,0.4698176638226812,0.4591518970273231,0.5408481029726768,0.0,0.0,0.5408481029726768,-0.5408481029726768
21,22,392.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5298691352365364,0.5298691352365364,0.4701308647634636,0.4709923079106026,0.5290076920893974,0.47013086476346355,-0.4701308647634636,0.0,0.0
22,23,388.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5401613828696803,0.5401613828696803,0.4598386171303197,0.4712933196148971,0.5287066803851028,0.4598386171303197,-0.4598386171303197,0.0,0.0
23,24,515.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5284087922676777,0.5502283094926939,0.44977169050730614,0.4715912077323222,0.5284087922676777,0.0,0.0,-0.4715912077323222,0.4715912077323223
24,25,450.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5387330101724871,0.549707092258395,0.450292907741605,0.46126698982751285,0.5387330101724871,0.0,0.0,-0.46126698982751285,0.4612669898275129
25,26,386.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5491912836752746,0.5491912836752746,0.4508087163247254,0.45116879283572797,0.5488312071642719,0.4508087163247254,-0.4508087163247254,0.0,0.0
26,27,485.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5590605249681819,0.5590605249681819,0.44093947503181813,0.4516755123929398,0.5483244876070601,0.4409394750318181,-0.44093947503181813,0.0,0.0
27,28,497.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.431286294165807,0.5687137058341931,0.431286294165807,0.4521769737408103,0.5478230262591897,-0.5687137058341931,0.568713705834193,0.0,0.0
28,29,420.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5473267685564246,0.5562632527124789,0.4437367472875212,0.45267323144357535,0.5473267685564246,0.0,0.0,-0.45267323144357535,0.4526732314435754
29,30,440.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4443205888953245,0.5556794111046756,0.4443205888953245,0.4427631716195797,0.5572368283804202,-0.5556794111046756,0.5556794111046754,0.0,0.0
30,31,355.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4433571159846159,0.5435143087206694,0.45648569127933064,0.4433571159846159,0.556642884015384,0.0,0.0,0.5566428840153841,-0.556642884015384
31,32,443.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5444566889898856,0.5430627624139573,0.45693723758604265,0.4555433110101142,0.5444566889898856,0.0,0.0,-0.4555433110101142,0.45554331101011436
32,33,342.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5544295814671693,0.5426159017858899,0.45738409821411014,0.4455704185328306,0.5544295814671693,0.0,0.0,-0.4455704185328306,0.44557041853283075
33,34,389.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.54217367821336,0.54217367821336,0.45782632178663996,0.4358158556456422,0.5641841443543576,0.45782632178663996,-0.45782632178663996,0.0,0.0
34,35,329.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5521965510557341,0.5521965510557341,0.44780344894426594,0.43648189204113513,0.5635181079588647,0.44780344894426594,-0.44780344894426594,0.0,0.0
35,36,612.8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.437141017002588,0.5620000001226851,0.4379999998773148,0.437141017002588,0.5628589829974118,0.0,0.0,-0.437141017002588,0.43714101700258823
36,37,628.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.42757099313304553,0.5613566285078158,0.43864337149218424,0.42757099313304553,0.5724290068669543,0.0,0.0,0.5724290068669544,-0.5724290068669543
37,38,379.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.44010278275301346,0.5607199331354302,0.4392800668645698,0.44010278275301346,0.5598972172469864,0.0,0.0,0.5598972172469865,-0.5598972172469864
38,39,390.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.547639777370297,0.5600898447264173,0.4399101552735827,0.4523602226297029,0.547639777370297,0.0,0.0,-0.4523602226297029,0.452360222629703
39,40,334.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5594662947205724,0.5594662947205724,0.44053370527942765,0.44245701528969666,0.5575429847103033,0.4405337052794276,-0.44053370527942765,0.0,0.0
40,41,365.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5691105923519639,0.5691105923519639,0.4308894076480362,0.443054136627184,0.5569458633728159,0.43088940764803607,-0.4308894076480362,0.0,0.0
41,42,257.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5563549383404642,0.5785437540913948,0.42145624590860525,0.4436450616595357,0.5563549383404642,0.0,0.0,-0.4436450616595357,0.44364506165953577
42,43,420.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5777287085783676,0.5777287085783676,0.42227129142163256,0.43393264926959685,0.5660673507304032,0.42227129142163244,-0.42227129142163256,0.0,0.0
43,44,363.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5869731999007264,0.5869731999007264,0.41302680009927367,0.43461822762516866,0.5653817723748313,0.4130268000992736,-0.41302680009927367,0.0,0.0
44,45,423.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4039846919877683,0.5960153080122318,0.4039846919877683,0.4352966917605329,0.5647033082394671,-0.5960153080122318,0.5960153080122317,0.0,0.0
45,46,258.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5829671599262881,0.5829671599262881,0.417032840073712,0.4359681154996788,0.5640318845003213,0.4170328400737119,-0.417032840073712,0.0,0.0
46,47,334.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5920969694812329,0.5920969694812329,0.4079030305187672,0.4366325719005269,0.5633674280994732,0.4079030305187671,-0.4079030305187672,0.0,0.0
47,48,321.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6010269064733963,0.6010269064733963,0.3989730935266038,0.43729013326287863,0.5627098667371214,0.3989730935266037,-0.3989730935266038,0.0,0.0
48,49,333.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6097613465736081,0.6097613465736081,0.3902386534263919,0.437940871136283,0.562059128863717,0.39023865342639186,-0.3902386534263919,0.0,0.0
49,50,332.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6183045696591841,0.6183045696591841,0.3816954303408159,0.4385848563278222,0.5614151436721778,0.3816954303408159,-0.3816954303408159,0.0,0.0
50,51,328.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.560777841090184,0.6266607619110662,0.3733392380889337,0.43922215890981603,0.560777841090184,0.0,0.0,-0.43922215890981603,0.439222158909816
51,52,343.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6253464080599362,0.6253464080599362,0.3746535919400637,0.4296065740497615,0.5703934259502386,0.37465359194006376,-0.3746535919400637,0.0,0.0
52,53,578.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.36645156175250293,0.6335484382474971,0.36645156175250293,0.4303370439213773,0.5696629560786228,-0.6335484382474971,0.6335484382474971,0.0,0.0
53,54,306.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6196786034785854,0.6196786034785854,0.3803213965214146,0.43105993373525137,0.5689400662647488,0.3803213965214146,-0.3803213965214146,0.0,0.0
54,55,297.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6280047149649073,0.6280047149649073,0.3719952850350927,0.43177532214935116,0.568224677850649,0.3719952850350927,-0.3719952850350927,0.0,0.0
55,56,337.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6361485486905859,0.6361485486905859,0.36385145130941415,0.43248328700541344,0.5675167129945867,0.3638514513094141,-0.36385145130941415,0.0,0.0
56,57,484.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.566816094662586,0.6441140951357006,0.3558859048642995,0.4331839053374142,0.566816094662586,0.0,0.0,-0.4331839053374142,0.433183905337414
57,58,424.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5762994882420911,0.642618628717484,0.35738137128251607,0.423700511757909,0.5762994882420911,0.0,0.0,-0.423700511757909,0.4237005117579089
58,59,355.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6411386806967282,0.6411386806967282,0.35886131930327186,0.41442473151000664,0.5855752684899934,0.3588613193032718,-0.35886131930327186,0.0,0.0
59,60,463.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.351005018343146,0.6489949816568541,0.351005018343146,0.4153127427773025,0.5846872572226975,-0.6489949816568541,0.648994981656854,0.0,0.0
60,61,434.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5838084608141425,0.6347869864697252,0.3652130135302749,0.41619153918585755,0.5838084608141425,0.0,0.0,-0.41619153918585755,0.4161915391858575
61,62,393.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5929198523546135,0.6333883070991315,0.36661169290086865,0.4070801476453865,0.5929198523546135,0.0,0.0,-0.4070801476453865,0.40708014764538647
62,63,405.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6018317745450681,0.6320041417705308,0.36799585822946945,0.39816822545493197,0.6018317745450681,0.0,0.0,-0.39816822545493197,0.3981682254549319
63,64,360.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6306343398722678,0.6306343398722678,0.3693656601277324,0.3894514057709202,0.6105485942290798,0.3693656601277322,-0.3693656601277324,0.0,0.0
64,65,492.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.39059856427817774,0.6387206050510643,0.3612793949489359,0.39059856427817774,0.6094014357218223,0.0,0.0,0.6094014357218223,-0.6094014357218223
65,66,519.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5960602344637468,0.6372811066718586,0.3627188933281417,0.4039397655362532,0.5960602344637468,0.0,0.0,-0.4039397655362532,0.4039397655362532
66,67,475.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3950965935444187,0.635856545911927,0.36414345408807336,0.3950965935444187,0.6049034064555813,0.0,0.0,0.6049034064555814,-0.6049034064555813
67,68,470.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5916606774198998,0.6344467677641693,0.3655532322358311,0.4083393225801001,0.5916606774198998,0.0,0.0,-0.4083393225801001,0.4083393225801002
68,69,453.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6006001658503375,0.633051618829988,0.3669483811700124,0.39939983414966246,0.6006001658503375,0.0,0.0,-0.39939983414966246,0.3993998341496625
69,70,313.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6316709473025968,0.6316709473025968,0.3683290526974035,0.390656051714163,0.6093439482858369,0.36832905269740324,-0.3683290526974035,0.0,0.0
70,71,400.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6082092903431652,0.6397345187567924,0.36026548124320784,0.39179070965683477,0.6082092903431652,0.0,0.0,-0.39179070965683477,0.3917907096568348
71,72,408.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6382844990340882,0.6382844990340882,0.36171550096591204,0.38321350848502456,0.6167864915149753,0.36171550096591176,-0.36171550096591204,0.0,0.0
72,73,0.1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.3844253974123188,0.6462032846057629,0.35379671539423735,0.3844253974123188,0.6155746025876812,0.0,0.0,-0.3844253974123188,0.38442539741231885
73,74,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1,0.35531386125117104,0.6446861387488292,0.35531386125117104,0.3760094398924312,0.6239905601075688,0.3553138612511708,-0.35531386125117104,0.0,0.0
74,75,1026.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,1,0.6524647776801946,0.6524647776801946,0.3475352223198056,0.3772960851622234,0.6227039148377767,0.3475352223198054,-0.3475352223198056,0.0,0.0
75,76,409.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6600731242863142,0.6600731242863142,0.339926875713686,0.37856937896357445,0.6214306210364257,0.33992687571368585,-0.339926875713686,0.0,0.0
76,77,313.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6675149066584765,0.6675149066584765,0.33248509334152365,0.37982945984415845,0.6201705401558417,0.33248509334152354,-0.33248509334152365,0.0,0.0
77,78,292.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6747937712714638,0.6747937712714638,0.3252062287285363,0.3810764649139456,0.6189235350860546,0.3252062287285362,-0.3252062287285363,0.0,0.0
78,79,336.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6819132847703253,0.6819132847703253,0.31808671522967474,0.38231052986012126,0.6176894701398788,0.3180867152296747,-0.31808671522967474,0.0,0.0
79,80,471.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.61646821103815,0.6888769357180339,0.3111230642819662,0.38353178896185014,0.61646821103815,0.0,0.0,-0.38353178896185014,0.38353178896185003
80,81,347.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6869169670260332,0.6869169670260332,0.3130830329739668,0.37513539458947875,0.6248646054105214,0.3130830329739668,-0.3130830329739668,0.0,0.0
81,82,422.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.30622892415742464,0.6937710758425754,0.30622892415742464,0.37643110979373734,0.6235688902062627,-0.6937710758425754,0.6937710758425754,0.0,0.0
82,83,377.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.678582828806557,0.678582828806557,0.32141717119344304,0.37771337941119393,0.6222866205888061,0.32141717119344304,-0.32141717119344304,0.0,0.0
83,84,405.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3143806088925783,0.6856193911074216,0.3143806088925783,0.3789823429661852,0.6210176570338148,-0.6856193911074216,0.6856193911074218,0.0,0.0
84,85,492.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6197618614647908,0.6706096032286503,0.3293903967713496,0.38023813853520927,0.6197618614647908,0.0,0.0,-0.38023813853520927,0.38023813853520916
85,86,488.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6280861502419998,0.6688391939427754,0.33116080605722453,0.3719138497580003,0.6280861502419998,0.0,0.0,-0.3719138497580003,0.37191384975800024
86,87,371.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6670871561259163,0.6670871561259163,0.33291284387408365,0.3637717988381333,0.6362282011618667,0.3329128438740837,-0.33291284387408365,0.0,0.0
87,88,378.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6743753851834366,0.6743753851834366,0.3256246148165633,0.3651854336381145,0.6348145663618856,0.32562461481656335,-0.3256246148165633,0.0,0.0
88,89,470.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.31849594188243174,0.6815040581175682,0.31849594188243174,0.3665843992041876,0.6334156007958125,-0.6815040581175682,0.6815040581175682,0.0,0.0
89,90,369.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6665843643581135,0.6665843643581135,0.3334156356418865,0.3679688477584283,0.6320311522415718,0.3334156356418865,-0.3334156356418865,0.0,0.0
90,91,373.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6738836006856729,0.6738836006856729,0.3261163993143271,0.3693389299433096,0.6306610700566905,0.3261163993143271,-0.3261163993143271,0.0,0.0
91,92,304.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6810230399153457,0.6810230399153457,0.31897696008465426,0.37069479483809337,0.6293052051619067,0.31897696008465426,-0.31897696008465426,0.0,0.0
92,93,340.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6279634100249484,0.6880061803737169,0.3119938196262832,0.37203658997505173,0.6279634100249484,0.0,0.0,-0.37203658997505173,0.3720365899750516
93,94,315.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6361081480109135,0.6860552474764086,0.31394475252359155,0.3638918519890865,0.6361081480109135,0.0,0.0,-0.3638918519890865,0.36389185198908647
94,95,479.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.35592542108002595,0.6841245593346834,0.3158754406653167,0.35592542108002595,0.6440745789199741,0.0,0.0,0.644074578919974,-0.6440745789199741
95,96,434.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6299743026835001,0.682213905869492,0.31778609413050807,0.3700256973165,0.6299743026835001,0.0,0.0,-0.3700256973165,0.3700256973164999
96,97,369.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6803230791817672,0.6803230791817672,0.31967692081823296,0.3619249824031656,0.6380750175968344,0.31967692081823285,-0.31967692081823296,0.0,0.0
97,98,413.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6873215433930407,0.6873215433930407,0.3126784566069594,0.3633577815462078,0.6366422184537922,0.31267845660695925,-0.3126784566069594,0.0,0.0
98,99,456.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6352242874123084,0.6941667951009183,0.30583320489908183,0.3647757125876916,0.6352242874123084,0.0,0.0,-0.3647757125876916,0.3647757125876916
99,100,272.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6921519337417101,0.6921519337417101,0.3078480662582899,0.35678993193404746,0.6432100680659525,0.30784806625828987,-0.3078480662582899,0.0,0.0
