,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,562.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,2,338.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.7882624825785204,0.21173751742147962,-0.5,0.5,0.0,0.0
2,3,377.8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.5757331654586341,0.21173751742147962,0.7882624825785204,0.5757331654586341,0.42426683454136593,0.0,0.0,-0.5757331654586341,0.5757331654586341
3,4,509.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.7561913776971577,0.42426683454136593,0.5757331654586341,0.24380862230284228,0.7561913776971577,0.0,0.0,-0.24380862230284228,0.24380862230284228
4,5,472.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5198968395022496,0.48010316049775037,0.5198968395022496,0.10324686482471002,0.89675313517529,-0.48010316049775037,0.48010316049775037,0.0,0.0
5,6,420.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.2033117026199997,0.2033117026199997,0.7966882973800002,0.39576385187664026,0.6042361481233598,0.7966882973800002,-0.7966882973800002,0.0,0.0
6,7,535.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.47261477323728107,0.7047785705644503,0.29522142943554963,0.47261477323728107,0.5273852267627189,0.0,0.0,0.5273852267627189,-0.5273852267627189
7,8,394.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4461999729267033,0.5538000270732966,0.4461999729267033,0.7766655227209956,0.22333447727900435,-0.5538000270732966,0.5538000270732967,0.0,0.0
8,9,438.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5726863781283826,0.234520485760896,0.765479514239104,0.5726863781283826,0.4273136218716173,0.0,0.0,0.42731362187161737,-0.4273136218716173
9,10,317.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5697475571496589,0.4302524428503412,0.5697475571496589,0.8190433490890457,0.18095665091095425,-0.4302524428503412,0.43025244285034114,0.0,0.0
10,11,449.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5838200050485443,0.18220116822731655,0.8177988317726834,0.5838200050485443,0.4161799949514558,0.0,0.0,0.41617999495145575,-0.4161799949514558
11,12,472.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.583493041806595,0.416506958193405,0.583493041806595,0.8237581621369897,0.17624183786301034,-0.416506958193405,0.416506958193405,0.0,0.0
12,13,380.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5850586945702345,0.17638029863328714,0.8236197013667128,0.5850586945702345,0.41494130542976543,0.0,0.0,0.4149413054297655,-0.41494130542976543
13,14,411.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4149776822497078,0.4149776822497078,0.5850223177502922,0.8242827162253471,0.1757172837746529,0.5850223177502922,-0.5850223177502922,0.0,0.0
14,15,407.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7522576536067863,0.7522576536067863,0.24774234639321374,0.5851965069598672,0.4148034930401328,0.24774234639321369,-0.24774234639321374,0.0,0.0
15,16,306.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8950873012290573,0.8950873012290573,0.10491269877094267,0.5223830763558757,0.47761692364412434,0.10491269877094267,-0.10491269877094267,0.0,0.0
16,17,317.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9555720912325062,0.9555720912325062,0.044427908767493834,0.5058805475133971,0.494119452486603,0.04442790876749381,-0.044427908767493834,0.0,0.0
17,18,305.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4984550452981749,0.9811858897866857,0.018814110213314264,0.5015449547018251,0.4984550452981749,0.0,0.0,-0.5015449547018251,0.5015449547018251
18,19,344.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.626418569220671,0.626418569220671,0.373581430779329,0.21239176716766583,0.7876082328323342,0.37358143077932904,-0.373581430779329,0.0,0.0
19,20,500.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.1582024094159589,0.8417975905840411,0.1582024094159589,0.4244387209548734,0.5755612790451266,-0.8417975905840411,0.8417975905840411,0.0,0.0
20,21,539.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6880628361118175,0.3119371638881825,0.6880628361118175,0.48014831900078486,0.5198516809992151,-0.3119371638881825,0.3119371638881825,0.0,0.0
21,22,439.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.867902398653638,0.13209760134636198,0.867902398653638,0.49478450810422037,0.5052154918957796,-0.13209760134636198,0.13209760134636195,0.0,0.0
22,23,382.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4986297706619395,0.05594003633282198,0.944059963667178,0.4986297706619395,0.5013702293380605,0.0,0.0,0.5013702293380605,-0.5013702293380605
23,24,473.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6166647369478644,0.38333526305213556,0.6166647369478644,0.7876822246618423,0.21231777533815765,-0.38333526305213556,0.3833352630521356,0.0,0.0
24,25,493.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5755807183957372,0.16233291387753804,0.837667086122462,0.5755807183957372,0.4244192816042628,0.0,0.0,0.4244192816042628,-0.4244192816042628
25,26,376.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.41128711209832347,0.41128711209832347,0.5887128879016765,0.8202690299346111,0.1797309700653889,0.5887128879016765,-0.5887128879016765,0.0,0.0
26,27,460.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.24930521071666162,0.7506947892833384,0.24930521071666162,0.5841420195176016,0.4158579804823984,-0.7506947892833384,0.7506947892833384,0.0,0.0
27,28,455.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.27817803963089743,0.27817803963089743,0.7218219603691026,0.5221060383201771,0.47789396167982295,0.7218219603691025,-0.7218219603691026,0.0,0.0
28,29,395.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.26747890189793394,0.732521098102066,0.26747890189793394,0.5058077632675658,0.4941922367324341,-0.732521098102066,0.732521098102066,0.0,0.0
29,30,382.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4984741673888577,0.2714435826214249,0.728556417378575,0.5015258326111423,0.4984741673888577,0.0,0.0,-0.5015258326111423,0.5015258326111423
30,31,378.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5600470127750646,0.43995298722493537,0.5600470127750646,0.2123836694396476,0.7876163305603523,-0.43995298722493537,0.43995298722493537,0.0,0.0
31,32,353.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.42443659349600205,0.18630910659434352,0.8136908934056565,0.42443659349600205,0.575563406503998,0.0,0.0,0.575563406503998,-0.575563406503998
32,33,404.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.24373673362361287,0.4175862078177788,0.5824137921822212,0.7562632663763871,0.24373673362361287,0.0,0.0,-0.7562632663763871,0.7562632663763871
33,34,408.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5216519933623673,0.47834800663763266,0.5216519933623673,0.2802414987937785,0.7197585012062214,-0.47834800663763266,0.47834800663763266,0.0,0.0
34,35,383.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.20256843877793157,0.20256843877793157,0.7974315612220684,0.44226440158316893,0.5577355984168311,0.7974315612220684,-0.7974315612220684,0.0,0.0
35,36,515.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5151684658670908,0.7045031461423461,0.2954968538576539,0.48483153413290925,0.5151684658670908,0.0,0.0,-0.48483153413290925,0.48483153413290925
36,37,530.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.20531405080989912,0.5537276667607649,0.44627233323923515,0.20531405080989912,0.7946859491901008,0.0,0.0,0.7946859491901008,-0.7946859491901008
37,38,429.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5141154902993351,0.5141154902993351,0.4858845097006649,0.7055205622527854,0.2944794377472145,0.4858845097006649,-0.4858845097006649,0.0,0.0
38,39,317.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7942400403248568,0.7942400403248568,0.2057599596751432,0.5539949653073636,0.4460050346926364,0.20575995967514316,-0.2057599596751432,0.0,0.0
39,40,284.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.48581428424199496,0.9128657939072828,0.08713420609271716,0.5141857157580051,0.48581428424199496,0.0,0.0,-0.5141857157580051,0.514185715758005
40,41,860.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,0,0.21774481389637312,0.6084693131152561,0.3915306868847439,0.21774481389637312,0.7822551861036269,0.0,0.0,0.7822551861036269,-0.7822551861036269
41,42,291.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4715026237064879,0.5284973762935121,0.4715026237064879,0.7101269154017298,0.28987308459827016,-0.5284973762935121,0.5284973762935121,0.0,0.0
42,43,379.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.22380544484030757,0.22380544484030757,0.7761945551596925,0.5552051599260646,0.44479484007393544,0.7761945551596925,-0.7761945551596925,0.0,0.0
43,44,426.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4854963383599107,0.7123727474748678,0.2876272525251322,0.5145036616400893,0.4854963383599107,0.0,0.0,-0.5145036616400893,0.5145036616400893
44,45,389.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5557951915197213,0.5557951915197213,0.44420480848027866,0.21787945603986691,0.7821205439601331,0.44420480848027866,-0.44420480848027866,0.0,0.0
45,46,417.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.18810964674859604,0.8118903532514039,0.18810964674859604,0.4258804626814635,0.5741195373185365,-0.8118903532514039,0.8118903532514039,0.0,0.0
46,47,380.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6991452850254585,0.3008547149745415,0.6991452850254585,0.48052709761863266,0.5194729023813673,-0.3008547149745415,0.3008547149745415,0.0,0.0
47,48,648.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5051159780656028,0.12740446090651253,0.8725955390934874,0.4948840219343972,0.5051159780656028,0.0,0.0,-0.4948840219343972,0.4948840219343972
48,49,647.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5978893935794428,0.4021106064205572,0.5978893935794428,0.20957102843189263,0.7904289715681074,-0.4021106064205572,0.4021106064205572,0.0,0.0
49,50,475.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4236976481954875,0.17028380306466892,0.829716196935331,0.4236976481954875,0.5763023518045125,0.0,0.0,0.5763023518045125,-0.5763023518045125
50,51,414.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.24404965851049526,0.4133759930410186,0.5866240069589814,0.7559503414895048,0.24404965851049526,0.0,0.0,-0.7559503414895048,0.7559503414895048
51,52,521.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.2801255411065436,0.4772418866547178,0.5227581133452822,0.2801255411065436,0.7198744588934565,0.0,0.0,0.7198744588934565,-0.7198744588934565
52,53,401.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5059790783319682,0.49402092166803174,0.5059790783319682,0.7332427657497005,0.2667572342502995,-0.49402092166803174,0.4940209216680318,0.0,0.0
53,54,524.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.20920552701652056,0.20920552701652056,0.7907944729834794,0.561278223973319,0.4387217760266811,0.7907944729834795,-0.7907944729834794,0.0,0.0
54,55,392.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.29303740932516875,0.7069625906748312,0.29303740932516875,0.5160991948507155,0.48390080514928446,-0.7069625906748312,0.7069625906748312,0.0,0.0
55,56,483.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.2619726024128272,0.2619726024128272,0.7380273975871727,0.5042296277214914,0.4957703722785086,0.7380273975871727,-0.7380273975871727,0.0,0.0
56,57,351.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2734840012019906,0.7265159987980093,0.2734840012019906,0.5011112202087307,0.4988887797912693,-0.7265159987980093,0.7265159987980094,0.0,0.0
57,58,330.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.2692183283955548,0.2692183283955548,0.7307816716044452,0.5002919430346121,0.49970805696538795,0.7307816716044452,-0.7307816716044452,0.0,0.0
58,59,377.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4999232998691089,0.7292009806020019,0.27079901939799805,0.5000767001308911,0.4999232998691089,0.0,0.0,-0.5000767001308911,0.5000767001308911
59,60,497.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.21176999801208118,0.5602163543168833,0.4397836456831167,0.21176999801208118,0.7882300019879188,0.0,0.0,0.7882300019879188,-0.7882300019879188
60,61,604.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7079128830232254,0.5158202173380438,0.48417978266195616,0.7079128830232254,0.2920871169767746,0.0,0.0,0.2920871169767746,-0.2920871169767746
61,62,416.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.49584366606942243,0.5041563339305776,0.49584366606942243,0.8763083979610808,0.12369160203891913,-0.5041563339305776,0.5041563339305776,0.0,0.0
62,63,443.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.21349762107754994,0.21349762107754994,0.7865023789224501,0.5988648467581874,0.4011351532418126,0.7865023789224501,-0.7865023789224501,0.0,0.0
63,64,455.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2914469276422622,0.7085530723577378,0.2914469276422622,0.5259740627035667,0.4740259372964332,-0.7085530723577378,0.7085530723577378,0.0,0.0
64,65,346.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7374380274690691,0.26256197253093094,0.7374380274690691,0.5068239819860232,0.49317601801397676,-0.26256197253093094,0.26256197253093094,0.0,0.0
65,66,294.1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.5017928165754052,0.1111884404659721,0.8888115595340279,0.5017928165754052,0.49820718342459475,0.0,0.0,-0.5017928165754052,0.5017928165754053
66,67,437.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.39785028593722993,0.39785028593722993,0.6021497140627701,0.21249673048321638,0.7875032695167836,0.6021497140627701,-0.6021497140627701,0.0,0.0
67,68,448.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5755337027748032,0.7450046288565906,0.2549953711434095,0.4244662972251968,0.5755337027748032,0.0,0.0,-0.4244662972251968,0.4244662972251968
68,69,508.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.43563166483077387,0.5643683351692261,0.43563166483077387,0.1797508800071021,0.8202491199928978,-0.5643683351692261,0.5643683351692261,0.0,0.0
69,70,531.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.23899590040005092,0.23899590040005092,0.7610040995999491,0.41586321128072,0.58413678871928,0.7610040995999491,-0.7610040995999491,0.0,0.0
70,71,427.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.28199826560656877,0.7180017343934313,0.28199826560656877,0.47789533593051015,0.5221046640694899,-0.7180017343934313,0.7180017343934313,0.0,0.0
71,72,374.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7339367239836229,0.2660632760163772,0.7339367239836229,0.49419259777960806,0.505807402220392,-0.2660632760163772,0.26606327601637714,0.0,0.0
72,73,557.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5015257377557691,0.11267115508146722,0.8873288449185328,0.4984742622442309,0.5015257377557691,0.0,0.0,-0.4984742622442309,0.49847426224423086
73,74,429.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.39823982907270417,0.39823982907270417,0.6017601709272958,0.21109140557219408,0.7889085944278059,0.6017601709272958,-0.6017601709272958,0.0,0.0
74,75,448.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7451695906494583,0.7451695906494583,0.2548304093505417,0.42409708614001645,0.5759029138599836,0.2548304093505417,-0.2548304093505417,0.0,0.0
75,76,444.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.48005856369954497,0.8920856835212339,0.1079143164787662,0.48005856369954497,0.519941436300455,0.0,0.0,0.5199414363004551,-0.519941436300455
76,77,459.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3969900984739252,0.6030099015260748,0.3969900984739252,0.7798177821463665,0.22018221785363346,-0.6030099015260748,0.6030099015260748,0.0,0.0
77,78,435.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5735145489763359,0.25535963905940395,0.744640360940596,0.5735145489763359,0.4264854510236641,0.0,0.0,0.4264854510236641,-0.4264854510236641
78,79,286.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.18060594123226134,0.43572736636677156,0.5642726336332284,0.8193940587677386,0.18060594123226134,0.0,0.0,-0.8193940587677386,0.8193940587677386
79,80,449.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5168858949450058,0.4831141050549942,0.5168858949450058,0.30363529387331656,0.6963647061266834,-0.4831141050549942,0.4831141050549942,0.0,0.0
80,81,473.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7954132375287113,0.2045867624712887,0.7954132375287113,0.44841048808605416,0.5515895119139458,-0.2045867624712887,0.2045867624712887,0.0,0.0
81,82,444.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.08663738636593721,0.08663738636593721,0.9133626136340628,0.486446252017396,0.513553747982604,0.9133626136340628,-0.9133626136340628,0.0,0.0
82,83,428.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6615436460196626,0.6615436460196626,0.33845635398033735,0.49643911955045494,0.5035608804495451,0.33845635398033735,-0.33845635398033735,0.0,0.0
83,84,523.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.499064475037294,0.8566721837053557,0.1433278162946443,0.499064475037294,0.500935524962706,0.0,0.0,0.500935524962706,-0.500935524962706
84,85,423.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.212133688887658,0.5937059629176413,0.4062940370823587,0.7878663111123421,0.212133688887658,0.0,0.0,-0.7878663111123421,0.7878663111123421
85,86,622.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.2919523474056468,0.524618705599919,0.47538129440008103,0.2919523474056468,0.7080476525943533,0.0,0.0,0.7080476525943532,-0.7080476525943533
