,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q,PE
0,1,458.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5
1,2,425.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.24241625772602293,0.7575837422739771,-0.7575837422739771
2,3,385.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5642396339306757,0.4357603660693244,-0.4357603660693244
3,4,356.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.788729205584305,0.21127079441569493,-0.21127079441569493
4,5,336.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.10243095069811345,0.10243095069811345,0.8975690493018865
5,6,371.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.516279581610711,0.48372041838928903,-0.48372041838928903
6,7,339.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.23452338722319513,0.23452338722319513,0.7654766127768049
7,8,446.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.559699673596619,0.559699673596619,0.440300326403381
8,9,401.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7865280851954919,0.7865280851954919,0.2134719148045081
9,10,381.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.1034981254330345,0.8965018745669655,-0.8965018745669655
10,11,336.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4843342547577323,0.5156657452422677,-0.5156657452422677
11,12,336.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7499884796017374,0.2500115203982626,-0.2500115203982626
12,13,343.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8787862856733198,0.12121371432668016,-0.12121371432668016
13,14,375.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.94123164997571,0.058768350024290046,-0.058768350024290046
14,15,370.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9715071930287571,0.02849280697124285,-0.02849280697124285
15,16,386.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9861857607238428,0.013814239276157263,-0.013814239276157263
16,17,385.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9933024076226842,0.006697592377315776,-0.006697592377315776
17,18,492.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9967527894402335,0.0032472105597664567,-0.0032472105597664567
18,19,360.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.998425646736106,0.0015743532638940174,-0.0015743532638940174
19,20,391.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9992367023468561,0.0007632976531438753,-0.0007632976531438753
20,21,459.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9996299284787876,0.00037007152121238833,-0.00037007152121238833
21,22,358.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0001794227065265674,0.0001794227065265674,0.9998205772934734
22,23,386.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5750944172287749,0.4249055827712251,-0.4249055827712251
23,24,281.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7939919574754094,0.2060080425245906,-0.2060080425245906
24,25,361.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9001206025394507,0.09987939746054932,-0.09987939746054932
25,26,364.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.04842477951263282,0.04842477951263282,0.9515752204873672
26,27,551.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5473438027820211,0.4526561972179789,-0.4526561972179789
27,28,427.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7805375572678499,0.21946244273215013,-0.21946244273215013
28,29,442.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.893597471842921,0.10640252815707893,-0.10640252815707893
29,30,378.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9484125946231463,0.051587405376853725,-0.051587405376853725
30,31,357.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.025011251514504392,0.025011251514504392,0.9749887484854957
31,32,393.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5608112083797365,0.4391887916202634,-0.4391887916202634
32,33,348.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7870669934004032,0.21293300659959677,-0.21293300659959677
33,34,424.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8967631547875504,0.10323684521244961,-0.10323684521244961
34,35,343.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9499474206483145,0.05005257935168545,-0.05005257935168545
35,36,338.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9757328820480592,0.024267117951940795,-0.024267117951940795
36,37,634.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.988234512160589,0.011765487839410957,-0.011765487839410957
37,38,429.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.994295708935298,0.005704291064702072,-0.005704291064702072
38,39,425.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.002765625785770135,0.002765625785770135,0.9972343742142299
39,40,476.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5736068393708367,0.4263931606291634,-0.4263931606291634
40,41,467.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7932707313606144,0.20672926863938557,-0.20672926863938557
41,42,367.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8997709286680049,0.10022907133199506,-0.10022907133199506
42,43,386.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9514056872246863,0.04859431277531371,-0.04859431277531371
43,44,386.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9764398971004812,0.02356010289951884,-0.02356010289951884
44,45,409.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9885772960469172,0.011422703953082761,-0.011422703953082761
45,46,357.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9944619017091628,0.005538098290837144,-0.005538098290837144
46,47,364.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9973149498748327,0.002685050125167249,-0.002685050125167249
47,48,351.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9986982003937004,0.0013017996062996682,-0.0013017996062996682
48,49,307.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9993688452222632,0.0006311547777367513,-0.0006311547777367513
49,50,306.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9996939956414703,0.0003060043585296861,-0.0003060043585296861
50,51,410.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9998516391371147,0.00014836086288523746,-0.00014836086288523746
51,52,365.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9999280698296528,7.193017034728577e-05,-7.193017034728577e-05
52,53,481.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9999651259145736,3.487408542636873e-05,-3.487408542636873e-05
53,54,412.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9999830919094387,1.6908090561355888e-05,-1.6908090561355888e-05
54,55,416.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.9999918024079216,8.19759207835317e-06,-8.19759207835317e-06
55,56,363.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.9999952847645407,4.715235459287753e-06,-4.715235459287753e-06
56,57,363.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9999977139005313,2.2860994686751647e-06,-2.2860994686751647e-06
57,58,558.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,1.1083753559713659e-06,1.1083753559713659e-06,0.9999988916246441
58,59,341.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5751969832078085,0.4248030167921915,-0.4248030167921915
59,60,369.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7940416847970241,0.20595831520297594,-0.20595831520297594
60,61,308.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9001447119618758,0.09985528803812418,-0.09985528803812418
61,62,384.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9515869095192877,0.048413090480712344,-0.048413090480712344
