,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q,PE
0,1,458.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5
1,2,425.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2878612689250901,0.7121387310749099,-0.7121387310749099
2,3,385.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.590005682444146,0.409994317555854,-0.409994317555854
3,4,356.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.763957030992591,0.23604296900740895,-0.23604296900740895
4,5,336.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.1358952571586369,0.1358952571586369,0.8641047428413631
5,6,371.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.49748457551700687,0.5025154244829931,-0.5025154244829931
6,7,339.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2893094554922093,0.2893094554922093,0.7106905445077907
7,8,446.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5908394360898483,0.5908394360898483,0.40916056391015165
8,9,401.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7644370417574367,0.7644370417574367,0.23556295824256335
9,10,381.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.13561890414290456,0.8643810958570954,-0.8643810958570954
10,11,336.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5023563218234333,0.4976436781765668,-0.4976436781765668
11,12,336.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7134953186550886,0.28650468134491136,-0.28650468134491136
12,13,343.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8350527977501505,0.16494720224984954,-0.16494720224984954
13,14,375.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9050361781094297,0.09496382189057032,-0.09496382189057032
14,15,370.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9453271874572083,0.05467281254279163,-0.05467281254279163
15,16,386.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9685236296114569,0.03147637038854316,-0.03147637038854316
16,17,385.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9818783441575957,0.018121655842404327,-0.018121655842404327
17,18,492.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9895669543083634,0.010433045691636562,-0.010433045691636562
18,19,360.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9939934604569041,0.006006539543095889,-0.006006539543095889
19,20,391.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9965418998105514,0.003458100189448627,-0.003458100189448627
20,21,459.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9980090937827905,0.001990906217209552,-0.001990906217209552
21,22,358.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0011462095799935853,0.0011462095799935853,0.9988537904200064
22,23,386.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.575062639161878,0.42493736083812195,-0.42493736083812195
23,24,281.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7553539841909187,0.24464601580908132,-0.24464601580908132
24,25,361.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8591517749034604,0.1408482250965396,-0.1408482250965396
25,26,364.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.08108949760427321,0.08108949760427321,0.9189105023957268
26,27,551.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5290374864964519,0.4709625135035481,-0.4709625135035481
27,28,427.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7288562664934375,0.27114373350656246,-0.27114373350656246
28,29,442.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8438964416234289,0.15610355837657106,-0.15610355837657106
29,30,378.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9101276632039967,0.08987233679600323,-0.08987233679600323
30,31,357.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.05174152982272111,0.05174152982272111,0.9482584701772789
31,32,393.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5459337729883923,0.4540662270116077,-0.4540662270116077
32,33,348.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7385838394328212,0.26141616056717876,-0.26141616056717876
33,34,424.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8494968246032136,0.15050317539678634,-0.15050317539678634
34,35,343.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9133519299060514,0.08664807009394862,-0.08664807009394862
35,36,338.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9501147531856916,0.04988524681430839,-0.04988524681430839
36,37,634.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9712799391027838,0.02872006089721624,-0.02872006089721624
37,38,429.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.983465213653043,0.016534786346957056,-0.016534786346957056
38,39,425.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.009519449158480625,0.009519449158480625,0.9904805508415194
39,40,476.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5702419764217239,0.42975802357827614,-0.42975802357827614
40,41,467.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7525786200040373,0.2474213799959627,-0.2474213799959627
41,42,367.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8575539351903305,0.14244606480966943,-0.14244606480966943
42,43,386.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9179905900610059,0.08200940993899411,-0.08200940993899411
43,44,386.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9527853343823265,0.04721466561767348,-0.04721466561767348
44,45,409.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9728174528868454,0.027182547113154615,-0.027182547113154615
45,46,357.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9843503949907826,0.015649605009217464,-0.015649605009217464
46,47,364.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9909901696877405,0.009009830312259569,-0.009009830312259569
47,48,351.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9948128376270264,0.00518716237297356,-0.00518716237297356
48,49,307.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9970136337143907,0.002986366285609301,-0.002986366285609301
49,50,306.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9982806816230988,0.0017193183769012026,-0.0017193183769012026
50,51,410.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.999010149660678,0.0009898503393220128,-0.0009898503393220128
51,52,365.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9994301208505537,0.0005698791494463311,-0.0005698791494463311
52,53,481.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9996719077298128,0.0003280922701871438,-0.0003280922701871438
53,54,412.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9998111098855589,0.00018889011444116942,-0.00018889011444116942
