,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,628.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,2,543.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.21266326913173667,0.5,0.5,0.7873367308682633,0.21266326913173667,0.0,0.0,-0.7873367308682633,0.7873367308682633
2,3,419.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6651247938121216,0.5,0.5,0.33487520618787836,0.6651247938121216,0.0,0.0,-0.33487520618787836,0.33487520618787836
3,4,430.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8575686878018428,0.5,0.5,0.14243131219815716,0.8575686878018428,0.0,0.0,-0.14243131219815716,0.1424313121981572
4,5,386.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9394201830424338,0.5,0.5,0.0605798169575662,0.9394201830424338,0.0,0.0,-0.0605798169575662,0.0605798169575662
5,6,413.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9742337961648035,0.5,0.5,0.02576620383519649,0.9742337961648035,0.0,0.0,-0.02576620383519649,0.025766203835196455
6,7,385.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.010959050281415153,0.5,0.5,0.010959050281415153,0.9890409497185848,0.0,0.0,0.9890409497185848,-0.9890409497185848
7,8,408.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4206653633446237,0.5,0.5,0.5793346366553763,0.4206653633446237,0.0,0.0,-0.5793346366553763,0.5793346366553763
8,9,359.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7535936044952416,0.5,0.5,0.24640639550475835,0.7535936044952416,0.0,0.0,-0.24640639550475835,0.2464063955047584
9,10,403.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.10480317920601914,0.8951968207939809,0.5,-0.5,0.0,0.0
