,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,648.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,2,371.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.5003387887512867,0.5003387887512867,0.49966121124871327,0.5,0.5,0.4996612112487133,-0.49966121124871327,0.0,0.0
2,3,375.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.182661407869448,0.817338592130552,0.182661407869448,0.5,0.5,-0.817338592130552,0.817338592130552,0.0,0.0
3,4,422.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.69772045602926,0.3022795439707401,0.69772045602926,0.5,0.5,-0.3022795439707401,0.30227954397074,0.0,0.0
4,5,386.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.11050448949967853,0.8894955105003215,0.5,0.5,0.0,0.0,0.5,-0.5
5,6,389.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.1827852590487815,0.33259638482054527,0.6674036151794548,0.8172147409512185,0.1827852590487815,0.0,0.0,-0.8172147409512185,0.8172147409512185
6,7,401.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5719494053709455,0.42805059462905454,0.5719494053709455,0.30223373960230615,0.6977662603976938,-0.42805059462905454,0.4280505946290545,0.0,0.0
7,8,404.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8435173223494866,0.15648267765051338,0.8435173223494866,0.41500085095058353,0.5849991490494165,-0.15648267765051338,0.15648267765051338,0.0,0.0
8,9,383.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9427945464580079,0.05720545354199212,0.9427945464580079,0.4634677051353641,0.5365322948646359,-0.05720545354199212,0.057205453541992135,0.0,0.0
9,10,335.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.48429856553857037,0.02091262728935213,0.9790873727106478,0.48429856553857037,0.5157014344614297,0.0,0.0,0.5157014344614297,-0.5157014344614297
10,11,506.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.1885252405797213,0.2940901601777946,0.7059098398222055,0.8114747594202787,0.1885252405797213,0.0,0.0,-0.8114747594202787,0.8114747594202787
11,12,454.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3001108996724674,0.41150077303078136,0.5884992269692186,0.3001108996724674,0.6998891003275326,0.0,0.0,0.6998891003275326,-0.6998891003275326
12,13,361.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.46196338562104666,0.46196338562104666,0.5380366143789533,0.741157263202732,0.258842736797268,0.5380366143789533,-0.5380366143789533,0.0,0.0
13,14,353.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8033096761260273,0.8033096761260273,0.19669032387397267,0.6036484287971975,0.39635157120280257,0.19669032387397267,-0.19669032387397267,0.0,0.0
14,15,328.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.455452319165289,0.9280958163966143,0.07190418360338566,0.5445476808347111,0.455452319165289,0.0,0.0,-0.5445476808347111,0.544547680834711
15,16,299.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6839938725248392,0.6839938725248392,0.3160061274751607,0.19907057781157173,0.8009294221884282,0.31600612747516077,-0.3160061274751607,0.0,0.0
16,17,375.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.37066173593760654,0.884477476256901,0.11552252374309904,0.37066173593760654,0.6293382640623935,0.0,0.0,0.6293382640623935,-0.6293382640623935
17,18,346.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.33475311590164,0.6652468840983601,0.33475311590164,0.7672493562695601,0.2327506437304399,-0.6652468840983601,0.6652468840983601,0.0,0.0
18,19,390.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.24603086981250505,0.24603086981250505,0.753969130187495,0.6148627062130656,0.3851372937869344,0.7539691301874949,-0.753969130187495,0.0,0.0
19,20,273.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.721156633205094,0.721156633205094,0.2788433667949059,0.5493675324900745,0.4506324675099254,0.27884336679490596,-0.2788433667949059,0.0,0.0
20,21,405.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.521217968342464,0.8980630859327174,0.10193691406728256,0.521217968342464,0.478782031657536,0.0,0.0,0.47878203165753597,-0.478782031657536
21,22,268.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6710859248904535,0.6710859248904535,0.32891407510954646,0.8249714046311507,0.17502859536884924,0.3289140751095465,-0.32891407510954646,0.0,0.0
22,23,387.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.12024128884737767,0.8797587111526224,0.12024128884737767,0.639671412117997,0.36032858788200295,-0.8797587111526224,0.8797587111526224,0.0,0.0
23,24,263.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.32536462192283666,0.32536462192283666,0.6746353780771635,0.560030215228252,0.4399697847717479,-0.32536462192283666,0.32536462192283655,0.0,0.0
24,25,326.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.4741992531921575,0.32514416217488845,0.6748558378251117,0.5258007468078425,0.4741992531921575,0.0,0.0,-0.5258007468078425,0.5258007468078425
25,26,326.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5751523409077446,0.4248476590922555,0.5751523409077446,0.19221725142662854,0.8077827485733715,-0.4248476590922555,0.4248476590922554,0.0,0.0
26,27,301.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8446882211531074,0.15531177884689268,0.8446882211531074,0.3677162036223033,0.6322837963776967,-0.15531177884689268,0.15531177884689262,0.0,0.0
27,28,321.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5568550474814036,0.05677740745971269,0.9432225925402873,0.4431449525185964,0.5568550474814036,0.0,0.0,-0.4431449525185964,0.4431449525185964
28,29,376.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3095046994889732,0.3095046994889732,0.6904953005110268,0.16200072988454328,0.8379992701154567,0.6904953005110268,-0.6904953005110268,0.0,0.0
29,30,400.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7446314091099795,0.7446314091099795,0.2553685908900205,0.3547292633163796,0.6452707366836203,0.2553685908900205,-0.2553685908900205,0.0,0.0
30,31,443.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4375632174312299,0.9066447719224906,0.0933552280775094,0.4375632174312299,0.56243678256877,0.0,0.0,0.5624367825687702,-0.56243678256877
31,32,334.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.20561030600079166,0.6747742992626704,0.3252257007373296,0.7943896939992083,0.20561030600079166,0.0,0.0,-0.7943896939992083,0.7943896939992083
32,33,402.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.29379226277716397,0.5751172959591861,0.42488270404081385,0.29379226277716397,0.706207737222836,0.0,0.0,0.706207737222836,-0.706207737222836
33,34,381.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4677148861358636,0.5322851138641363,0.4677148861358636,0.7388204168851609,0.2611795831148391,-0.5322851138641363,0.5322851138641365,0.0,0.0
34,35,465.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3973559384191992,0.19458774485093266,0.8054122551490673,0.6026440615808007,0.3973559384191992,0.0,0.0,-0.6026440615808007,0.6026440615808009
