,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,494.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-0.5,0.5
1,2,361.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8161994415107949,0.5,0.5,0.183800558489205,0.8161994415107949,0.0,0.0,-0.183800558489205,0.18380055848920507
2,3,257.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.06756529060188735,0.9324347093981127,0.5,-0.5,0.0,0.0
3,4,332.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.183800558489205,0.8161994415107949,0.183800558489205,0.4124427864735989,0.5875572135264011,-0.8161994415107949,0.8161994415107949,0.0,0.0
4,5,320.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.3000358263765227,0.3000358263765227,0.6999641736234772,0.4822718540535792,0.5177281459464208,-0.3000358263765227,0.3000358263765228,0.0,0.0
5,6,355.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.5035895061758998,0.11029350490955003,0.8897064950904499,0.4964104938241002,0.5035895061758998,0.0,0.0,-0.4964104938241002,0.4964104938241002
6,7,383.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4210941812447194,0.4210941812447194,0.5789058187552806,0.18248105200954334,0.8175189479904567,0.5789058187552806,-0.5789058187552806,0.0,0.0
7,8,450.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7871935744002578,0.7871935744002578,0.2128064255997421,0.4357103541328267,0.5642896458671733,0.21280642559974217,-0.2128064255997421,0.0,0.0
8,9,429.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9217721202493518,0.9217721202493518,0.0782278797506481,0.48698295458622276,0.5130170454137772,0.07822787975064815,-0.0782278797506481,0.0,0.0
9,10,257.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5026356261419517,0.9712433440248089,0.028756655975190983,0.49736437385804827,0.5026356261419517,0.0,0.0,-0.49736437385804827,0.4973643738580483
10,11,368.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.18283169937548605,0.5954149914402213,0.4045850085597787,0.18283169937548605,0.8171683006245138,0.0,0.0,0.817168300624514,-0.8171683006245138
11,12,396.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5193191494521314,0.5193191494521314,0.4806808505478685,0.6996080199310795,0.30039198006892043,0.4806808505478686,-0.4806808505478685,0.0,0.0
12,13,375.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8233011824284713,0.8233011824284713,0.17669881757152867,0.5404156318696371,0.4595843681303628,0.17669881757152872,-0.17669881757152867,0.0,0.0
13,14,371.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9350453172919417,0.9350453172919417,0.06495468270805824,0.5081831546647575,0.49181684533524245,0.06495468270805826,-0.06495468270805824,0.0,0.0
14,15,318.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4983431158398478,0.9761225860835395,0.02387741391646042,0.5016568841601522,0.4983431158398478,0.0,0.0,-0.5016568841601522,0.5016568841601522
15,16,410.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5964029159280079,0.5964029159280079,0.40359708407199213,0.18440963095718077,0.8155903690428192,0.40359708407199213,-0.40359708407199213,0.0,0.0
16,17,333.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8516372610859064,0.8516372610859064,0.14836273891409357,0.4361008431362553,0.5638991568637447,0.14836273891409357,-0.14836273891409357,0.0,0.0
17,18,368.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5129379811566539,0.9454616914572029,0.05453830854279702,0.4870620188433461,0.5129379811566539,0.0,0.0,-0.4870620188433461,0.4870620188433461
18,19,308.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8209554578354266,0.5901948515905147,0.4098051484094853,0.17904454216457344,0.8209554578354266,0.0,0.0,-0.17904454216457344,0.17904454216457344
19,20,367.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5182622016874745,0.5182622016874745,0.4817377983125255,0.06581697368858523,0.9341830263114148,0.4817377983125255,-0.4817377983125255,0.0,0.0
20,21,363.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8229126472495956,0.8229126472495956,0.17708735275040438,0.41208879602379694,0.5879112039762031,0.17708735275040444,-0.17708735275040438,0.0,0.0
21,22,262.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9349024913262016,0.9349024913262016,0.06509750867379836,0.482200179840742,0.5177998201592581,0.06509750867379838,-0.06509750867379836,0.0,0.0
22,23,426.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.976070083099,0.976070083099,0.023929916901000013,0.49639598158856185,0.5036040184114381,0.023929916900999992,-0.023929916901000013,0.0,0.0
23,24,369.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9912033358179919,0.9912033358179919,0.008796664182008137,0.4992702764076395,0.5007297235923606,0.008796664182008085,-0.008796664182008137,0.0,0.0
24,25,356.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.0032336635789901626,0.9967663364210099,0.0032336635789901626,0.49985224922282373,0.5001477507771763,-0.9967663364210099,0.9967663364210099,0.0,0.0
25,26,288.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.36641241863484086,0.36641241863484086,0.6335875813651591,0.4999700841628464,0.5000299158371536,0.6335875813651591,-0.6335875813651591,0.0,0.0
26,27,263.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7670924973865183,0.7670924973865183,0.23290750261348175,0.49999394279116693,0.5000060572088331,0.2329075026134817,-0.23290750261348175,0.0,0.0
27,28,275.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.9143829418866322,0.9143829418866322,0.08561705811336784,0.4999987735667012,0.5000012264332988,-0.9143829418866322,0.9143829418866322,0.0,0.0
28,29,454.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.5000002483220701,0.3361281907835305,0.6638718092164695,0.4999997516779299,0.5000002483220701,0.0,0.0,-0.4999997516779299,0.49999975167792987
29,30,262.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8161995327942653,0.46682005704284313,0.5331799429571569,0.18380046720573467,0.8161995327942653,0.0,0.0,-0.18380046720573467,0.18380046720573473
30,31,313.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4932818913765337,0.4932818913765337,0.5067181086234662,0.0675652570459817,0.9324347429540183,0.5067181086234662,-0.5067181086234662,0.0,0.0
31,32,289.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8137298572768265,0.8137298572768265,0.1862701427231735,0.4124427796793672,0.5875572203206327,0.18627014272317355,-0.1862701427231735,0.0,0.0
32,33,328.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5177281473220827,0.9315268874752336,0.06847311252476643,0.4822718526779172,0.5177281473220827,0.0,0.0,-0.4822718526779172,0.4822718526779173
33,34,487.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.41262659770849286,0.5873734022915071,0.41262659770849286,0.17728367173164955,0.8227163282683504,-0.5873734022915071,0.5873734022915071,0.0,0.0
34,35,479.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.43465801461224834,0.21591911876576703,0.784080881234233,0.43465801461224834,0.5653419853877517,0.0,0.0,0.5653419853877517,-0.5653419853877517
35,36,358.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2078203453033295,0.4424807263699668,0.5575192736300332,0.7921796546966706,0.2078203453033295,0.0,0.0,-0.7921796546966706,0.7921796546966705
36,37,501.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4883537856382574,0.4883537856382574,0.5116462143617426,0.29120612591406725,0.7087938740859328,0.5116462143617426,-0.5116462143617426,0.0,0.0
37,38,245.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.542275537599171,0.8119182801028484,0.1880817198971516,0.457724462400829,0.542275537599171,0.0,0.0,-0.457724462400829,0.457724462400829
38,39,288.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5631556506917899,0.5631556506917899,0.4368443493082101,0.16826002364688697,0.831739976353113,0.43684434930821014,-0.4368443493082101,0.0,0.0
39,40,420.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5671690484448415,0.8394155292485952,0.16058447075140475,0.43283095155515855,0.5671690484448415,0.0,0.0,-0.43283095155515855,0.4328309515551585
40,41,327.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8408908587454957,0.5687231559417589,0.43127684405824107,0.15910914125450437,0.8408908587454957,0.0,0.0,-0.15910914125450437,0.15910914125450426
41,42,291.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.513914720322464,0.513914720322464,0.48608527967753595,0.05848869804663143,0.9415113019533686,0.486085279677536,-0.48608527967753595,0.0,0.0
42,43,342.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.17868549175622506,0.8213145082437749,0.17868549175622506,0.4106050034853674,0.5893949965146326,-0.8213145082437749,0.8213145082437749,0.0,0.0
43,44,353.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5181002510388629,0.3019161306209852,0.6980838693790148,0.4818997489611371,0.5181002510388629,0.0,0.0,-0.4818997489611371,0.4818997489611371
44,45,373.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.17714688598972939,0.45989297049838096,0.540107029501619,0.17714688598972939,0.8228531140102706,0.0,0.0,0.8228531140102706,-0.8228531140102706
45,46,584.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4918793295966675,0.4918793295966675,0.5081206704033324,0.6975182761806615,0.30248172381933847,0.5081206704033325,-0.5081206704033324,0.0,0.0
46,47,684.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,0,0.8132142739999164,0.8132142739999164,0.18678572600008353,0.5399925110243529,0.46000748897564714,0.18678572600008359,-0.18678572600008353,0.0,0.0
47,48,367.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.06866264151325395,0.931337358486746,0.06866264151325395,0.5080974832757759,0.49190251672422414,-0.931337358486746,0.931337358486746,0.0,0.0
48,49,331.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4983604621534881,0.3423606532634498,0.6576393467365502,0.5016395378465118,0.4983604621534881,0.0,0.0,-0.5016395378465118,0.5016395378465119
49,50,310.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8155967455670889,0.46808197482208225,0.5319180251779178,0.1844032544329111,0.8155967455670889,0.0,0.0,-0.1844032544329111,0.18440325443291106
50,51,318.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.932213157696008,0.49353739816645675,0.5064626018335433,0.06778684230399207,0.932213157696008,0.0,0.0,-0.06778684230399207,0.06778684230399201
51,52,313.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9750814810526132,0.4986914847574025,0.5013085152425976,0.024918518947386822,0.9750814810526132,0.0,0.0,-0.024918518947386822,0.024918518947386836
52,53,356.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5002649416108575,0.49973505838914245,0.5002649416108575,0.009160075398507071,0.990839924601493,-0.49973505838914245,0.49973505838914245,0.0,0.0
53,54,408.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5993828088994817,0.1837031656571197,0.8162968343428803,0.4006171911005183,0.5993828088994817,0.0,0.0,-0.4006171911005183,0.4006171911005183
54,55,499.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.14726732692930367,0.4359578015815833,0.5640421984184167,0.14726732692930367,0.8527326730706963,0.0,0.0,0.8527326730706963,-0.8527326730706963
55,56,415.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5129669434940274,0.4870330565059727,0.5129669434940274,0.6865345168952267,0.3134654831047733,-0.4870330565059727,0.4870330565059726,0.0,0.0
56,57,490.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.46223142552878826,0.17903389557700466,0.8209661044229954,0.5377685744712117,0.46223142552878826,0.0,0.0,-0.5377685744712117,0.5377685744712117
57,58,410.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.1976843286515047,0.4350123911680989,0.564987608831901,0.1976843286515047,0.8023156713484954,0.0,0.0,0.8023156713484954,-0.8023156713484954
58,59,313.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7050678630430103,0.4868416345418136,0.5131583654581864,0.7050678630430103,0.29493213695698983,0.0,0.0,0.2949321369569897,-0.29493213695698983
59,60,529.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4973357600834484,0.4973357600834484,0.5026642399165516,0.8915826170217812,0.10841738297821887,0.5026642399165516,-0.5026642399165516,0.0,0.0
60,61,360.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.42071431347515076,0.8152200639415721,0.18477993605842785,0.5792856865248492,0.42071431347515076,0.0,0.0,-0.5792856865248492,0.5792856865248492
61,62,459.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4361758206579832,0.5638241793420167,0.4361758206579832,0.21294606541613964,0.7870539345838603,-0.5638241793420167,0.5638241793420168,0.0,0.0
62,63,419.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4418787574222821,0.20726239810556069,0.7927376018944392,0.4418787574222821,0.5581212425777179,0.0,0.0,0.5581212425777179,-0.5581212425777179
63,64,406.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.44072795693955025,0.44072795693955025,0.5592720430604498,0.7948340078190528,0.20516599218094722,0.5592720430604498,-0.5592720430604498,0.0,0.0
64,65,318.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7944109722761812,0.7944109722761812,0.20558902772381876,0.5596965128293887,0.4403034871706113,0.20558902772381882,-0.20558902772381876,0.0,0.0
65,66,353.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.48791294915281114,0.924425243770219,0.07557475622978108,0.5120870508471889,0.48791294915281114,0.0,0.0,-0.5120870508471889,0.5120870508471889
66,67,445.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4140645029477227,0.5859354970522773,0.4140645029477227,0.18824377188160646,0.8117562281183935,-0.5859354970522773,0.5859354970522773,0.0,0.0
67,68,356.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.21539054319371703,0.21539054319371703,0.7846094568062829,0.43687716078216654,0.5631228392178335,0.7846094568062829,-0.7846094568062829,0.0,0.0
68,69,539.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5127807962489439,0.7115766872861868,0.28842331271381316,0.48721920375105615,0.5127807962489439,0.0,0.0,-0.48721920375105615,0.4872192037510561
69,70,447.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.457161012325515,0.542838987674485,0.457161012325515,0.17910232351221977,0.8208976764877802,-0.542838987674485,0.542838987674485,0.0,0.0
70,71,342.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.19954821820857005,0.19954821820857005,0.80045178179143,0.4350262461136077,0.5649737538863924,0.80045178179143,-0.80045178179143,0.0,0.0
71,72,394.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5131555601782309,0.7057530309261119,0.29424696907388814,0.48684443982176906,0.5131555601782309,0.0,0.0,-0.48684443982176906,0.48684443982176906
72,73,401.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8210354401267894,0.5416598429103351,0.4583401570896649,0.17896455987321064,0.8210354401267894,0.0,0.0,-0.17896455987321064,0.17896455987321058
73,74,396.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5084350762829688,0.5084350762829688,0.4915649237170312,0.06578757210894177,0.9342124278910583,0.4915649237170312,-0.4915649237170312,0.0,0.0
74,75,464.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.18069981502578758,0.8193001849742124,0.18069981502578758,0.4120828429392482,0.5879171570607518,-0.8193001849742124,0.8193001849742124,0.0,0.0
75,76,371.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4821989744900066,0.3011756631371384,0.6988243368628616,0.4821989744900066,0.5178010255099934,0.0,0.0,0.5178010255099934,-0.5178010255099934
76,77,295.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.45974304435188185,0.45974304435188185,0.5402569556481182,0.8096557646499603,0.19034423535003975,0.5402569556481182,-0.5402569556481182,0.0,0.0
77,78,330.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.43730245210225044,0.8014009396483964,0.19859906035160357,0.5626975478977496,0.43730245210225044,0.0,0.0,-0.5626975478977496,0.5626975478977496
78,79,473.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5610261522868584,0.5610261522868584,0.43897384771314163,0.20684824712822514,0.7931517528717749,0.43897384771314163,-0.43897384771314163,0.0,0.0
79,80,349.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5593558982755069,0.8386327232563386,0.1613672767436613,0.4406441017244931,0.5593558982755069,0.0,0.0,-0.4406441017244931,0.4406441017244931
80,81,432.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8380187360161282,0.5685646573061864,0.4314353426938135,0.1619812639838718,0.8380187360161282,0.0,0.0,-0.1619812639838718,0.1619812639838718
81,82,400.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.940455506429954,0.5138826283127875,0.4861173716872125,0.05954449357004597,0.940455506429954,0.0,0.0,-0.05954449357004597,0.059544493570045987
82,83,427.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9781113776537373,0.5028108850309039,0.4971891149690962,0.021888622346262654,0.9781113776537373,0.0,0.0,-0.021888622346262654,0.021888622346262654
83,84,343.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9919537179763953,0.5005691339189483,0.4994308660810517,0.008046282023604738,0.9919537179763953,0.0,0.0,-0.008046282023604738,0.00804628202360469
84,85,326.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9970421777405997,0.5001152353846338,0.49988476461536624,0.0029578222594004028,0.9970421777405997,0.0,0.0,-0.0029578222594004028,0.0029578222594003334
85,86,374.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0010872987663791925,0.5000233322833688,0.49997666771663124,0.0010872987663791925,0.9989127012336209,0.0,0.0,0.9989127012336209,-0.9989127012336209
86,87,305.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4999952757961547,0.5000047242038453,0.4999952757961547,0.6327985752626002,0.3672014247373998,-0.5000047242038453,0.5000047242038452,0.0,0.0
87,88,396.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.1838022951118154,0.1838022951118154,0.8161977048881845,0.5268883902183826,0.47311160978161737,0.8161977048881845,-0.8161977048881845,0.0,0.0
88,89,360.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6999648120078887,0.6999648120078887,0.30003518799211126,0.5054442265446475,0.4945557734553525,0.30003518799211126,-0.30003518799211126,0.0,0.0
89,90,395.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.49889768028399184,0.8897067297612726,0.11029327023872734,0.5011023197160082,0.49889768028399184,0.0,0.0,-0.5011023197160082,0.5011023197160082
90,91,339.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.815794227551923,0.5789058662702531,0.4210941337297469,0.18420577244807695,0.815794227551923,0.0,0.0,-0.18420577244807695,0.184205772448077
91,92,378.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9322857522942161,0.5159764644959379,0.484023535504062,0.06771424770578391,0.9322857522942161,0.0,0.0,-0.06771424770578391,0.06771424770578394
92,93,442.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.024891833091998904,0.5032348344914653,0.49676516550853467,0.024891833091998904,0.9751081669080011,0.0,0.0,0.9751081669080011,-0.9751081669080011
93,94,609.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6415491486698489,0.5006549730818001,0.49934502691819993,0.6415491486698489,0.3584508513301511,0.0,0.0,0.3584508513301511,-0.3584508513301511
94,95,352.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5001326156682867,0.5001326156682867,0.49986738433171324,0.8682330666691744,0.13176693333082554,0.4998673843317133,-0.49986738433171324,0.0,0.0
95,96,420.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5745579865471713,0.816248191178586,0.18375180882141395,0.5745579865471713,0.4254420134528287,0.0,0.0,0.4254420134528287,-0.4254420134528287
96,97,283.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5640323493942052,0.5640323493942052,0.43596765060579473,0.8436070406451964,0.15639295935480357,0.4359676506057948,-0.43596765060579473,0.0,0.0
97,98,343.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4304281678294958,0.8397378046708566,0.16026219532914332,0.5695718321705042,0.4304281678294958,0.0,0.0,-0.5695718321705042,0.5695718321705042
98,99,430.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5687884086547073,0.5687884086547073,0.43121159134529274,0.20937524170531685,0.7906247582946831,0.43121159134529274,-0.43121159134529274,0.0,0.0
99,100,346.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8414861373674327,0.8414861373674327,0.15851386263256728,0.44115575492660175,0.5588442450733982,0.15851386263256728,-0.15851386263256728,0.0,0.0
100,101,349.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5119144879416886,0.941730127039706,0.058269872960293984,0.48808551205831147,0.5119144879416886,0.0,0.0,-0.48808551205831147,0.4880855120583114
101,102,397.1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.8205792205863855,0.5894393031218337,0.41056069687816643,0.1794207794136145,0.8205792205863855,0.0,0.0,0.8205792205863855,-0.8205792205863855
102,103,332.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.30164583805682843,0.5181092220187196,0.48189077798128044,0.6983541619431717,0.30164583805682843,0.0,0.0,-0.6983541619431717,0.6983541619431716
103,104,383.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.49633333545011465,0.5036666645498854,0.49633333545011465,0.2567157699768314,0.7432842300231687,-0.5036666645498854,0.5036666645498853,0.0,0.0
104,105,303.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5492589720778728,0.18514842847332802,0.814851571526672,0.4507410279221272,0.5492589720778728,0.0,0.0,-0.4507410279221272,0.4507410279221272
105,106,442.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.43625043115606094,0.43625043115606094,0.5637495688439391,0.16569290533217068,0.8343070946678293,0.5637495688439391,-0.5637495688439391,0.0,0.0
106,107,626.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.20723497120312906,0.792765028796871,0.20723497120312906,0.4323111742996695,0.5676888257003305,-0.792765028796871,0.7927650287968709,0.0,0.0
