,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,390.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,2,389.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.8182229524546771,0.18177704754532292,-0.5,0.5,0.0,0.0
2,3,481.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8182229524546771,0.18177704754532292,0.8182229524546771,0.8182229524546771,0.18177704754532292,-0.18177704754532292,0.18177704754532287,0.0,0.0
3,4,396.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.06608579002858918,0.06608579002858918,0.9339142099714108,0.8182229524546771,0.18177704754532292,0.9339142099714108,-0.9339142099714108,0.0,0.0
4,5,431.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.18177704754532292,0.6604716645015483,0.33952833549845174,0.8182229524546771,0.18177704754532292,0.0,0.0,-0.8182229524546771,0.8182229524546771
5,6,291.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7025316949379434,0.6604716645015483,0.33952833549845174,0.2974683050620567,0.7025316949379434,0.0,0.0,-0.2974683050620567,0.29746830506205657
6,7,322.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.6604716645015483,0.6604716645015483,0.33952833549845174,0.1081458204649842,0.8918541795350159,-0.6604716645015483,0.6604716645015483,0.0,0.0
7,8,326.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.7598828216791269,0.24011717832087304,0.7598828216791269,0.1081458204649842,0.8918541795350159,-0.24011717832087304,0.2401171783208731,0.0,0.0
8,9,549.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8918541795350159,0.08729558348016425,0.9127044165198357,0.1081458204649842,0.8918541795350159,0.0,0.0,-0.1081458204649842,0.10814582046498411
9,10,473.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9127044165198357,0.08729558348016425,0.9127044165198357,0.03931685589698278,0.9606831441030173,-0.08729558348016425,0.08729558348016431,0.0,0.0
10,11,376.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9682633331424589,0.03173666685754105,0.9682633331424589,0.03931685589698278,0.9606831441030173,-0.03173666685754105,0.03173666685754106,0.0,0.0
