trial_index, block, condition, full_condition_code, RT, response_type, response_key, error_outlier
1, 1, T_Sinc, T_Sinc_DGLG, 475.0, hit, 1, 0
2, 1, T_Scon, T_Scon_UGLG, 506.4, hit, 1, 0
3, 1, T_Sinc, T_Sinc_DGLG, 421.7, hit, 1, 0
4, 1, T_Scon, T_Scon_DRRR, 357.2, hit, 2, 0
5, 1, T_Sinc, T_Sinc_URRR, 504.7, hit, 2, 0
6, 1, T_Sinc, T_Sinc_DGLG, 316.1, hit, 1, 0
7, 1, T_Sinc, T_Sinc_URRR, 371.5, incorrect, 1, 1
8, 1, T_Sinc, T_Sinc_DGLG, 555.0, hit, 1, 0
9, 1, T_Scon, T_Scon_DRRR, 494.4, hit, 2, 0
10, 1, T_Sinc, T_Sinc_DGLG, 457.9, hit, 1, 0
11, 1, T_Sinc, T_Sinc_URRR, 541.3, hit, 2, 0
12, 1, T_Scon, T_Scon_UGLG, 552.8, hit, 1, 0
13, 1, T_Sinc, T_Sinc_URRR, 688.2, hit, 2, 0
14, 1, T_Sinc, T_Sinc_URRR, 523.6, hit, 2, 0
15, 1, T_Sinc, T_Sinc_DGLG, 519.1, hit, 1, 0
16, 1, T_Scon, T_Scon_DRRR, 386.5, hit, 2, 0
17, 1, T_Scon, T_Scon_UGLG, 569.9, hit, 1, 0
18, 1, T_Sinc, T_Sinc_DGLG, 481.3, hit, 1, 0
19, 1, T_Sinc, T_Sinc_URRR, 508.8, hit, 2, 0
20, 1, T_Sinc, T_Sinc_URRR, 508.3, hit, 2, 0
21, 1, T_Scon, T_Scon_DRRR, 495.7, hit, 2, 0
22, 1, T_Sinc, T_Sinc_URRR, 539.1, hit, 2, 0
23, 1, T_Sinc, T_Sinc_DGLG, 346.6, hit, 1, 0
24, 1, T_Sinc, T_Sinc_URRR, 426.0, hit, 2, 0
25, 1, T_Sinc, T_Sinc_DGLG, 425.5, hit, 1, 0
26, 1, T_Sinc, T_Sinc_URRR, 656.8, hit, 2, 0
27, 1, T_Scon, T_Scon_UGLG, 652.3, hit, 1, 0
28, 1, T_Sinc, T_Sinc_DGLG, 475.7, hit, 1, 0
29, 1, T_Scon, T_Scon_DRRR, 439.2, hit, 2, 0
30, 1, T_Sinc, T_Sinc_DGLG, 482.6, hit, 1, 0
