stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6
red,1,1,0,939.5,1,1,0,1,0,0,1,0,0,0,0,0
red,0,1,0,682.6,0,1,0,2,0,0,1,0,0,0,0,0
red,0,1,0,391.8,0,1,0,3,0,0,1,0,0,0,0,0
red,0,1,0,404.8,0,1,0,4,0,0,1,0,0,0,0,0
green,1,1,1,369.6,0,1,1,5,0,0,1,0,0,0,0,0
green,1,1,1,392.5,0,1,1,6,0,0,1,0,0,0,0,0
green,1,1,1,325.8,0,1,1,7,0,0,1,0,0,0,0,0
red,0,1,0,491,0,1,0,8,0,0,1,0,0,0,0,0
red,0,1,0,391.6,0,1,0,9,0,0,1,0,0,0,0,0
green,0,1,1,476.4,1,1,1,10,0,0,1,0,0,0,0,0
green,1,1,1,377.6,0,1,1,11,0,0,1,0,0,0,0,0
green,0,1,1,384.7,1,1,1,12,0,0,1,0,0,0,0,0
red,1,1,0,429.7,1,1,0,13,0,0,1,0,0,0,0,0
green,1,1,1,332.6,0,1,1,14,0,0,1,0,0,0,0,0
green,0,1,1,475.6,1,1,1,15,0,0,1,0,0,0,0,0
green,0,1,1,426.4,1,1,1,16,0,0,1,0,0,0,0,0
red,1,1,0,553.5,1,1,0,17,0,0,1,0,0,0,0,0
red,1,1,0,456.5,1,1,0,18,0,0,1,0,0,0,0,0
green,1,1,1,427.2,0,1,1,19,0,0,1,0,0,0,0,0
red,0,1,0,484.4,0,1,0,20,0,0,1,0,0,0,0,0
red,0,1,0,401.4,0,1,0,21,0,0,1,0,0,0,0,0
red,0,1,0,510.4,0,1,0,22,0,0,1,0,0,0,0,0
green,1,1,1,365.4,0,1,1,23,0,0,1,0,0,0,0,0
red,0,1,0,378.4,0,1,0,24,0,0,1,0,0,0,0,0
green,1,1,1,359.3,0,1,1,25,0,0,1,0,0,0,0,0
green,1,1,1,508.3,0,1,1,26,0,0,1,0,0,0,0,0
green,1,1,1,449.3,0,1,1,27,0,0,1,0,0,0,0,0
red,0,1,0,518.1,0,1,0,28,0,0,1,0,0,0,0,0
red,0,1,0,395.3,0,1,0,29,0,0,1,0,0,0,0,0
green,1,1,1,338.3,0,1,1,30,0,0,1,0,0,0,0,0
green,1,1,1,369,0,1,1,31,0,0,1,0,0,0,0,0
red,0,1,0,454,0,1,0,32,0,0,1,0,0,0,0,0
green,1,1,1,403.3,0,1,1,33,0,0,1,0,0,0,0,0
green,1,1,1,376.1,0,1,1,34,0,0,1,0,0,0,0,0
green,1,1,1,333.2,0,1,1,35,0,0,1,0,0,0,0,0
red,0,1,0,356.3,0,1,0,36,0,0,1,0,0,0,0,0
red,0,1,0,405.1,0,1,0,37,0,0,1,0,0,0,0,0
red,0,1,0,304.1,0,1,0,38,0,0,1,0,0,0,0,0
green,1,1,1,301.2,0,1,1,39,0,0,1,0,0,0,0,0
red,0,1,0,356.1,0,1,0,40,0,0,1,0,0,0,0,0
red,0,1,0,337.2,0,1,0,41,0,0,1,0,0,0,0,0
green,0,0,0,352.1,1,1,0,42,0,0,1,0,0,0,0,0
green,1,1,1,429.1,0,1,1,43,0,0,1,0,0,0,0,0
red,1,1,0,628,1,1,0,44,0,0,1,0,0,0,0,0
red,0,1,0,673.1,0,1,0,45,0,0,1,0,0,0,0,0
red,1,1,0,509.8,1,1,0,46,0,0,1,0,0,0,0,0
green,0,1,1,501,1,1,1,47,0,0,1,0,0,0,0,0
red,1,1,0,482,1,1,0,48,0,0,1,0,0,0,0,0
red,1,1,0,481,1,1,0,49,0,0,1,0,0,0,0,0
red,1,1,0,501.8,1,1,0,50,0,0,1,0,0,0,0,0
green,1,1,1,603,0,1,1,51,0,0,1,0,0,0,0,0
green,0,1,1,751.7,1,1,1,52,0,0,1,0,0,0,0,0
red,1,1,0,556.7,1,1,0,53,0,0,1,0,0,0,0,0
red,1,1,0,407.7,1,1,0,54,0,0,1,0,0,0,0,0
green,0,1,1,444.9,1,1,1,55,0,0,1,0,0,0,0,0
green,0,1,1,501.9,1,1,1,56,0,0,1,0,0,0,0,0
green,1,1,1,564.6,0,1,1,57,0,0,1,0,0,0,0,0
green,0,1,1,417.8,1,1,1,58,0,0,1,0,0,0,0,0
red,1,1,0,416.7,1,1,0,59,0,0,1,0,0,0,0,0
red,0,1,0,605.6,0,1,0,60,0,0,1,0,0,0,0,0
red,1,1,0,484.5,1,1,0,61,0,0,1,0,0,0,0,0
green,0,1,1,467.8,1,1,1,62,0,0,1,0,0,0,0,0
red,1,1,0,504.7,1,1,0,63,0,0,1,0,0,0,0,0
red,0,1,0,539.7,0,1,0,64,0,0,1,0,0,0,0,0
green,0,1,1,440.7,1,1,1,65,0,0,1,0,0,0,0,0
red,1,1,0,429.7,1,1,0,66,0,0,1,0,0,0,0,0
