stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14
1,1,1,775.4,1,1,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,446.5,1,2,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,515.6,1,3,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,552.6,1,4,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,431.4,1,5,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,870.3,0,6,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,443.5,1,7,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,808.4,0,8,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,437.6,0,9,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,698.5,1,10,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,433.3,1,11,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,774.3,0,12,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,653.3,1,13,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,714.3,1,14,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,689.3,1,15,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,672.4,1,16,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1317.3,0,17,1,80,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,572.3,1,18,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,587.3,1,19,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,488.3,1,20,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,505.2,1,21,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,462.2,1,22,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,549.3,1,23,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
