stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13
0,1,1,1105.2,0,1,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,588.3,0,2,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1059.1,0,3,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,752.2,1,4,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,629.1,0,5,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,682.2,0,6,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,753.2,0,7,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,736.1,0,8,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,629.1,0,9,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,706,1,10,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,879.1,1,11,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,638.1,1,12,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,711.1,0,13,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,679.9,0,14,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1005.1,0,15,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,898,0,16,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,625,0,17,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,701.9,0,18,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,771.1,0,19,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,680,0,20,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1068.9,0,21,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,674,0,22,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,854.9,0,23,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,721.9,0,24,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,782,0,26,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,739,0,27,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,610.1,0,28,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,766.9,0,29,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,939.8,0,30,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,778.9,1,31,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,753.8,1,32,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,686.7,1,33,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,787.7,0,34,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,712.7,0,35,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,911.6,0,36,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,596.6,0,37,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,867.6,1,38,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,720.5,0,39,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,607.7,0,40,0,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,782.6,0,41,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,715.6,0,42,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,624.7,0,43,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,559.5,0,44,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,524.4,0,45,1,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
