subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
sub_1,11396.059227435231,11397.790856510364,11326.667060788892,11475.950462623909,12876.70557579182
sub_2,11248.088947938591,11080.641668543738,11084.798449507969,11260.357086743094,12068.389211477119
sub_3,11868.371444334,10993.714175252786,10995.550035012351,10997.714175255545,10999.550035003616
sub_4,11601.94752947138,11605.162060295243,11639.434502793116,11609.163745517628,11606.125006790537
sub_5,12543.440727561521,12542.53159524978,12583.285634734304,12548.23836734851,12551.49523820406
sub_6,7481.023402955201,7499.140646959318,7500.88111971104,7503.140412008989,7505.140058887977
sub_7,11600.746063093507,11610.543736519905,11563.904651292069,11614.543736516873,11712.846724803498
sub_8,11193.772898955483,11206.347453245242,11208.34674825722,11197.007594159437,11212.34674825722
sub_9,13011.11663457713,11434.640134806592,11436.640134992458,11438.640134806592,11440.640134992458
sub_10,12458.458816549759,12442.89885557632,12444.911575185724,12464.465504135325,12466.46689799226
sub_11,12629.832137647349,12631.64318910991,12633.641608463855,12635.637842943415,12614.47188835347
sub_12,12460.116466072282,12443.074543893772,12444.582592111456,12447.074543892395,12448.795541871836
sub_13,12709.34118941332,12715.192065271569,13019.369240018706,12729.980579381085,12703.611381882733
sub_14,13031.000640914419,11414.057966916354,11408.307489701521,11410.362282142123,11412.307489700308
sub_15,13352.307378607966,11829.628258372046,11860.684898093728,11833.628258370883,11833.21412591886
sub_16,12024.014325772141,12025.937288082085,11997.759711950614,12029.937288082085,12001.759711950515
sub_17,11888.833745794891,11868.455622537913,11955.53353825548,12586.237199582187,11868.271856816596
sub_18,10464.81987983948,10446.517100620029,10469.390434238176,10448.998280834934,10450.998280924076
