subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
sub_1,-5696.029613717617,-5695.895428255182,-5659.333530394446,-5732.975231311954,-6432.35278789591
sub_2,-5622.044473969295,-5537.320834271869,-5538.399224753985,-5625.178543371547,-6028.194605738559
sub_3,-5932.185722167001,-5493.857087626393,-5493.7750175061765,-5493.857087627773,-5493.775017501808
sub_4,-5798.973764735691,-5799.581030147621,-5815.717251396558,-5799.581872758814,-5797.062503395268
sub_5,-6269.720363780761,-6268.26579762489,-6287.642817367152,-6269.1191836742555,-6269.747619102031
sub_6,-3738.5117014776006,-3746.570323479659,-3746.44055985552,-3746.570206004495,-3746.5700294439894
sub_7,-5798.373031546756,-5802.2718682599525,-5777.9523256460325,-5802.271868258436,-5850.423362401749
sub_8,-5594.886449477743,-5600.173726622621,-5600.17337412861,-5593.503797079718,-5600.17337412861
sub_9,-6503.558317288565,-5714.320067403296,-5714.320067496229,-5714.320067403296,-5714.320067496229
sub_10,-6227.2294082748795,-6218.44942778816,-6218.455787592862,-6227.232752067664,-6227.23344899613
sub_11,-6312.916068823674,-6312.821594554955,-6312.8208042319275,-6312.818921471708,-6301.235944176735
sub_12,-6228.058233036141,-6218.537271946886,-6218.291296055728,-6218.5372719461975,-6218.397770935919
sub_13,-6352.67059470666,-6354.5960326357845,-6505.684620009353,-6359.990289690542,-6345.805690941366
sub_14,-6513.500320457209,-5704.028983458177,-5700.153744850761,-5700.181141071062,-5700.153744850154
sub_15,-6674.153689303983,-5911.814129186023,-5926.342449046864,-5911.814129185444,-5910.6070629594315
sub_16,-6010.007162886071,-6009.968644041042,-5994.879855975307,-6009.968644041042,-5994.879855975258
sub_17,-5942.4168728974455,-5931.227811268956,-5973.766769127739,-6288.1185997910925,-5928.135928408297
sub_18,-5230.40993991974,-5220.2585503100145,-5230.695217119088,-5219.499140417467,-5219.499140462038
