subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
sub_1,9214.851011258552,9212.253820892967,8531.146930446332,9958.56782532448,43281.00450561707
sub_2,9653.139481176375,8054.651729403266,8073.233086012552,9718.001041959204,22991.51757814508
sub_3,92906.12798298842,32351.06841729693,32344.679021677897,32351.06841740022,32344.679021339423
sub_4,12520.007861636721,12539.991962693362,12971.620813796177,12536.131657113565,12475.820515426987
sub_5,32062.518625769462,31964.38237180083,33296.721723880706,32021.921934930673,32064.360393545216
sub_6,84967.4166924494,87602.40708226075,87562.98726403354,87603.66722520265,87606.02156121304
sub_7,11280.114344398524,11407.705613636761,10806.910133441816,11372.988960948649,12585.179468808114
sub_8,31495.810799193736,31891.023121891016,32016.155219863365,31393.271028568688,32016.155219863365
sub_9,62553.92272551291,11604.190585426984,11604.190585426984,11604.190585426984,11604.190585426984
sub_10,29724.821573896053,29179.29176351319,29179.683277590077,29725.03132681819,29724.32584300218
sub_11,33210.95776088145,33214.761207610805,33201.581019931466,33204.18741867916,32406.77602336286
sub_12,43768.92445026041,42873.280930173205,42850.38629940187,42873.28093011109,42860.2951566758
sub_13,37652.93898483826,37805.87695867737,51963.72038017064,38237.66029950565,37112.67601818565
sub_14,56800.97635556504,10240.87092467163,10157.223264190126,10157.812211477396,10157.22326417642
sub_15,76314.32515757067,15280.06995220824,15752.815743909463,15280.069952189926,15241.207943947698
sub_16,18060.184060500196,18076.503620038693,17494.670096874546,18058.856190179882,17494.670096873586
sub_17,18134.347822260403,17707.730499331366,19385.196758617192,37839.116280652495,17591.62298174901
sub_18,3161.526654481117,3095.3664211070454,3164.3371972327063,3090.4731344867737,3090.473134772919
