,stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,red,1,1,0,939.5,1,1,0,1,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,red,0,1,0,682.6,0,1,0,2,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.658989709285175,0.341010290714825,0.5,-0.5,0.0,0.0
2,red,0,1,0,391.8,0,1,0,3,0,0,1,0,0,0,0,0,0.658989709285175,0.658989709285175,0.341010290714825,0.6096247348774332,0.39037526512256676,0.341010290714825,-0.341010290714825,0.0,0.0
3,red,0,1,0,404.8,0,1,0,4,0,0,1,0,0,0,0,0,0.7674239632531811,0.7674239632531811,0.23257603674681893,0.5755871719684194,0.4244128280315806,0.23257603674681893,-0.23257603674681893,0.0,0.0
4,green,1,1,1,369.6,0,1,1,5,0,0,1,0,0,0,0,0,0.44788201246213877,0.841378356191331,0.15862164380866908,0.5521179875378612,0.44788201246213877,0.0,0.0,-0.5521179875378612,0.5521179875378612
5,green,1,1,1,392.5,0,1,1,6,0,0,1,0,0,0,0,0,0.6234441691216597,0.7353832330320399,0.2646167669679601,0.3765558308783404,0.6234441691216597,0.0,0.0,-0.3765558308783404,0.3765558308783403
6,green,1,1,1,325.8,0,1,1,7,0,0,1,0,0,0,0,0,0.7431811732836294,0.6622987087135742,0.3377012912864258,0.2568188267163707,0.7431811732836294,0.0,0.0,-0.2568188267163707,0.2568188267163706
7,red,0,1,0,491.0,0,1,0,8,0,0,1,0,0,0,0,0,0.6119063176709283,0.6119063176709283,0.38809368232907165,0.17515572551917968,0.8248442744808204,0.3880936823290717,-0.38809368232907165,0.0,0.0
8,red,0,1,0,391.6,0,1,0,9,0,0,1,0,0,0,0,0,0.7353121211287527,0.7353121211287527,0.26468787887124734,0.2760171546540929,0.7239828453459072,0.26468787887124734,-0.26468787887124734,0.0,0.0
9,green,0,1,1,476.4,1,1,1,10,0,0,1,0,0,0,0,0,0.1805225810451489,0.8194774189548512,0.1805225810451489,0.3455619539872462,0.6544380460127538,-0.8194774189548512,0.819477418954851,0.0,0.0
