,stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,red,1,1,0,939.5,1,1,0,1,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,red,0,1,0,682.6,0,1,0,2,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5000533094848613,0.49994669051513874,0.5,-0.5,0.0,0.0
2,red,0,1,0,391.8,0,1,0,3,0,0,1,0,0,0,0,0,0.5000533094848613,0.5000533094848613,0.49994669051513874,0.5,0.5,0.49994669051513874,-0.49994669051513874,0.0,0.0
3,red,0,1,0,404.8,0,1,0,4,0,0,1,0,0,0,0,0,0.5001066132859202,0.5001066132859202,0.49989338671407985,0.5,0.5,0.4998933867140798,-0.49989338671407985,0.0,0.0
4,green,1,1,1,369.6,0,1,1,5,0,0,1,0,0,0,0,0,0.5,0.5001599114037828,0.4998400885962173,0.5,0.5,0.0,0.0,-0.5,0.5
5,green,1,1,1,392.5,0,1,1,6,0,0,1,0,0,0,0,0,0.5000533094848613,0.5,0.5,0.49994669051513874,0.5000533094848613,0.0,0.0,-0.49994669051513874,0.49994669051513874
6,green,1,1,1,325.8,0,1,1,7,0,0,1,0,0,0,0,0,0.5001066132859202,0.5,0.5,0.49989338671407985,0.5001066132859202,0.0,0.0,-0.49989338671407985,0.4998933867140798
7,red,0,1,0,491.0,0,1,0,8,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.4998400885962173,0.5001599114037828,0.5,-0.5,0.0,0.0
8,red,0,1,0,391.6,0,1,0,9,0,0,1,0,0,0,0,0,0.5000533094848613,0.5000533094848613,0.49994669051513874,0.5,0.5,0.49994669051513874,-0.49994669051513874,0.0,0.0
9,green,0,1,1,476.4,1,1,1,10,0,0,1,0,0,0,0,0,0.49989338671407985,0.5001066132859202,0.49989338671407985,0.5,0.5,-0.5001066132859202,0.5001066132859202,0.0,0.0
10,green,1,1,1,377.6,0,1,1,11,0,0,1,0,0,0,0,0,0.5,0.5000532924340603,0.4999467075659398,0.5,0.5,0.0,0.0,-0.5,0.5
11,green,0,1,1,384.7,1,1,1,12,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.49994669051513874,0.5000533094848613,-0.5,0.5,0.0,0.0
12,red,1,1,0,429.7,1,1,0,13,0,0,1,0,0,0,0,0,0.5,0.49994669051513874,0.5000533094848613,0.5,0.5,0.0,0.0,0.5,-0.5
13,green,1,1,1,332.6,0,1,1,14,0,0,1,0,0,0,0,0,0.49994669051513874,0.5,0.5,0.5000533094848613,0.49994669051513874,0.0,0.0,-0.5000533094848613,0.5000533094848613
14,green,0,1,1,475.6,1,1,1,15,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.4999999943161977,0.5000000056838023,-0.5,0.5,0.0,0.0
15,green,0,1,1,426.4,1,1,1,16,0,0,1,0,0,0,0,0,0.5000533094848613,0.49994669051513874,0.5000533094848613,0.5,0.5,-0.49994669051513874,0.49994669051513874,0.0,0.0
16,red,1,1,0,553.5,1,1,0,17,0,0,1,0,0,0,0,0,0.5,0.49989338671407985,0.5001066132859202,0.5,0.5,0.0,0.0,0.5,-0.5
17,red,1,1,0,456.5,1,1,0,18,0,0,1,0,0,0,0,0,0.5000533094848613,0.5,0.5,0.5000533094848613,0.49994669051513874,0.0,0.0,0.49994669051513874,-0.49994669051513874
18,green,1,1,1,427.2,0,1,1,19,0,0,1,0,0,0,0,0,0.49989338671407985,0.5,0.5,0.5001066132859202,0.49989338671407985,0.0,0.0,-0.5001066132859202,0.5001066132859202
19,red,0,1,0,484.4,0,1,0,20,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5000532924340603,0.4999467075659398,0.5,-0.5,0.0,0.0
20,red,0,1,0,401.4,0,1,0,21,0,0,1,0,0,0,0,0,0.5000533094848613,0.5000533094848613,0.49994669051513874,0.5,0.5,0.49994669051513874,-0.49994669051513874,0.0,0.0
21,red,0,1,0,510.4,0,1,0,22,0,0,1,0,0,0,0,0,0.5001066132859202,0.5001066132859202,0.49989338671407985,0.5,0.5,0.4998933867140798,-0.49989338671407985,0.0,0.0
22,green,1,1,1,365.4,0,1,1,23,0,0,1,0,0,0,0,0,0.5,0.5001599114037828,0.4998400885962173,0.5,0.5,0.0,0.0,-0.5,0.5
23,red,0,1,0,378.4,0,1,0,24,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.49994669051513874,0.5000533094848613,0.5,-0.5,0.0,0.0
24,green,1,1,1,359.3,0,1,1,25,0,0,1,0,0,0,0,0,0.5,0.5000533094848613,0.49994669051513874,0.5,0.5,0.0,0.0,-0.5,0.5
25,green,1,1,1,508.3,0,1,1,26,0,0,1,0,0,0,0,0,0.5000533094848613,0.5,0.5,0.49994669051513874,0.5000533094848613,0.0,0.0,-0.49994669051513874,0.49994669051513874
26,green,1,1,1,449.3,0,1,1,27,0,0,1,0,0,0,0,0,0.5001066132859202,0.5,0.5,0.49989338671407985,0.5001066132859202,0.0,0.0,-0.49989338671407985,0.4998933867140798
27,red,0,1,0,518.1,0,1,0,28,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.4998400885962173,0.5001599114037828,0.5,-0.5,0.0,0.0
28,red,0,1,0,395.3,0,1,0,29,0,0,1,0,0,0,0,0,0.5000533094848613,0.5000533094848613,0.49994669051513874,0.5,0.5,0.49994669051513874,-0.49994669051513874,0.0,0.0
29,green,1,1,1,338.3,0,1,1,30,0,0,1,0,0,0,0,0,0.5,0.5001066132859202,0.49989338671407985,0.5,0.5,0.0,0.0,-0.5,0.5
30,green,1,1,1,369.0,0,1,1,31,0,0,1,0,0,0,0,0,0.5000533094848613,0.5,0.5,0.49994669051513874,0.5000533094848613,0.0,0.0,-0.49994669051513874,0.49994669051513874
31,red,0,1,0,454.0,0,1,0,32,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.49989338671407985,0.5001066132859202,0.5,-0.5,0.0,0.0
32,green,1,1,1,403.3,0,1,1,33,0,0,1,0,0,0,0,0,0.5,0.5000533094848613,0.49994669051513874,0.5,0.5,0.0,0.0,-0.5,0.5
33,green,1,1,1,376.1,0,1,1,34,0,0,1,0,0,0,0,0,0.5000533094848613,0.5,0.5,0.49994669051513874,0.5000533094848613,0.0,0.0,-0.49994669051513874,0.49994669051513874
34,green,1,1,1,333.2,0,1,1,35,0,0,1,0,0,0,0,0,0.5001066132859202,0.5,0.5,0.49989338671407985,0.5001066132859202,0.0,0.0,-0.49989338671407985,0.4998933867140798
35,red,0,1,0,356.3,0,1,0,36,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.4998400885962173,0.5001599114037828,0.5,-0.5,0.0,0.0
36,red,0,1,0,405.1,0,1,0,37,0,0,1,0,0,0,0,0,0.5000533094848613,0.5000533094848613,0.49994669051513874,0.5,0.5,0.49994669051513874,-0.49994669051513874,0.0,0.0
37,red,0,1,0,304.1,0,1,0,38,0,0,1,0,0,0,0,0,0.5001066132859202,0.5001066132859202,0.49989338671407985,0.5,0.5,0.4998933867140798,-0.49989338671407985,0.0,0.0
38,green,1,1,1,301.2,0,1,1,39,0,0,1,0,0,0,0,0,0.5,0.5001599114037828,0.4998400885962173,0.5,0.5,0.0,0.0,-0.5,0.5
39,red,0,1,0,356.1,0,1,0,40,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.49994669051513874,0.5000533094848613,0.5,-0.5,0.0,0.0
40,red,0,1,0,337.2,0,1,0,41,0,0,1,0,0,0,0,0,0.5000533094848613,0.5000533094848613,0.49994669051513874,0.5,0.5,0.49994669051513874,-0.49994669051513874,0.0,0.0
41,green,0,0,0,352.1,1,1,0,42,0,0,1,0,0,0,0,0,0.5001066132859202,0.5001066132859202,0.49989338671407985,0.5,0.5,-0.5001066132859202,0.5001066132859202,0.0,0.0
42,green,1,1,1,429.1,0,1,1,43,0,0,1,0,0,0,0,0,0.5,0.0,1.0,0.5,0.5,0.0,0.0,-0.5,0.5
43,red,1,1,0,628.0,1,1,0,44,0,0,1,0,0,0,0,0,0.49994669051513874,0.5,0.5,0.49994669051513874,0.5000533094848613,0.0,0.0,0.5000533094848613,-0.5000533094848613
44,red,0,1,0,673.1,0,1,0,45,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5000000056838023,0.4999999943161977,0.5,-0.5,0.0,0.0
45,red,1,1,0,509.8,1,1,0,46,0,0,1,0,0,0,0,0,0.5,0.5000533094848613,0.49994669051513874,0.5,0.5,0.0,0.0,0.5,-0.5
46,green,0,1,1,501.0,1,1,1,47,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5000533094848613,0.49994669051513874,-0.5,0.5,0.0,0.0
47,red,1,1,0,482.0,1,1,0,48,0,0,1,0,0,0,0,0,0.5,0.49994669051513874,0.5000533094848613,0.5,0.5,0.0,0.0,0.5,-0.5
48,red,1,1,0,481.0,1,1,0,49,0,0,1,0,0,0,0,0,0.5000533094848613,0.5,0.5,0.5000533094848613,0.49994669051513874,0.0,0.0,0.49994669051513874,-0.49994669051513874
49,red,1,1,0,501.8,1,1,0,50,0,0,1,0,0,0,0,0,0.5001066132859202,0.5,0.5,0.5001066132859202,0.49989338671407985,0.0,0.0,0.4998933867140798,-0.49989338671407985
50,green,1,1,1,603.0,0,1,1,51,0,0,1,0,0,0,0,0,0.4998400885962173,0.5,0.5,0.5001599114037828,0.4998400885962173,0.0,0.0,-0.5001599114037828,0.5001599114037827
51,green,0,1,1,751.7,1,1,1,52,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5001065848693325,0.4998934151306677,-0.5,0.5,0.0,0.0
52,red,1,1,0,556.7,1,1,0,53,0,0,1,0,0,0,0,0,0.5,0.49994669051513874,0.5000533094848613,0.5,0.5,0.0,0.0,0.5,-0.5
53,red,1,1,0,407.7,1,1,0,54,0,0,1,0,0,0,0,0,0.5000533094848613,0.5,0.5,0.5000533094848613,0.49994669051513874,0.0,0.0,0.49994669051513874,-0.49994669051513874
54,green,0,1,1,444.9,1,1,1,55,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5001066132859202,0.49989338671407985,-0.5,0.5,0.0,0.0
55,green,0,1,1,501.9,1,1,1,56,0,0,1,0,0,0,0,0,0.5000533094848613,0.49994669051513874,0.5000533094848613,0.5,0.5,-0.49994669051513874,0.49994669051513874,0.0,0.0
56,green,1,1,1,564.6,0,1,1,57,0,0,1,0,0,0,0,0,0.5,0.49989338671407985,0.5001066132859202,0.5,0.5,0.0,0.0,-0.5,0.5
57,green,0,1,1,417.8,1,1,1,58,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.49994669051513874,0.5000533094848613,-0.5,0.5,0.0,0.0
58,red,1,1,0,416.7,1,1,0,59,0,0,1,0,0,0,0,0,0.5,0.49994669051513874,0.5000533094848613,0.5,0.5,0.0,0.0,0.5,-0.5
59,red,0,1,0,605.6,0,1,0,60,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5000533094848613,0.49994669051513874,0.5,-0.5,0.0,0.0
60,red,1,1,0,484.5,1,1,0,61,0,0,1,0,0,0,0,0,0.5,0.5000533094848613,0.49994669051513874,0.5,0.5,0.0,0.0,0.5,-0.5
61,green,0,1,1,467.8,1,1,1,62,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5000533094848613,0.49994669051513874,-0.5,0.5,0.0,0.0
62,red,1,1,0,504.7,1,1,0,63,0,0,1,0,0,0,0,0,0.5,0.49994669051513874,0.5000533094848613,0.5,0.5,0.0,0.0,0.5,-0.5
63,red,0,1,0,539.7,0,1,0,64,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5000533094848613,0.49994669051513874,0.5,-0.5,0.0,0.0
64,green,0,1,1,440.7,1,1,1,65,0,0,1,0,0,0,0,0,0.49994669051513874,0.5000533094848613,0.49994669051513874,0.5,0.5,-0.5000533094848613,0.5000533094848613,0.0,0.0
65,red,1,1,0,429.7,1,1,0,66,0,0,1,0,0,0,0,0,0.5,0.4999999943161977,0.5000000056838023,0.5,0.5,0.0,0.0,0.5,-0.5
66,green,0,1,1,402.5,1,1,1,67,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5000533094848613,0.49994669051513874,-0.5,0.5,0.0,0.0
67,green,0,1,1,423.7,1,1,1,68,0,0,1,0,0,0,0,0,0.5000533094848613,0.49994669051513874,0.5000533094848613,0.5,0.5,-0.49994669051513874,0.49994669051513874,0.0,0.0
68,green,0,1,1,452.5,1,1,1,69,0,0,1,0,0,0,0,0,0.5001066132859202,0.49989338671407985,0.5001066132859202,0.5,0.5,-0.49989338671407985,0.4998933867140798,0.0,0.0
69,red,1,1,0,553.7,1,1,0,70,0,0,1,0,0,0,0,0,0.5,0.4998400885962173,0.5001599114037828,0.5,0.5,0.0,0.0,0.5,-0.5
70,green,0,1,1,430.7,1,1,1,71,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5000533094848613,0.49994669051513874,-0.5,0.5,0.0,0.0
71,green,1,1,1,413.7,0,1,1,72,0,0,1,0,0,0,0,0,0.5,0.49994669051513874,0.5000533094848613,0.5,0.5,0.0,0.0,-0.5,0.5
72,red,1,1,0,468.7,1,1,0,73,0,0,1,0,0,0,0,0,0.49994669051513874,0.5,0.5,0.49994669051513874,0.5000533094848613,0.0,0.0,0.5000533094848613,-0.5000533094848613
73,green,0,1,1,497.6,1,1,1,74,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5000000056838023,0.4999999943161977,-0.5,0.5,0.0,0.0
74,red,1,1,0,630.7,1,1,0,75,0,0,1,0,0,0,0,0,0.5,0.49994669051513874,0.5000533094848613,0.5,0.5,0.0,0.0,0.5,-0.5
75,red,1,1,0,467.6,1,1,0,76,0,0,1,0,0,0,0,0,0.5000533094848613,0.5,0.5,0.5000533094848613,0.49994669051513874,0.0,0.0,0.49994669051513874,-0.49994669051513874
76,red,1,1,0,490.7,1,1,0,77,0,0,1,0,0,0,0,0,0.5001066132859202,0.5,0.5,0.5001066132859202,0.49989338671407985,0.0,0.0,0.4998933867140798,-0.49989338671407985
77,green,0,1,1,537.3,1,1,1,78,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5001599114037828,0.4998400885962173,-0.5,0.5,0.0,0.0
78,green,0,1,1,424.3,1,1,1,79,0,0,1,0,0,0,0,0,0.5000533094848613,0.49994669051513874,0.5000533094848613,0.5,0.5,-0.49994669051513874,0.49994669051513874,0.0,0.0
79,green,0,1,1,477.5,1,1,1,80,0,0,1,0,0,0,0,0,0.5001066132859202,0.49989338671407985,0.5001066132859202,0.5,0.5,-0.49989338671407985,0.4998933867140798,0.0,0.0
80,green,1,1,1,606.4,0,1,1,81,0,0,1,0,0,0,0,0,0.5,0.4998400885962173,0.5001599114037828,0.5,0.5,0.0,0.0,-0.5,0.5
81,green,0,1,1,453.2,1,1,1,82,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.49994669051513874,0.5000533094848613,-0.5,0.5,0.0,0.0
82,green,1,1,1,388.4,0,1,1,83,0,0,1,0,0,0,0,0,0.5,0.49994669051513874,0.5000533094848613,0.5,0.5,0.0,0.0,-0.5,0.5
