,stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,red,1,1,0,939.5,1,1,0,1,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,red,0,1,0,682.6,0,1,0,2,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.500050005,0.499949995,0.5,-0.5,0.0,0.0
2,red,0,1,0,391.8,0,1,0,3,0,0,1,0,0,0,0,0,0.500050005,0.500050005,0.499949995,0.500050005,0.499949995,0.49994999500000004,-0.499949995,0.0,0.0
3,red,0,1,0,404.8,0,1,0,4,0,0,1,0,0,0,0,0,0.5001000049989999,0.5001000049989999,0.499899995001,0.500050005,0.499949995,0.49989999500100013,-0.499899995001,0.0,0.0
4,green,1,1,1,369.6,0,1,1,5,0,0,1,0,0,0,0,0,0.499949995,0.5001499999974999,0.49985000000249996,0.500050005,0.499949995,0.0,0.0,-0.500050005,0.5000500050000001
5,green,1,1,1,392.5,0,1,1,6,0,0,1,0,0,0,0,0,0.5000000050010001,0.5001499999974999,0.49985000000249996,0.49999999499899994,0.5000000050010001,0.0,0.0,-0.49999999499899994,0.49999999499899994
6,green,1,1,1,325.8,0,1,1,7,0,0,1,0,0,0,0,0,0.5000500100004999,0.5001499999974999,0.49985000000249996,0.4999499899995001,0.5000500100004999,0.0,0.0,-0.4999499899995001,0.49994998999950013
7,red,0,1,0,491.0,0,1,0,8,0,0,1,0,0,0,0,0,0.5001499999974999,0.5001499999974999,0.49985000000249996,0.4998999900010002,0.5001000099989997,0.4998500000025001,-0.49985000000249996,0.0,0.0
8,red,0,1,0,391.6,0,1,0,9,0,0,1,0,0,0,0,0,0.5001999899960001,0.5001999899960001,0.4998000100039997,0.4998999900010002,0.5001000099989997,0.4998000100039999,-0.4998000100039997,0.0,0.0
9,green,0,1,1,476.4,1,1,1,10,0,0,1,0,0,0,0,0,0.4997500250049992,0.5002499749950007,0.4997500250049992,0.4998999900010002,0.5001000099989997,-0.5002499749950007,0.5002499749950008,0.0,0.0
10,green,1,1,1,377.6,0,1,1,11,0,0,1,0,0,0,0,0,0.5001000099989997,0.5001999449950014,0.49980005500499847,0.4998999900010002,0.5001000099989997,0.0,0.0,-0.4998999900010002,0.49989999000100027
11,green,0,1,1,384.7,1,1,1,12,0,0,1,0,0,0,0,0,0.49980005500499847,0.5001999449950014,0.49980005500499847,0.4998499950030002,0.5001500049969997,-0.5001999449950014,0.5001999449950015,0.0,0.0
12,red,1,1,0,429.7,1,1,0,13,0,0,1,0,0,0,0,0,0.4998499950030002,0.5001499199985024,0.49985008000149744,0.4998499950030002,0.5001500049969997,0.0,0.0,0.5001500049969998,-0.5001500049969997
13,green,1,1,1,332.6,0,1,1,14,0,0,1,0,0,0,0,0,0.500099984995,0.5001499199985024,0.49985008000149744,0.499900015005,0.500099984995,0.0,0.0,-0.499900015005,0.49990001500500003
14,green,0,1,1,475.6,1,1,1,15,0,0,1,0,0,0,0,0,0.49985008000149744,0.5001499199985024,0.49985008000149744,0.49985002000449935,0.5001499799955006,-0.5001499199985024,0.5001499199985026,0.0,0.0
15,green,0,1,1,426.4,1,1,1,16,0,0,1,0,0,0,0,0,0.4999000999949965,0.5000999000050034,0.4999000999949965,0.49985002000449935,0.5001499799955006,-0.5000999000050034,0.5000999000050035,0.0,0.0
16,red,1,1,0,553.5,1,1,0,17,0,0,1,0,0,0,0,0,0.49985002000449935,0.5000498850140038,0.499950114985996,0.49985002000449935,0.5001499799955006,0.0,0.0,0.5001499799955007,-0.5001499799955006
17,red,1,1,0,456.5,1,1,0,18,0,0,1,0,0,0,0,0,0.4999000400039987,0.5000498850140038,0.499950114985996,0.4999000400039987,0.5000999599960012,0.0,0.0,0.5000999599960013,-0.5000999599960012
18,green,1,1,1,427.2,0,1,1,19,0,0,1,0,0,0,0,0,0.500049944999002,0.5000498850140038,0.499950114985996,0.4999500550009979,0.500049944999002,0.0,0.0,-0.4999500550009979,0.499950055000998
19,red,0,1,0,484.4,0,1,0,20,0,0,1,0,0,0,0,0,0.5000498850140038,0.5000498850140038,0.499950114985996,0.4999000549959972,0.5000999450040027,0.4999501149859962,-0.499950114985996,0.0,0.0
20,red,0,1,0,401.4,0,1,0,21,0,0,1,0,0,0,0,0,0.5000998850250036,0.5000998850250036,0.49990011497499626,0.4999000549959972,0.5000999450040027,0.4999001149749964,-0.49990011497499626,0.0,0.0
21,red,0,1,0,510.4,0,1,0,22,0,0,1,0,0,0,0,0,0.5001498800355022,0.5001498800355022,0.49985011996449763,0.4999000549959972,0.5000999450040027,0.4998501199644978,-0.49985011996449763,0.0,0.0
22,green,1,1,1,365.4,0,1,1,23,0,0,1,0,0,0,0,0,0.5000999450040027,0.5001998700459999,0.49980012995399997,0.4999000549959972,0.5000999450040027,0.0,0.0,-0.4999000549959972,0.4999000549959973
23,red,0,1,0,378.4,0,1,0,24,0,0,1,0,0,0,0,0,0.5001998700459999,0.5001998700459999,0.49980012995399997,0.49985005999149706,0.5001499400085029,0.49980012995400014,-0.49980012995399997,0.0,0.0
24,green,1,1,1,359.3,0,1,1,25,0,0,1,0,0,0,0,0,0.5001499400085029,0.5002498550569966,0.4997501449430033,0.49985005999149706,0.5001499400085029,0.0,0.0,-0.49985005999149706,0.4998500599914971
25,green,1,1,1,508.3,0,1,1,26,0,0,1,0,0,0,0,0,0.5001999300130027,0.5002498550569966,0.4997501449430033,0.49980006998699733,0.5001999300130027,0.0,0.0,-0.49980006998699733,0.49980006998699733
26,green,1,1,1,449.3,0,1,1,27,0,0,1,0,0,0,0,0,0.5002499150180021,0.5002498550569966,0.4997501449430033,0.4997500849819979,0.5002499150180021,0.0,0.0,-0.4997500849819979,0.4997500849819979
27,red,0,1,0,518.1,0,1,0,28,0,0,1,0,0,0,0,0,0.5002498550569966,0.5002498550569966,0.4997501449430033,0.49970010497599887,0.5002998950240012,0.4997501449430034,-0.4997501449430033,0.0,0.0
28,red,0,1,0,395.3,0,1,0,29,0,0,1,0,0,0,0,0,0.5002998350689923,0.5002998350689923,0.49970016493100755,0.49970010497599887,0.5002998950240012,0.49970016493100766,-0.49970016493100755,0.0,0.0
29,green,1,1,1,338.3,0,1,1,30,0,0,1,0,0,0,0,0,0.5002998950240012,0.5003498100824871,0.4996501899175128,0.49970010497599887,0.5002998950240012,0.0,0.0,-0.49970010497599887,0.4997001049759988
30,green,1,1,1,369.0,0,1,1,31,0,0,1,0,0,0,0,0,0.5003498700314999,0.5003498100824871,0.4996501899175128,0.4996501299685002,0.5003498700314999,0.0,0.0,-0.4996501299685002,0.4996501299685001
