,stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,red,1,1,0,939.5,1,1,0,1,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,red,0,1,0,682.6,0,1,0,2,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.8719959988018577,0.12800400119814226,0.5,-0.5,0.0,0.0
2,red,0,1,0,391.8,0,1,0,3,0,0,1,0,0,0,0,0,0.8719959988018577,0.8719959988018577,0.12800400119814226,0.6608322101932225,0.3391677898067776,0.12800400119814226,-0.12800400119814226,0.0,0.0
3,red,0,1,0,404.8,0,1,0,4,0,0,1,0,0,0,0,0,0.9672299513545319,0.9672299513545319,0.03277004864546801,0.5695356937143156,0.43046430628568444,0.032770048645468064,-0.03277004864546801,0.0,0.0
4,green,1,1,1,369.6,0,1,1,5,0,0,1,0,0,0,0,0,0.46993629140256094,0.9916106053078446,0.008389394692155334,0.530063708597439,0.46993629140256094,0.0,0.0,-0.530063708597439,0.5300637085974391
5,green,1,1,1,392.5,0,1,1,6,0,0,1,0,0,0,0,0,0.8642994488192034,0.7125475017493487,0.28745249825065133,0.1357005511807966,0.8642994488192034,0.0,0.0,-0.1357005511807966,0.1357005511807966
6,green,1,1,1,325.8,0,1,1,7,0,0,1,0,0,0,0,0,0.9652595729681295,0.5918947638885863,0.4081052361114137,0.03474042703187051,0.9652595729681295,0.0,0.0,-0.03474042703187051,0.034740427031870524
7,red,0,1,0,491.0,0,1,0,8,0,0,1,0,0,0,0,0,0.5397306369664959,0.5397306369664959,0.4602693630335041,0.008893827326823055,0.9911061726731769,0.4602693630335041,-0.4602693630335041,0.0,0.0
8,red,0,1,0,391.6,0,1,0,9,0,0,1,0,0,0,0,0,0.8821673598055824,0.8821673598055824,0.11783264019441764,0.2876705893478365,0.7123294106521635,0.11783264019441764,-0.11783264019441764,0.0,0.0
9,green,0,1,1,476.4,1,1,1,10,0,0,1,0,0,0,0,0,0.030166098833252997,0.969833901166747,0.030166098833252997,0.408199527644916,0.5918004723550839,-0.969833901166747,0.969833901166747,0.0,0.0
