,stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,red,1,1,0,939.5,1,1,0,1,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,red,0,1,0,682.6,0,1,0,2,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5175920208135035,0.48240797918649647,0.5,-0.5,0.0,0.0
2,red,0,1,0,391.8,0,1,0,3,0,0,1,0,0,0,0,0,0.5175920208135035,0.5175920208135035,0.48240797918649647,0.50209647151583,0.49790352848416997,0.48240797918649647,-0.48240797918649647,0.0,0.0
3,red,0,1,0,404.8,0,1,0,4,0,0,1,0,0,0,0,0,0.5345650832344016,0.5345650832344016,0.46543491676559845,0.5002498401328239,0.4997501598671761,0.46543491676559845,-0.46543491676559845,0.0,0.0
4,green,1,1,1,369.6,0,1,1,5,0,0,1,0,0,0,0,0,0.4999702261196977,0.5509409647205449,0.44905903527945507,0.5000297738803022,0.4999702261196977,0.0,0.0,-0.5000297738803022,0.5000297738803023
5,green,1,1,1,392.5,0,1,1,6,0,0,1,0,0,0,0,0,0.5175632944986452,0.5060707227815209,0.4939292772184791,0.48243670550135476,0.5175632944986452,0.0,0.0,-0.48243670550135476,0.48243670550135476
6,green,1,1,1,325.8,0,1,1,7,0,0,1,0,0,0,0,0,0.534537367627401,0.5007234585228656,0.49927654147713435,0.46546263237259894,0.534537367627401,0.0,0.0,-0.46546263237259894,0.465462632372599
7,red,0,1,0,491.0,0,1,0,8,0,0,1,0,0,0,0,0,0.5000862158021612,0.5000862158021612,0.49991378419783883,0.44908577573938513,0.5509142242606148,0.49991378419783883,-0.49991378419783883,0.0,0.0
8,red,0,1,0,391.6,0,1,0,9,0,0,1,0,0,0,0,0,0.5176752031952926,0.5176752031952926,0.48232479680470747,0.49393246392529117,0.5060675360747088,0.4823247968047074,-0.48232479680470747,0.0,0.0
9,green,0,1,1,476.4,1,1,1,10,0,0,1,0,0,0,0,0,0.46535466107619294,0.5346453389238072,0.46535466107619294,0.4992769212424911,0.5007230787575089,-0.5346453389238072,0.5346453389238071,0.0,0.0
10,green,1,1,1,377.6,0,1,1,11,0,0,1,0,0,0,0,0,0.5000861705448675,0.5158343550634267,0.48416564493657344,0.4999138294551326,0.5000861705448675,0.0,0.0,-0.4999138294551326,0.4999138294551325
11,green,0,1,1,384.7,1,1,1,12,0,0,1,0,0,0,0,0,0.49811299254850067,0.5018870074514994,0.49811299254850067,0.48232484046966667,0.5176751595303334,-0.5018870074514994,0.5018870074514994,0.0,0.0
12,red,1,1,0,429.7,1,1,0,13,0,0,1,0,0,0,0,0,0.49789362069963833,0.4842285940892718,0.5157714059107282,0.49789362069963833,0.5021063793003617,0.0,0.0,0.5021063793003617,-0.5021063793003617
13,green,1,1,1,332.6,0,1,1,14,0,0,1,0,0,0,0,0,0.484440247549872,0.49812049430779126,0.5018795056922087,0.5155597524501281,0.484440247549872,0.0,0.0,-0.5155597524501281,0.515559752450128
14,green,0,1,1,475.6,1,1,1,15,0,0,1,0,0,0,0,0,0.5002239839407495,0.4997760160592505,0.5002239839407495,0.49742027665871336,0.5025797233412868,-0.4997760160592505,0.4997760160592505,0.0,0.0
