,stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,red,1,1,0,939.5,1,1,0,1,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,red,0,1,0,682.6,0,1,0,2,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.6371995650297186,0.36280043497028136,0.5,-0.5,0.0,0.0
2,red,0,1,0,391.8,0,1,0,3,0,0,1,0,0,0,0,0,0.6371995650297186,0.6371995650297186,0.36280043497028136,0.5768961565112617,0.4231038434887383,0.36280043497028136,-0.36280043497028136,0.0,0.0
3,red,0,1,0,404.8,0,1,0,4,0,0,1,0,0,0,0,0,0.7367516887707493,0.7367516887707493,0.2632483112292507,0.5430979419280494,0.45690205807195056,0.26324831122925074,-0.2632483112292507,0.0,0.0
4,green,1,1,1,369.6,0,1,1,5,0,0,1,0,0,0,0,0,0.47584492278022383,0.8089867963616717,0.1910132036383283,0.5241550772197762,0.47584492278022383,0.0,0.0,-0.5241550772197762,0.5241550772197762
5,green,1,1,1,392.5,0,1,1,6,0,0,1,0,0,0,0,0,0.6196726199855676,0.6731776412541385,0.3268223587458615,0.3803273800144324,0.6196726199855676,0.0,0.0,-0.3803273800144324,0.38032738001443245
6,green,1,1,1,325.8,0,1,1,7,0,0,1,0,0,0,0,0,0.7240341221993128,0.5970607669437207,0.4029392330562794,0.2759658778006871,0.7240341221993128,0.0,0.0,-0.2759658778006871,0.27596587780068715
7,red,0,1,0,491.0,0,1,0,8,0,0,1,0,0,0,0,0,0.5543995888353638,0.5543995888353638,0.44560041116463633,0.20024108100608956,0.7997589189939104,0.4456004111646362,-0.44560041116463633,0.0,0.0
8,red,0,1,0,391.6,0,1,0,9,0,0,1,0,0,0,0,0,0.6766719540130676,0.6766719540130676,0.32332804598693254,0.331994301544546,0.6680056984554539,0.32332804598693243,-0.32332804598693254,0.0,0.0
9,green,0,1,1,476.4,1,1,1,10,0,0,1,0,0,0,0,0,0.23460711144430052,0.7653928885556995,0.23460711144430052,0.40583794868142575,0.5941620513185741,-0.7653928885556995,0.7653928885556995,0.0,0.0
