,stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,red,1,1,0,939.5,1,1,0,1,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,red,0,1,0,682.6,0,1,0,2,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5001123437949524,0.4998876562050476,0.5,-0.5,0.0,0.0
2,red,0,1,0,391.8,0,1,0,3,0,0,1,0,0,0,0,0,0.5001123437949524,0.5001123437949524,0.4998876562050476,0.5001123437949524,0.4998876562050476,0.4998876562050476,-0.4998876562050476,0.0,0.0
3,red,0,1,0,404.8,0,1,0,4,0,0,1,0,0,0,0,0,0.5002246623476483,0.5002246623476483,0.4997753376523517,0.5001123437949524,0.4998876562050476,0.4997753376523517,-0.4997753376523517,0.0,0.0
4,green,1,1,1,369.6,0,1,1,5,0,0,1,0,0,0,0,0,0.4998876562050476,0.5003369556637592,0.49966304433624076,0.5001123437949524,0.4998876562050476,0.0,0.0,-0.5001123437949524,0.5001123437949524
5,green,1,1,1,392.5,0,1,1,6,0,0,1,0,0,0,0,0,0.5000000252422565,0.5003369556637592,0.49966304433624076,0.49999997475774344,0.5000000252422565,0.0,0.0,-0.49999997475774344,0.4999999747577435
6,green,1,1,1,325.8,0,1,1,7,0,0,1,0,0,0,0,0,0.5001123690315373,0.5003369556637592,0.49966304433624076,0.49988763096846267,0.5001123690315373,0.0,0.0,-0.49988763096846267,0.49988763096846267
7,red,0,1,0,491.0,0,1,0,8,0,0,1,0,0,0,0,0,0.5003369556637592,0.5003369556637592,0.49966304433624076,0.49977531242143713,0.5002246875785629,0.49966304433624076,-0.49966304433624076,0.0,0.0
8,red,0,1,0,391.6,0,1,0,9,0,0,1,0,0,0,0,0,0.5004492237489556,0.5004492237489556,0.4995507762510443,0.49977531242143713,0.5002246875785629,0.4995507762510444,-0.4995507762510443,0.0,0.0
9,green,0,1,1,476.4,1,1,1,10,0,0,1,0,0,0,0,0,0.4994385333910934,0.5005614666089065,0.4994385333910934,0.49977531242143713,0.5002246875785629,-0.5005614666089065,0.5005614666089067,0.0,0.0
10,green,1,1,1,377.6,0,1,1,11,0,0,1,0,0,0,0,0,0.5002246875785629,0.5004489966593749,0.49955100334062497,0.49977531242143713,0.5002246875785629,0.0,0.0,-0.49977531242143713,0.49977531242143713
11,green,0,1,1,384.7,1,1,1,12,0,0,1,0,0,0,0,0,0.49955100334062497,0.5004489966593749,0.49955100334062497,0.49966301911099525,0.5003369808890048,-0.5004489966593749,0.500448996659375,0.0,0.0
12,red,1,1,0,429.7,1,1,0,13,0,0,1,0,0,0,0,0,0.49966301911099525,0.5003365519804452,0.49966344801955465,0.49966301911099525,0.5003369808890048,0.0,0.0,0.5003369808890048,-0.5003369808890048
13,green,1,1,1,332.6,0,1,1,14,0,0,1,0,0,0,0,0,0.5002245613786286,0.5003365519804452,0.49966344801955465,0.49977543862137147,0.5002245613786286,0.0,0.0,-0.49977543862137147,0.4997754386213714
14,green,0,1,1,475.6,1,1,1,15,0,0,1,0,0,0,0,0,0.49966344801955465,0.5003365519804452,0.49966344801955465,0.499663145282574,0.5003368547174261,-0.5003365519804452,0.5003365519804454,0.0,0.0
15,green,0,1,1,426.4,1,1,1,16,0,0,1,0,0,0,0,0,0.4997758674335604,0.5002241325664395,0.4997758674335604,0.499663145282574,0.5003368547174261,-0.5002241325664395,0.5002241325664396,0.0,0.0
