subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub_1,10604.27869,10581.96825,10580.74435,10580.67199,10580.66414,10607.87618,10592.85851,10598.02601,10598.43997,10602.47455
sub_2,10610.75634,10477.56302,10474.2682,10474.31497,10473.51164,10615.98242,10488.368,10489.51717,10493.63713,10494.35296
sub_3,10393.47723,10386.52798,10387.96903,10384.65198,10384.28425,10397.29602,10394.4073,10400.41104,10401.94332,10408.58173
sub_4,10414.79912,10415.89996,10413.90912,10413.77255,10412.12297,10417.88085,10423.79947,10426.85401,10430.50891,10432.96584
sub_5,11907.23849,11909.23889,11905.5281,11911.54936,11908.39689,11912.18073,11919.01643,11918.03365,11928.52386,11930.206
sub_6,7348.625809,7350.586675,7353.601998,7354.586675,7357.72325,7352.69865,7358.966103,7364.44944,7369.042507,7375.946342
sub_7,10796.503,10778.59803,10779.93783,10765.96083,10768.80155,10799.7332,10789.69051,10795.92922,10785.18827,10792.81137
sub_8,10561.05605,10563.0565,10562.68661,10558.46938,10561.99679,10566.88183,10572.92477,10578.04953,10583.15867,10589.07499
sub_9,10349.98861,10320.88147,10322.01958,10320.93258,10321.10357,10352.82932,10330.94138,10337.45983,10338.85649,10345.16032
sub_10,11574.7906,11575.31045,11577.21154,11569.47128,11572.25825,11585.41155,11584.46811,11591.06724,11593.36314,11600.38363
sub_11,11179.74205,11172.68906,11174.58459,11171.14375,11173.29817,11183.34588,11181.2532,11187.99836,11190.86457,11198.01301
sub_12,11854.24299,11855.54245,11856.19151,11856.79837,11858.05309,11857.16116,11863.21274,11868.68473,11873.94669,11881.56257
sub_13,12173.35051,12174.23705,12171.00929,12170.45141,12171.77231,12182.50217,12189.34233,12195.16403,12198.69867,12201.25754
sub_14,10433.25627,10435.25812,10436.09346,10427.94131,10432.27818,10439.35998,10446.19579,10452.80629,10450.03087,10454.94049
sub_15,10959.32986,10933.95422,10934.84483,10926.1126,10926.79577,10966.76557,10948.99923,10955.1841,10954.12603,10961.02901
sub_16,11256.79548,11258.00733,11259.60409,11253.69062,11256.27809,11264.23704,11269.57528,11276.26647,11273.98915,11281.37992
sub_17,11139.52054,11141.52083,11141.40799,11138.67092,11139.42208,11142.34742,11149.17101,11153.88674,11153.46155,11159.38624
sub_18,9916.092597,9918.063862,9920.063862,9916.753997,9919.818122,9918.936871,9925.799267,9932.658882,9935.441724,9944.288363
