subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
sub_1,-5300.139347088912,-5287.984125515665,-5286.372176646571,-5285.33599327594,-5284.332069901743
sub_2,-5303.378167785536,-5235.781511089913,-5233.134099684221,-5232.15748430368,-5230.7558193488485
sub_3,-5194.738617036286,-5190.263991143676,-5189.984514211952,-5187.325987509115,-5186.142123730331
sub_4,-5205.3995601427505,-5204.949980753819,-5202.954560999925,-5201.88627520295,-5200.061483811679
sub_5,-5951.619242630176,-5951.619442983857,-5948.764048165705,-5950.774680858739,-5948.198445205696
sub_6,-3672.312904264423,-3672.2933372673747,-3672.800999074399,-3672.29333726558,-3672.861624928155
sub_7,-5396.251498701416,-5386.299016312588,-5385.968913000039,-5377.980416553402,-5378.400773985385
sub_8,-5278.528024145031,-5278.528249062693,-5277.3433068977065,-5274.234690721049,-5274.998395382315
sub_9,-5172.994305516165,-5157.440734127967,-5157.009791682599,-5155.466291685213,-5154.551783879198
sub_10,-5785.3953020918625,-5784.655223824942,-5784.605768274768,-5779.735637833794,-5780.129126623245
sub_11,-5587.871026801414,-5583.344530937739,-5583.292295676212,-5580.571873510431,-5580.649083781068
sub_12,-5925.1214946604605,-5924.771226775682,-5924.095752996135,-5923.399182972876,-5923.026545395523
sub_13,-6084.675257218835,-6084.118524092521,-6081.5046434639635,-6080.225704366048,-6079.8861534796115
sub_14,-5214.628136320766,-5214.629057999994,-5214.046727613528,-5208.970653535374,-5210.139087718098
sub_15,-5477.664932341427,-5463.977110686898,-5463.422412917295,-5458.056301991058,-5457.397886274369
sub_16,-5626.397741278171,-5626.003664236029,-5625.802043498276,-5621.845309357804,-5622.139046633898
sub_17,-5567.760269070513,-5567.76041546739,-5566.703992615797,-5564.335458839663,-5563.711039945383
sub_18,-4956.046298418218,-4956.031930949352,-4956.031930949352,-4953.37699842846,-4953.909060799785
