,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,0,1,1,1143.1,0,1,1,20,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,1,1,0,476.1,0,2,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.14876602070690625,0.8512339792930937,0.5,0.5,0.0,0.0,0.5,-0.5
2,1,1,0,531.2,0,3,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8512339792930937,0.18483819675025875,0.8151618032497413,0.8512339792930937,0.14876602070690625,0.0,0.0,0.14876602070690625,-0.14876602070690625
3,1,1,0,470.0,0,4,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9557373421660647,0.21720571447119763,0.7827942855288025,0.9557373421660647,0.04426265783393532,0.0,0.0,0.04426265783393535,-0.04426265783393532
4,0,1,0,607.2,1,5,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2462490469875446,0.2462490469875446,0.7537509530124555,0.9868304410562682,0.013169558943731858,0.7537509530124554,-0.7537509530124555,0.0,0.0
5,0,1,1,445.9,0,6,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.22426505976740252,0.7757349402325975,0.22426505976740252,0.9368323360654338,0.06316766393456621,-0.7757349402325975,0.7757349402325975,0.0,0.0
6,1,1,0,483.0,0,7,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8919690999978548,0.23080600036342658,0.7691939996365734,0.8919690999978548,0.10803090000214528,0.0,0.0,0.10803090000214521,-0.10803090000214528
7,0,1,0,487.9,1,8,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25845256623455376,0.25845256623455376,0.7415474337654462,0.9678573457865903,0.03214265421340973,0.7415474337654462,-0.7415474337654462,0.0,0.0
8,0,1,1,463.0,0,9,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.22063412177340713,0.7793658782265929,0.22063412177340713,0.9198078017921395,0.0801921982078605,-0.7793658782265929,0.7793658782265929,0.0,0.0
9,1,1,0,516.0,0,10,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8766930070302631,0.23188632075702698,0.768113679242973,0.8766930070302631,0.1233069929697369,0.0,0.0,0.1233069929697369,-0.1233069929697369
