,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,0,1,1,777.8,0,1,1,20,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,1,1,1,640.9,1,2,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.24214298638366055,0.7578570136163394,0.5,0.5,0.0,0.0,-0.5,0.5
2,1,1,0,447.6,0,3,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24214298638366055,0.4221350146986419,0.5778649853013581,0.24214298638366055,0.7578570136163394,0.0,0.0,0.7578570136163394,-0.7578570136163394
3,1,1,0,654.6,0,4,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6329804789422742,0.4764871397099104,0.5235128602900896,0.6329804789422742,0.36701952105772584,0.0,0.0,0.36701952105772584,-0.36701952105772584
4,1,1,0,403.6,0,5,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8222575942199629,0.49289983043236213,0.5071001695676378,0.8222575942199629,0.17774240578003705,0.0,0.0,0.17774240578003708,-0.17774240578003705
5,1,1,1,408.8,1,6,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08607815388518916,0.4978559644693479,0.5021440355306521,0.9139218461148109,0.08607815388518916,0.0,0.0,-0.9139218461148109,0.9139218461148109
6,1,1,0,473.6,0,7,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4425995302790171,0.4993525663981814,0.5006474336018186,0.4425995302790171,0.5574004697209829,0.0,0.0,0.5574004697209829,-0.5574004697209829
7,1,1,0,510.7,0,8,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730058771300212,0.4998044947190608,0.5001955052809393,0.730058771300212,0.2699412286997879,0.0,0.0,0.269941228699788,-0.2699412286997879
8,0,1,1,451.6,0,9,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5000590366560644,0.49994096334393556,0.5000590366560644,0.8692712494691173,0.1307287505308827,-0.49994096334393556,0.49994096334393556,0.0,0.0
9,1,0,1,378.5,0,10,0,20,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38849129985307107,0.24211439575924948,0.7578856042407505,0.6115087001469289,0.38849129985307107,0.0,0.0,0.38849129985307107,-0.38849129985307107
10,1,0,1,649.6,0,11,0,20,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35954192225827086,0.4221263811985547,0.5778736188014453,0.6404580777417291,0.35954192225827086,0.0,0.0,0.35954192225827086,-0.35954192225827086
11,0,1,1,686.6,0,12,1,20,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5235154673448598,0.4764845326551402,0.5235154673448598,0.6672502217937363,0.3327497782062637,-0.4764845326551402,0.47648453265514024,0.0,0.0
12,1,1,0,659.6,0,13,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5505044864941884,0.23075477540547695,0.769245224594523,0.5505044864941884,0.44949551350581163,0.0,0.0,0.44949551350581163,-0.44949551350581163
