,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,0,737.4,0,1,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,0,1,0,438.2,1,2,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.6114197698157813,0.38858023018421867,0.5,-0.5,0.0,0.0
2,1,1,1,459.3,1,3,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48919727999817914,0.6114197698157813,0.38858023018421867,0.5108027200018208,0.48919727999817914,0.0,0.0,-0.5108027200018208,0.5108027200018208
3,1,1,1,566.1,1,4,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6030243229659349,0.5108027200018208,0.48919727999817914,0.39697567703406506,0.6030243229659349,0.0,0.0,-0.39697567703406506,0.3969756770340651
4,1,1,1,413.1,1,5,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6914862000811338,0.5010473792903242,0.4989526207096758,0.30851379991886607,0.6914862000811338,0.0,0.0,-0.30851379991886607,0.3085137999188662
5,0,1,0,578.3,1,6,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.50010154881156,0.50010154881156,0.49989845118844,0.2397647267749619,0.7602352732250379,0.49989845118844,-0.49989845118844,0.0,0.0
6,0,1,0,783.3,1,7,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6114986895369232,0.6114986895369232,0.38850131046307684,0.47476885120212076,0.5252311487978792,0.3885013104630768,-0.38850131046307684,0.0,0.0
7,1,1,1,596.3,1,8,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5024462897045867,0.698072142706774,0.301927857293226,0.4975537102954133,0.5024462897045867,0.0,0.0,-0.4975537102954133,0.4975537102954133
8,1,1,1,577.1,1,9,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6133209294487925,0.5192041134294187,0.4807958865705813,0.3866790705512075,0.6133209294487925,0.0,0.0,-0.3866790705512075,0.38667907055120754
9,1,1,0,456.1,0,10,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3005116844844159,0.5018619376130845,0.4981380623869155,0.3005116844844159,0.6994883155155841,0.0,0.0,0.6994883155155841,-0.6994883155155841
