,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,0,1,0,510.6,1,1,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,0,1,1,497.5,0,2,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37648627730986045,0.6235137226901396,0.37648627730986045,0.5,0.5,-0.6235137226901396,0.6235137226901395,0.0,0.0
2,1,1,1,406.5,1,3,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.46948872061444663,0.5305112793855534,0.5,0.5,0.0,0.0,-0.5,0.5
3,0,1,1,455.4,0,4,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5305082282576149,0.4694917717423852,0.5305082282576149,0.37648627730986045,0.6235137226901396,-0.4694917717423852,0.4694917717423851,0.0,0.0
4,0,1,1,422.5,0,5,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6464855812581974,0.35351441874180267,0.6464855812581974,0.37649862868212947,0.6235013713178706,-0.35351441874180267,0.35351441874180256,0.0,0.0
5,1,1,0,465.3,0,6,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37651097881926127,0.2661866549749209,0.7338133450250792,0.37651097881926127,0.6234890211807389,0.0,0.0,0.6234890211807387,-0.6234890211807389
6,1,1,0,482.3,0,7,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5305298789441899,0.2662100363094234,0.7337899636905767,0.5305298789441899,0.4694701210558102,0.0,0.0,0.4694701210558101,-0.4694701210558102
7,1,1,0,447.2,0,8,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646501883630977,0.2662334153057925,0.7337665846942076,0.646501883630977,0.353498116369023,0.0,0.0,0.35349811636902295,-0.353498116369023
8,1,1,0,446.3,0,9,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7338256202643574,0.2662567919642619,0.7337432080357382,0.7338256202643574,0.2661743797356426,0.0,0.0,0.2661743797356426,-0.2661743797356426
9,1,1,0,583.1,0,10,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7995779973161335,0.26628016628506546,0.7337198337149347,0.7995779973161335,0.2004220026838665,0.0,0.0,0.20042200268386645,-0.2004220026838665
10,1,1,1,388.3,1,11,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15091226736287153,0.26630353826843695,0.7336964617315631,0.8490877326371286,0.15091226736287153,0.0,0.0,-0.8490877326371286,0.8490877326371284
11,1,1,0,419.2,0,12,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6393397591400453,0.2663269079146101,0.73367309208539,0.6393397591400453,0.36066024085995485,0.0,0.0,0.36066024085995474,-0.36066024085995485
12,1,1,0,400.3,0,13,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7284327370899161,0.26635027522381866,0.7336497247761815,0.7284327370899161,0.27156726291008404,0.0,0.0,0.27156726291008393,-0.27156726291008404
13,0,1,1,461.1,0,14,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7336263598037039,0.2663736401962963,0.7336263598037039,0.7955173042955087,0.20448269570449135,-0.2663736401962963,0.26637364019629606,0.0,0.0
14,1,1,0,428.2,0,15,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7954877525650792,0.20057204034195958,0.7994279596580406,0.7954877525650792,0.20451224743492089,0.0,0.0,0.2045122474349208,-0.20451224743492089
15,0,1,0,421.1,1,16,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20060198313792538,0.20060198313792538,0.7993980168620748,0.8460078905979073,0.15399210940209285,0.7993980168620747,-0.7993980168620748,0.0,0.0
16,1,1,0,532.1,0,17,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8459732898088475,0.398075233085425,0.6019247669145752,0.8459732898088475,0.15402671019115263,0.0,0.0,0.15402671019115255,-0.15402671019115263
17,0,1,1,427.0,0,18,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6019145744378838,0.39808542556211646,0.6019145744378838,0.8840221145476965,0.11597788545230359,-0.39808542556211646,0.39808542556211624,0.0,0.0
18,0,1,1,412.0,0,19,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7002526001576146,0.2997473998423856,0.7002526001576146,0.8839837123362417,0.11601628766375835,-0.2997473998423856,0.2997473998423854,0.0,0.0
