,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,0,1,0,867.8,1,2,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,1,1,1,456.8,1,3,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.913714576514151,0.086285423485849,0.5,0.5,0.0,0.0,-0.5,0.5
2,1,1,1,735.8,1,4,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913714576514151,0.9136732050564996,0.08632679494350042,0.086285423485849,0.913714576514151,0.0,0.0,-0.086285423485849,0.086285423485849
3,0,1,0,492.8,1,5,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913631837735994,0.913631837735994,0.08636816226400607,0.014890348612264598,0.9851096513877354,0.08636816226400601,-0.08636816226400607,0.0,0.0
4,1,1,0,623.7,0,6,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014938859577403372,0.9850953730867115,0.014904626913288574,0.014938859577403372,0.9850611404225966,0.0,0.0,0.9850611404225966,-0.9850611404225966
5,0,1,1,518.7,0,7,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014953136450597246,0.9850468635494029,0.014953136450597246,0.8300071646783658,0.16999283532163423,-0.9850468635494029,0.9850468635494027,0.0,0.0
6,1,1,1,563.6,1,8,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17002583603810206,0.1699903715495351,0.8300096284504649,0.8299741639618979,0.17002583603810206,0.0,0.0,-0.8299741639618979,0.8299741639618979
7,0,1,0,376.4,1,9,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17002337251238017,0.17002337251238017,0.8299766274876198,0.14322934443953173,0.8567706555604683,0.8299766274876198,-0.8299766274876198,0.0,0.0
8,1,1,1,781.7,1,10,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8567349784949122,0.8567702304277479,0.14322976957225209,0.14326502150508777,0.8567349784949122,0.0,0.0,-0.14326502150508777,0.1432650215050878
9,1,1,1,594.4,1,11,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9752766338974485,0.8567345534047052,0.14326544659529486,0.02472336610255152,0.9752766338974485,0.0,0.0,-0.02472336610255152,0.024723366102551547
