,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,0,939.5,0,1,0,80,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,0,1,0,682.6,1,2,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.7834784268985635,0.21652157310143644,0.5,-0.5,0.0,0.0
2,0,1,0,391.8,1,3,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7834784268985635,0.7834784268985635,0.21652157310143644,0.7055832513056248,0.29441674869437506,0.2165215731014365,-0.21652157310143644,0.0,0.0
3,0,1,0,404.8,1,4,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9062368167633587,0.9062368167633587,0.09376318323664136,0.6490923795499793,0.3509076204500206,0.09376318323664135,-0.09376318323664136,0.0,0.0
4,1,1,1,369.6,1,5,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3918757364780186,0.9593964961332083,0.040603503866791645,0.6081242635219813,0.3918757364780186,0.0,0.0,-0.6081242635219813,0.6081242635219815
5,1,1,1,392.5,1,6,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7366559556421363,0.8331619493827361,0.1668380506172638,0.26334404435786374,0.7366559556421363,0.0,0.0,-0.26334404435786374,0.26334404435786374
6,1,1,1,325.8,1,7,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8859606664974817,0.7416145648710385,0.2583854351289615,0.11403933350251821,0.8859606664974817,0.0,0.0,-0.11403933350251821,0.11403933350251827
7,0,1,0,491.0,1,8,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6752228850442856,0.6752228850442856,0.32477711495571443,0.049383951770809176,0.9506160482291908,0.3247771149557144,-0.32477711495571443,0.0,0.0
8,0,1,0,391.6,1,9,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8593574963248853,0.8593574963248853,0.1406425036751147,0.17320577689462707,0.8267942231053729,0.14064250367511466,-0.1406425036751147,0.0,0.0
9,0,1,1,476.4,0,10,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06090427228132078,0.9390957277186792,0.06090427228132078,0.26300341571339947,0.7369965842866004,-0.9390957277186792,0.9390957277186792,0.0,0.0
10,1,1,1,377.6,1,11,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6718738490227376,0.45836499170466727,0.5416350082953327,0.3281261509772623,0.6718738490227376,0.0,0.0,-0.3281261509772623,0.3281261509772624
11,0,1,1,384.7,0,12,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5301943977435503,0.46980560225644974,0.5301943977435503,0.14209278077063253,0.8579072192293674,-0.46980560225644974,0.46980560225644974,0.0,0.0
12,1,1,0,429.7,0,13,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24043975550472027,0.20344609610486852,0.7965539038951315,0.24043975550472027,0.7595602444952797,0.0,0.0,0.7595602444952797,-0.7595602444952797
13,1,1,1,332.6,1,14,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3707351816124644,0.28493419616741256,0.7150658038325874,0.6292648183875356,0.3707351816124644,0.0,0.0,-0.6292648183875356,0.6292648183875356
14,0,1,1,475.6,0,15,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6559692837310052,0.3440307162689949,0.6559692837310052,0.2724988167493178,0.7275011832506821,-0.3440307162689949,0.34403071626899484,0.0,0.0
15,0,1,1,426.4,0,16,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8510198562364466,0.14898014376355342,0.8510198562364466,0.3350123731098318,0.6649876268901681,-0.14898014376355342,0.1489801437635534,0.0,0.0
16,1,1,0,553.5,0,17,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3803482397853958,0.06451483017712549,0.9354851698228746,0.3803482397853958,0.6196517602146041,0.0,0.0,0.6196517602146042,-0.6196517602146041
17,1,1,0,456.5,0,18,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7316640522065196,0.1841789405738289,0.8158210594261711,0.7316640522065196,0.26833594779348036,0.0,0.0,0.26833594779348036,-0.26833594779348036
18,1,1,1,427.2,1,19,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11620104307181858,0.27096133579557324,0.7290386642044268,0.8837989569281814,0.11620104307181858,0.0,0.0,-0.8837989569281814,0.8837989569281814
19,0,1,0,484.4,1,20,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33389736645218454,0.33389736645218454,0.6661026335478155,0.43137508733543534,0.5686249126645647,0.6661026335478155,-0.6661026335478155,0.0,0.0
20,0,1,0,401.4,1,21,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7115488198744347,0.7115488198744347,0.2884511801255653,0.45023207649168295,0.549767923508317,0.28845118012556525,-0.2884511801255653,0.0,0.0
21,0,1,0,510.4,1,22,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8750881934324937,0.8750881934324937,0.12491180656750639,0.463907477413685,0.536092522586315,0.12491180656750633,-0.12491180656750639,0.0,0.0
22,1,1,1,365.4,1,23,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5261748952902559,0.9459077982861224,0.054092201713877644,0.47382510470974415,0.5261748952902559,0.0,0.0,-0.47382510470974415,0.47382510470974415
23,0,1,0,378.4,1,24,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8233797222495393,0.8233797222495393,0.1766202777504608,0.20518671409341327,0.7948132859065867,0.17662027775046074,-0.1766202777504608,0.0,0.0
24,1,1,1,359.3,1,25,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713803478832124,0.9235157992397152,0.07648420076028481,0.2861965211678759,0.713803478832124,0.0,0.0,-0.2861965211678759,0.286196521167876
25,1,1,1,508.3,1,26,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8760645580411459,0.8071406735940305,0.19285932640596948,0.12393544195885409,0.8760645580411459,0.0,0.0,-0.12393544195885409,0.12393544195885409
26,1,1,1,449.3,1,27,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9463306062880943,0.7227435045992223,0.27725649540077774,0.05366939371190571,0.9463306062880943,0.0,0.0,-0.05366939371190571,0.05366939371190571
27,0,1,0,518.1,1,28,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6615372795161704,0.6615372795161704,0.33846272048382964,0.02324116310780433,0.9767588368921957,0.33846272048382964,-0.33846272048382964,0.0,0.0
28,0,1,0,395.3,1,29,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8534310386492989,0.8534310386492989,0.14656896135070113,0.15424659347338027,0.8457534065266197,0.14656896135070108,-0.14656896135070113,0.0,0.0
29,1,1,1,338.3,1,30,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7507460981825356,0.9365293158410051,0.0634706841589949,0.24925390181746443,0.7507460981825356,0.0,0.0,-0.24925390181746443,0.24925390181746443
30,1,1,1,369.0,1,31,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8920623061536233,0.8165782914158982,0.18342170858410176,0.10793769384637678,0.8920623061536233,0.0,0.0,-0.10793769384637678,0.10793769384637675
31,0,1,0,454.0,1,32,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7295878213877225,0.7295878213877225,0.2704121786122775,0.04674167853711747,0.9532583214628826,0.2704121786122775,-0.2704121786122775,0.0,0.0
32,1,1,1,403.3,1,33,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8287104434264859,0.8828998594021662,0.11710014059783386,0.17128955657351408,0.8287104434264859,0.0,0.0,-0.17128955657351408,0.17128955657351408
33,1,1,1,376.1,1,34,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9258242315097105,0.7776853211780076,0.2223146788219924,0.07417576849028952,0.9258242315097105,0.0,0.0,-0.07417576849028952,0.0741757684902895
34,1,1,1,333.2,1,35,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9678786918409491,0.7013819950681784,0.29861800493182156,0.0321213081590509,0.9678786918409491,0.0,0.0,-0.0321213081590509,0.0321213081590509
35,0,1,0,356.3,1,36,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6460455589283476,0.6460455589283476,0.3539544410716524,0.01390991234534741,0.9860900876546526,0.3539544410716524,-0.3539544410716524,0.0,0.0
36,0,1,0,405.1,1,37,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8467224552258523,0.8467224552258523,0.15327754477414773,0.14747941583844715,0.8525205841615529,0.15327754477414768,-0.15327754477414773,0.0,0.0
37,0,1,0,304.1,1,38,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9336242097687514,0.9336242097687514,0.06637579023124865,0.24434623249118415,0.7556537675088159,0.06637579023124862,-0.06637579023124865,0.0,0.0
38,1,1,1,301.2,1,39,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6854043473713838,0.9712564189665582,0.02874358103344183,0.3145956526286162,0.6854043473713838,0.0,0.0,-0.3145956526286162,0.3145956526286162
