,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,0,737.4,0,1,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,0,1,0,438.2,1,2,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.6140203409186531,0.3859796590813469,0.5,-0.5,0.0,0.0
2,1,1,1,459.3,1,3,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4970148128875777,0.6140203409186531,0.3859796590813469,0.5029851871124223,0.4970148128875777,0.0,0.0,-0.5029851871124223,0.5029851871124222
3,1,1,1,566.1,1,4,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6117158979107595,0.5029851871124223,0.4970148128875777,0.3882841020892406,0.6117158979107595,0.0,0.0,-0.3882841020892406,0.38828410208924047
4,1,1,1,413.1,1,5,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7002604692977761,0.5000781557222542,0.4999218442777458,0.299739530702224,0.7002604692977761,0.0,0.0,-0.299739530702224,0.2997395307022239
5,0,1,0,578.3,1,6,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.500002046209062,0.500002046209062,0.49999795379093803,0.23138672374729466,0.7686132762527054,0.49999795379093803,-0.49999795379093803,0.0,0.0
6,0,1,0,783.3,1,7,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6140219205088053,0.6140219205088053,0.38597807949119467,0.4929673873623375,0.5070326126376625,0.38597807949119467,-0.38597807949119467,0.0,0.0
7,1,1,1,596.3,1,8,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5001841220999995,0.7020406249302313,0.29795937506976866,0.4998158779000004,0.5001841220999995,0.0,0.0,-0.4998158779000004,0.4998158779000005
8,1,1,1,577.1,1,9,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6141624756894274,0.5052896620451063,0.4947103379548937,0.3858375243105726,0.6141624756894274,0.0,0.0,-0.3858375243105726,0.3858375243105726
9,1,1,0,456.1,0,10,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2978508721883715,0.5001384895961448,0.4998615104038552,0.2978508721883715,0.7021491278116285,0.0,0.0,0.7021491278116285,-0.7021491278116285
10,1,1,1,733.0,1,11,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.09923146215963663,0.5000036258210973,0.49999637417890275,0.9007685378403634,0.09923146215963663,0.0,0.0,-0.9007685378403634,0.9007685378403634
11,0,1,1,724.0,0,12,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4999999050717238,0.5000000949282761,0.4999999050717238,0.12730141723009758,0.8726985827699024,-0.5000000949282761,0.5000000949282761,0.0,0.0
12,0,1,0,633.2,1,13,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.38597973236211425,0.38597973236211425,0.6140202676378856,0.4902423111776474,0.5097576888223526,0.6140202676378858,-0.6140202676378856,0.0,0.0
13,0,1,0,446.0,1,14,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5260013328561829,0.5260013328561829,0.473998667143817,0.4997445321888636,0.5002554678111364,0.4739986671438171,-0.473998667143817,0.0,0.0
14,1,1,0,461.2,0,15,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.49999331155115573,0.6340923121016333,0.36590768789836664,0.49999331155115573,0.5000066884488443,0.0,0.0,0.5000066884488443,-0.5000066884488443
15,0,1,1,460.1,0,16,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.49648930498948174,0.5035106950105183,0.49648930498948174,0.6140151777082437,0.38598482229175635,-0.5035106950105183,0.5035106950105183,0.0,0.0
16,0,1,0,561.2,1,17,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3886897728079438,0.3886897728079438,0.6113102271920562,0.5029850519334793,0.49701494806652075,0.6113102271920562,-0.6113102271920562,0.0,0.0
