,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,1,539.2,1,1,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-0.5,0.5
1,1,1,0,504.1,0,2,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25495343002894866,0.5,0.5,0.25495343002894866,0.7450465699710513,0.0,0.0,0.7450465699710513,-0.7450465699710513
2,0,1,0,543.1,1,3,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.6200956429091546,0.3799043570908453,0.5,-0.5,0.0,0.0
3,0,1,0,442.0,1,4,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7450465699710513,0.7450465699710513,0.25495343002894866,0.6200956429091546,0.3799043570908453,0.25495343002894866,-0.25495343002894866,0.0,0.0
4,0,1,0,359.0,1,5,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8699974970329479,0.8699974970329479,0.13000250296705204,0.6200956429091546,0.3799043570908453,0.13000250296705207,-0.13000250296705204,0.0,0.0
5,0,1,0,432.0,1,6,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933710831912403,0.933710831912403,0.06628916808759698,0.6200956429091546,0.3799043570908453,0.066289168087597,-0.06628916808759698,0.0,0.0
6,1,1,1,457.0,1,7,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3799043570908453,0.9661986984446033,0.03380130155539675,0.6200956429091546,0.3799043570908453,0.0,0.0,-0.6200956429091546,0.6200956429091546
7,1,1,1,751.9,1,8,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6838089777886098,0.9661986984446033,0.03380130155539675,0.31619102221139017,0.6838089777886098,0.0,0.0,-0.31619102221139017,0.31619102221139017
8,1,1,1,487.0,1,9,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8387720286856932,0.9661986984446033,0.03380130155539675,0.16122797131430683,0.8387720286856932,0.0,0.0,-0.16122797131430683,0.16122797131430677
9,0,1,1,461.9,0,10,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03380130155539675,0.9661986984446033,0.03380130155539675,0.08221124860638293,0.9177887513936172,-0.9661986984446033,0.9661986984446033,0.0,0.0
10,1,1,1,442.8,1,11,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9177887513936172,0.4926713445159148,0.5073286554840852,0.08221124860638293,0.9177887513936172,0.0,0.0,-0.08221124860638293,0.08221124860638285
11,0,1,0,456.1,1,12,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4926713445159148,0.4926713445159148,0.5073286554840852,0.04192007963831991,0.9580799203616801,0.5073286554840852,-0.5073286554840852,0.0,0.0
12,1,1,1,454.8,1,13,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9580799203616801,0.7413096382647154,0.25869036173528465,0.04192007963831991,0.9580799203616801,0.0,0.0,-0.04192007963831991,0.041920079638319896
13,1,1,1,407.8,1,14,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9786246638182473,0.7413096382647154,0.25869036173528465,0.0213753361817527,0.9786246638182473,0.0,0.0,-0.0213753361817527,0.02137533618175269
14,0,1,0,508.8,1,15,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7413096382647154,0.7413096382647154,0.25869036173528465,0.010899430555119483,0.9891005694448806,0.2586903617352846,-0.25869036173528465,0.0,0.0
15,1,1,1,433.8,1,16,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9891005694448806,0.8680920099203194,0.13190799007968063,0.010899430555119483,0.9891005694448806,0.0,0.0,-0.010899430555119483,0.010899430555119438
16,0,1,0,432.8,1,17,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8680920099203194,0.8680920099203194,0.13190799007968063,0.00555769441078008,0.99444230558922,0.13190799007968057,-0.13190799007968063,0.0,0.0
17,0,1,0,449.7,1,18,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9327392109619218,0.9327392109619218,0.06726078903807822,0.00555769441078008,0.99444230558922,0.0672607890380782,-0.06726078903807822,0.0,0.0
18,0,1,0,540.7,1,19,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9657032622565769,0.9657032622565769,0.03429673774342311,0.00555769441078008,0.99444230558922,0.03429673774342312,-0.03429673774342311,0.0,0.0
19,0,1,0,465.6,1,20,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9825118581470219,0.9825118581470219,0.01748814185297805,0.00555769441078008,0.99444230558922,0.01748814185297809,-0.01748814185297805,0.0,0.0
20,1,1,1,470.7,1,21,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99444230558922,0.9910826764995009,0.008917323500499136,0.00555769441078008,0.99444230558922,0.0,0.0,-0.00555769441078008,0.005557694410780023
21,0,1,0,443.6,1,22,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9910826764995009,0.9910826764995009,0.008917323500499136,0.0028339065061621965,0.9971660934938378,0.00891732350049912,-0.008917323500499136,0.0,0.0
22,0,1,1,466.6,0,23,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004547004426260012,0.99545299557374,0.004547004426260012,0.0028339065061621965,0.9971660934938378,-0.99545299557374,0.99545299557374,0.0,0.0
23,0,1,0,535.6,1,24,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5075883113082338,0.5075883113082338,0.49241168869176627,0.0028339065061621965,0.9971660934938378,0.4924116886917662,-0.49241168869176627,0.0,0.0
24,0,1,1,500.6,0,25,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25108409803662535,0.7489159019633747,0.25108409803662535,0.0028339065061621965,0.9971660934938378,-0.7489159019633747,0.7489159019633747,0.0,0.0
25,1,1,0,557.5,0,26,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028339065061621965,0.38187735601757244,0.6181226439824276,0.0028339065061621965,0.9971660934938378,0.0,0.0,0.9971660934938378,-0.9971660934938378
26,1,1,1,612.6,1,27,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5084618316896425,0.38187735601757244,0.6181226439824276,0.4915381683103575,0.5084618316896425,0.0,0.0,-0.4915381683103575,0.49153816831035746
27,1,1,1,497.5,1,28,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7493613159982554,0.38187735601757244,0.6181226439824276,0.2506386840017446,0.7493613159982554,0.0,0.0,-0.2506386840017446,0.2506386840017446
28,0,1,0,424.5,1,29,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38187735601757244,0.38187735601757244,0.6181226439824276,0.12780238436837313,0.8721976156316269,0.6181226439824276,-0.6181226439824276,0.0,0.0
29,1,1,1,535.4,1,30,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8721976156316269,0.6848150234762349,0.31518497652376515,0.12780238436837313,0.8721976156316269,0.0,0.0,-0.12780238436837313,0.1278023843683731
30,0,1,1,540.4,0,31,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31518497652376515,0.6848150234762349,0.31518497652376515,0.06516731252118964,0.9348326874788104,-0.6848150234762349,0.6848150234762349,0.0,0.0
31,0,1,0,593.6,1,32,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34919187834124216,0.34919187834124216,0.6508081216587579,0.06516731252118964,0.9348326874788104,0.6508081216587578,-0.6508081216587579,0.0,0.0
32,1,1,1,526.5,1,33,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9348326874788104,0.6681484741848047,0.3318515258151953,0.06516731252118964,0.9348326874788104,0.0,0.0,-0.06516731252118964,0.06516731252118957
33,0,1,0,571.4,1,34,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6681484741848047,0.6681484741848047,0.3318515258151953,0.0332292597060915,0.9667707402939085,0.3318515258151953,-0.3318515258151953,0.0,0.0
34,1,1,1,446.3,1,35,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9667707402939085,0.8307866304661515,0.16921336953384847,0.0332292597060915,0.9667707402939085,0.0,0.0,-0.0332292597060915,0.033229259706091474
35,1,1,0,549.3,0,36,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016943827478781526,0.8307866304661515,0.16921336953384847,0.016943827478781526,0.9830561725212185,0.0,0.0,0.9830561725212185,-0.9830561725212185
36,0,1,0,480.3,1,37,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8307866304661515,0.8307866304661515,0.16921336953384847,0.4987329138091709,0.501267086190829,0.16921336953384847,-0.16921336953384847,0.0,0.0
37,1,1,1,807.3,1,38,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501267086190829,0.9137169420611787,0.08628305793882134,0.4987329138091709,0.501267086190829,0.0,0.0,-0.4987329138091709,0.49873291380917095
38,1,1,1,440.2,1,39,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7456926659120398,0.9137169420611787,0.08628305793882134,0.25430733408796025,0.7456926659120398,0.0,0.0,-0.25430733408796025,0.25430733408796025
39,1,1,0,483.1,0,40,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1296730542144865,0.9137169420611787,0.08628305793882134,0.1296730542144865,0.8703269457855135,0.0,0.0,0.8703269457855135,-0.8703269457855135
40,0,1,1,512.3,0,41,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.08628305793882134,0.9137169420611787,0.08628305793882134,0.556214319850729,0.443785680149271,-0.9137169420611787,0.9137169420611787,0.0,0.0
41,1,1,0,427.1,0,42,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.556214319850729,0.46591053690811934,0.5340894630918807,0.556214319850729,0.443785680149271,0.0,0.0,0.443785680149271,-0.443785680149271
