P_diff,congruency,Response,P,congruency.1,Response.1,p_DIFF,CONGRUENCY,rESPONSE,p,CONGRUENCY.1,rESPONSE.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_error,ccc,alpha_ccc,alpha_v,subject
-293.9952434071125,56.388885060891255,71.27102264516334,-293.99524340711264,56.388885060891226,71.27102264516334,5.734532385028713e-141,3.8823277477917156e-19,5.847305419982027e-29,5.734532385028713e-141,3.882327747791856e-19,5.847305419981944e-29,0.8004106556256616,-6432.35278789591,12876.70557579182,12905.85696600057,43281.00450561707,SR_Q_D_E_alphaCCC_V_WOB,0.9498414123703358,0.784787357234289,0.4489373675900631,-0.9562685241900776,0.05993548349526182,0.35668745491591,sub_1
-368.354259952382,26.390508166184684,53.2470633724733,-368.3542599523819,26.39050816618486,53.24706337247331,2.2046915260207495e-245,1.8519373171818958e-08,2.07450752157769e-28,2.204691526020248e-245,1.8519373171814527e-08,2.0745075215776298e-28,0.8888195508844393,-6028.194605738559,12068.389211477119,12097.438904335984,22991.51757814508,SR_Q_D_E_alphaCCC_V_WOB,0.35893984185806604,0.4757163339450797,0.4189305161591637,-0.3878850906226672,0.5220657345151994,0.4254034013378646,sub_2
-525.3164327845657,22.152371288313173,26.565557003271746,-525.3164327845658,22.15237128831315,26.565557003271998,4.04251476306482e-240,0.0004042600609110462,2.1215516981342687e-05,4.04251476306482e-240,0.000404260060911052,2.1215516981338526e-05,0.90877715616005,-5493.775017501808,10999.550035003616,11027.88581377275,32344.679021339423,SR_Q_D_E_alphaCCC_V_WOB,0.058889456109666664,0.7008570545862302,0.0001,-0.6575862491009894,1.0,0.030898169566902858,sub_3
-463.23155400428635,-21.51113260574582,1.8275649613938525,-463.2315540042865,-21.511132605745228,1.8275649613937297,0.0,4.787636155745008e-09,0.6153670402532121,0.0,4.787636155749131e-09,0.6153670402532362,0.9405870071997484,-5797.062503395268,11606.125006790537,11635.2321163555,12475.820515426987,SR_Q_D_E_alphaCCC_V_WOB,0.0001,1.0,0.15736761829610246,-0.33302055990902624,0.6421817406299098,0.0001,sub_4
-531.3101603127832,-12.44285558285388,28.263491922464453,-531.3101603127828,-12.442855582853888,28.263491922464198,2.2160555573004832e-284,0.03283689575517575,1.4107814325376003e-06,2.2160555573007355e-284,0.032836895755175594,1.4107814325379473e-06,0.90349024472175,-6269.747619102031,12551.49523820406,12580.62769099572,32064.360393545216,SR_Q_D_E_alphaCCC_V_WOB,0.00010000000060980931,0.9999989715508034,0.00010102844920237592,-0.8780586718679435,1.0,0.0001,sub_5
-888.6836207231092,-16.476227775568866,-30.084732455508753,-888.6836207231092,-16.47622777556903,-30.084732455508828,9.372688643154282e-172,0.20357398382331945,0.02755944718793515,9.37268864315375e-172,0.2035739838233151,0.027559447187934745,0.8921786043304035,-3746.5700294439894,7505.140058887977,7530.743262179225,87606.02156121304,SR_Q_D_E_alphaCCC_V_WOB,0.00010247991334528996,0.9987259634879524,0.00010290118169957972,-0.8212996328441848,0.0001,0.00010246201627543964,sub_6
-433.89387332364237,1.6740469817660781,17.374234193622716,-433.8938733236422,1.6740469817663906,17.374234193622748,0.0,0.6439047741094617,2.142503815249572e-06,0.0,0.6439047741093995,2.1425038152494616e-06,0.9421903098732901,-5850.423362401749,11712.846724803498,11742.004414225425,12585.179468808114,SR_Q_D_E_alphaCCC_V_WOB,0.00010045985891410958,1.0,1.0,-0.9603071151438008,1.0,0.0001,sub_7
-678.3151791068301,7.292235263439293,24.29427779196227,-678.3151791068303,7.292235263439313,24.29427779196291,3.95e-322,0.23589072517805684,8.315941816651871e-05,3.95e-322,0.2358907251780553,8.315941816648087e-05,0.9405614038473558,-5600.17337412861,11212.34674825722,11240.80403207197,32016.155219863365,SR_Q_D_E_alphaCCC_V_WOB,0.0001,1.0,0.0001,-0.5390144139123826,0.0001,0.0001,sub_8
-464.28808398636147,-14.162651321430907,-0.2521317647058785,-464.2880839863612,-14.162651321430696,-0.2521317647055925,0.0,6.35227268797897e-05,0.9429935978548728,0.0,6.352272687980464e-05,0.9429935978549372,0.9457794301432676,-5714.320067496229,11440.640134992458,11469.69623468589,11604.190585426984,SR_Q_D_E_alphaCCC_V_WOB,0.0001,1.0,0.0001,-0.22704444507118204,1.0,0.0001,sub_9
-541.1024054796459,-7.865295271478142,7.747156493647664,-541.1024054796452,-7.865295271477237,7.747156493648392,2.546449288320845e-300,0.1611316816088348,0.16750952815838874,2.5464492883214254e-300,0.16113168160888192,0.1675095281583483,0.907802629001884,-6227.23344899613,12466.46689799226,12495.593025005792,29724.32584300218,SR_Q_D_E_alphaCCC_V_WOB,0.00010003830690254477,1.0,0.00010021129360068664,-0.2109155036240016,0.0001,0.00010019413764939133,sub_10
