,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,0,497.3,0,1,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,0,1,1,448.1,0,2,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.6847868447643585,0.31521315523564153,-0.5,0.5,0.0,0.0
2,1,1,0,397.0,0,3,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.684768366079882,0.31521315523564153,0.6847868447643585,0.684768366079882,0.31523163392011794,0.0,0.0,0.315231633920118,-0.31523163392011794
3,0,1,1,450.0,0,4,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.684768366079882,0.31523163392011794,0.684768366079882,0.8012696840839059,0.1987303159160941,-0.31523163392011794,0.315231633920118,0.0,0.0
4,0,1,0,366.9,1,5,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1987303159160941,0.1987303159160941,0.8012696840839059,0.8012395571154974,0.1987604428845025,0.8012696840839059,-0.8012696840839059,0.0,0.0
5,1,1,0,379.9,0,6,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8012094331597859,0.4948585093704927,0.5051414906295073,0.8012094331597859,0.19879056684021407,0.0,0.0,0.19879056684021412,-0.19879056684021407
6,0,1,1,337.0,0,7,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5051409764804443,0.49485902351955563,0.5051409764804443,0.8746771963904288,0.12532280360957115,-0.49485902351955563,0.4948590235195557,0.0,0.0
7,0,1,1,398.1,0,8,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6880278515991446,0.31197214840085535,0.6880278515991446,0.8746397286707898,0.1253602713292102,-0.31197214840085535,0.3119721484008554,0.0,0.0
8,1,1,0,357.0,0,9,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8746022646979227,0.19667545048615082,0.8033245495138491,0.8746022646979227,0.1253977353020773,0.0,0.0,0.12539773530207732,-0.1253977353020773
9,1,1,0,337.9,0,10,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9209459683920569,0.1967057829411022,0.8032942170588977,0.9209459683920569,0.07905403160794315,0.0,0.0,0.07905403160794311,-0.07905403160794315
