,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,1,775.4,1,1,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-0.5,0.5
1,0,1,0,446.5,1,2,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.2631545629150691,0.7368454370849309,0.5,-0.5,0.0,0.0
2,1,1,1,515.6,1,3,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7256542646020717,0.7368454370849309,0.2631545629150691,0.2743457353979282,0.7256542646020717,0.0,0.0,-0.2743457353979282,0.2743457353979283
3,0,1,0,552.6,1,4,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7256542646020717,0.7256542646020717,0.2743457353979282,0.14439066417251,0.85560933582749,0.2743457353979283,-0.2743457353979282,0.0,0.0
4,1,1,1,431.4,1,5,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8388064560137939,0.85560933582749,0.14439066417251,0.16119354398620614,0.8388064560137939,0.0,0.0,-0.16119354398620614,0.1611935439862061
5,1,1,0,870.3,0,6,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08483763322484209,0.8388064560137939,0.16119354398620614,0.08483763322484209,0.9151623667751579,0.0,0.0,0.9151623667751579,-0.9151623667751579
6,0,1,0,443.5,1,7,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8227975282749963,0.8227975282749963,0.17720247172500375,0.7801973914277993,0.2198026085722007,0.1772024717250037,-0.17720247172500375,0.0,0.0
7,0,1,1,808.4,0,8,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09326327798852652,0.9067367220114735,0.09326327798852652,0.7669577978121906,0.23304220218780936,-0.9067367220114735,0.9067367220114735,0.0,0.0
8,1,1,0,437.6,0,9,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7543437876048117,0.21777894723603086,0.7822210527639691,0.7543437876048117,0.24565621239518837,0.0,0.0,0.2456562123951883,-0.24565621239518837
9,1,1,1,698.5,1,10,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12929110640045435,0.23111416077718555,0.7688858392228145,0.8707088935995457,0.12929110640045435,0.0,0.0,-0.8707088935995457,0.8707088935995456
10,0,1,0,433.3,1,11,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24381927277755644,0.24381927277755644,0.7561807272224436,0.20912582626686527,0.7908741737331347,0.7561807272224436,-0.7561807272224436,0.0,0.0
11,1,1,0,774.3,0,12,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22286990801537432,0.6020151824859575,0.39798481751404247,0.22286990801537432,0.7771300919846257,0.0,0.0,0.7771300919846257,-0.7771300919846257
12,0,1,0,653.3,1,13,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5971948679503589,0.5971948679503589,0.4028051320496411,0.5909893406312767,0.4090106593687233,0.4028051320496411,-0.4028051320496411,0.0,0.0
13,1,1,1,714.3,1,14,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4133099923752574,0.78799998307106,0.21200001692894,0.5866900076247427,0.4133099923752574,0.0,0.0,-0.5866900076247427,0.5866900076247425
14,1,1,1,689.3,1,15,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6912196949537446,0.7743917095688224,0.22560829043117758,0.3087803050462554,0.6912196949537446,0.0,0.0,-0.3087803050462554,0.3087803050462554
15,0,1,0,672.4,1,16,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7614264399506024,0.7614264399506024,0.23857356004939753,0.16251389242245812,0.8374861075775419,0.23857356004939756,-0.23857356004939753,0.0,0.0
16,0,1,1,1317.3,0,17,1,80,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12556344183578239,0.8744365581642176,0.12556344183578239,0.1784604324400928,0.8215395675599073,-0.8744365581642176,0.8744365581642176,0.0,0.0
17,1,1,1,572.3,1,18,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8063465167461967,0.21002113230756736,0.7899788676924326,0.19365348325380344,0.8063465167461967,0.0,0.0,-0.19365348325380344,0.19365348325380327
18,1,1,1,587.3,1,19,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8980784045147295,0.22372290999292974,0.7762770900070702,0.1019215954852706,0.8980784045147295,0.0,0.0,-0.1019215954852706,0.10192159548527047
19,1,1,1,488.3,1,20,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9463577341769344,0.2367772656325649,0.763222734367435,0.053642265823065735,0.9463577341769344,0.0,0.0,-0.053642265823065735,0.05364226582306564
20,1,1,1,505.2,1,21,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9717675859671144,0.24921479053476284,0.7507852094652371,0.028232414032885626,0.9717675859671144,0.0,0.0,-0.028232414032885626,0.028232414032885567
21,1,1,1,462.2,1,22,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9851410228502775,0.26106463053936046,0.7389353694606394,0.014858977149722561,0.9851410228502775,0.0,0.0,-0.014858977149722561,0.014858977149722508
22,0,1,0,549.3,1,23,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2723545543175029,0.2723545543175029,0.727645445682497,0.00782041527440048,0.9921795847255995,0.7276454456824971,-0.727645445682497,0.0,0.0
23,1,1,1,474.2,1,24,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968923630576772,0.6170335615685636,0.38296643843143635,0.031076369423228,0.968923630576772,0.0,0.0,-0.031076369423228,0.031076369423228
24,0,1,0,671.2,1,25,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6115036143172368,0.6115036143172368,0.3884963856827632,0.016355776825113567,0.9836442231748864,0.38849638568276323,-0.3884963856827632,0.0,0.0
25,0,1,1,924.2,0,26,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20446919313686332,0.7955308068631366,0.20446919313686332,0.039208427011267144,0.9607915729887329,-0.7955308068631366,0.7955308068631367,0.0,0.0
26,0,1,0,681.1,1,27,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41869512353108196,0.41869512353108196,0.581304876468918,0.06098126771039236,0.9390187322896076,0.581304876468918,-0.581304876468918,0.0,0.0
27,0,1,0,542.2,1,28,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6940539386248472,0.6940539386248472,0.30594606137515273,0.0817253209492029,0.9182746790507971,0.3059460613751528,-0.30594606137515273,0.0,0.0
28,0,1,1,723.1,0,29,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16102220411353046,0.8389777958864695,0.16102220411353046,0.10148919791505491,0.898510802084945,-0.8389777958864695,0.8389777958864695,0.0,0.0
29,0,1,0,352.1,1,30,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2015046889655463,0.2015046889655463,0.7984953110344537,0.12031921287040281,0.8796807871295972,0.7984953110344537,-0.7984953110344537,0.0,0.0
30,1,1,0,939.1,0,31,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13825949168468862,0.5797446308699923,0.42025536913000766,0.13825949168468862,0.8617405083153113,0.0,0.0,0.8617405083153113,-0.8617405083153113
31,0,1,0,676.0,1,32,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5759766211095678,0.5759766211095678,0.4240233788904321,0.7930281898418845,0.2069718101581155,0.4240233788904322,-0.4240233788904321,0.0,0.0
32,1,1,1,417.1,1,33,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22081767121932977,0.7768326261246352,0.2231673738753648,0.7791823287806702,0.22081767121932977,0.0,0.0,-0.7791823287806702,0.7791823287806703
33,1,1,1,710.0,1,34,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5899092296771542,0.7637520208743314,0.23624797912566864,0.41009077032284585,0.5899092296771542,0.0,0.0,-0.41009077032284585,0.4100907703228458
34,0,1,0,483.0,1,35,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75128948668057,0.75128948668057,0.24871051331943,0.21583451483962499,0.784165485160375,0.24871051331942995,-0.24871051331943,0.0,0.0
35,0,1,0,666.0,1,36,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8691013871500859,0.8691013871500859,0.13089861284991416,0.22926160466346115,0.7707383953365389,0.1308986128499141,-0.13089861284991416,0.0,0.0
36,1,1,1,464.8,1,37,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7579457482953497,0.931106865498584,0.06889313450141601,0.2420542517046504,0.7579457482953497,0.0,0.0,-0.2420542517046504,0.24205425170465034
37,0,1,0,439.8,1,38,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910736655501212,0.910736655501212,0.08926334449878805,0.1273953616181428,0.8726046383818572,0.08926334449878803,-0.08926334449878805,0.0,0.0
38,0,1,0,485.0,1,39,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9530198871881684,0.9530198871881684,0.04698011281183161,0.14500128566450488,0.8549987143354951,0.046980112811831565,-0.04698011281183161,0.0,0.0
39,1,1,1,543.8,1,40,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8382246869688749,0.9752739378946037,0.024726062105396372,0.16177531303112513,0.8382246869688749,0.0,0.0,-0.16177531303112513,0.16177531303112513
40,1,0,1,484.8,0,41,0,20,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9148561764176916,0.9528167916601213,0.047183208339878754,0.08514382358230844,0.9148561764176916,0.0,0.0,0.9148561764176916,-0.9148561764176916
41,0,1,1,996.0,0,42,1,20,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06857923302574223,0.9314207669742579,0.06857923302574223,0.7802709318636106,0.21972906813638937,-0.9314207669742579,0.9314207669742578,0.0,0.0
42,0,1,0,800.7,1,43,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.22370753179097957,0.22370753179097957,0.7762924682090204,0.7670278633923672,0.23297213660763283,0.7762924682090204,-0.7762924682090204,0.0,0.0
43,1,1,0,877.8,0,44,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7544105425195917,0.5914301896683901,0.4085698103316099,0.7544105425195917,0.2455894574804083,0.0,0.0,0.24558945748040828,-0.2455894574804083
44,0,1,0,620.8,1,45,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.587110026124971,0.587110026124971,0.41288997387502896,0.8707440273203884,0.12925597267961159,0.412889973875029,-0.41288997387502896,0.0,0.0
45,1,1,1,801.8,1,46,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.14677398108120257,0.7826922387858049,0.2173077612141951,0.8532260189187973,0.14677398108120257,0.0,0.0,-0.8532260189187973,0.8532260189187975
46,0,1,1,698.8,0,47,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.230665238743657,0.7693347612563429,0.230665238743657,0.2049268102237225,0.7950731897762774,-0.7693347612563429,0.769334761256343,0.0,0.0
47,1,1,0,711.7,0,48,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2188692994795725,0.40490790566756396,0.595092094332436,0.2188692994795725,0.7811307005204274,0.0,0.0,0.7811307005204275,-0.7811307005204274
48,0,1,1,774.8,0,49,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5905989023059036,0.4094010976940964,0.5905989023059036,0.5888837838500103,0.41111621614998967,-0.4094010976940964,0.4094010976940964,0.0,0.0
49,1,1,0,765.6,0,50,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5846839404068033,0.21547153384127887,0.7845284661587211,0.5846839404068033,0.4153160595931966,0.0,0.0,0.41531605959319673,-0.4153160595931966
