,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,0,939.5,0,1,0,80,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,0,1,0,682.6,1,2,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.7689355636610136,0.2310644363389865,0.5,-0.5,0.0,0.0
2,0,1,0,391.8,1,3,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7689355636610136,0.7689355636610136,0.2310644363389865,0.6903327652969208,0.30966723470307933,0.23106443633898643,-0.2310644363389865,0.0,0.0
3,0,1,0,404.8,1,4,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8932184525186929,0.8932184525186929,0.10678154748130708,0.6347034994272285,0.3652965005727715,0.10678154748130708,-0.10678154748130708,0.0,0.0
4,1,1,1,369.6,1,5,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40466679381432336,0.9506531638396541,0.04934683616034589,0.5953332061856766,0.40466679381432336,0.0,0.0,-0.5953332061856766,0.5953332061856766
5,1,1,1,392.5,1,6,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72487933655765,0.8189390859868712,0.18106091401312888,0.27512066344235,0.72487933655765,0.0,0.0,-0.27512066344235,0.27512066344235
6,1,1,1,325.8,1,7,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8728587979529708,0.7257215720032852,0.2742784279967148,0.1271412020470292,0.8728587979529708,0.0,0.0,-0.1271412020470292,0.12714120204702917
7,0,1,0,491.0,1,8,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6597490878547623,0.6597490878547623,0.3402509121452377,0.058755620372916,0.941244379627084,0.3402509121452377,-0.3402509121452377,0.0,0.0
8,0,1,0,391.6,1,9,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8427602295426693,0.8427602295426693,0.15723977045733073,0.187719757837584,0.812280242162416,0.15723977045733073,-0.15723977045733073,0.0,0.0
9,0,1,1,476.4,0,10,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726650378615895,0.9273349621384105,0.0726650378615895,0.2789910667475584,0.7210089332524415,-0.9273349621384105,0.9273349621384105,0.0,0.0
