,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,0,497.3,0,1,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,0,1,1,448.1,0,2,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.6787287487386958,0.3212712512613042,-0.5,0.5,0.0,0.0
2,1,1,0,397.0,0,3,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.678710875863822,0.3212712512613042,0.6787287487386958,0.678710875863822,0.32128912413617805,0.0,0.0,0.32128912413617805,-0.32128912413617805
3,0,1,1,450.0,0,4,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.678710875863822,0.32128912413617805,0.678710875863822,0.7935580821442432,0.2064419178557568,-0.32128912413617805,0.32128912413617805,0.0,0.0
4,0,1,0,366.9,1,5,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2064419178557568,0.2064419178557568,0.7935580821442432,0.7935287263360288,0.20647127366397122,0.7935580821442432,-0.7935580821442432,0.0,0.0
5,1,1,0,379.9,0,6,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7934993734633952,0.4901052040019964,0.5098947959980036,0.7934993734633952,0.20650062653660484,0.0,0.0,0.20650062653660484,-0.20650062653660484
6,0,1,1,337.0,0,7,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5098938065184038,0.49010619348159623,0.5098938065184038,0.8673145706526834,0.1326854293473166,-0.49010619348159623,0.49010619348159623,0.0,0.0
7,0,1,1,398.1,0,8,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6850859399385055,0.31491406006149447,0.6850859399385055,0.8672778391956181,0.13272216080438187,-0.31491406006149447,0.31491406006149447,0.0,0.0
8,1,1,0,357.0,0,9,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8672411114116985,0.20234566823146763,0.7976543317685324,0.8672411114116985,0.13275888858830143,0.0,0.0,0.13275888858830154,-0.13275888858830143
9,1,1,0,337.9,0,10,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9146967714943526,0.20237543366464447,0.7976245663353555,0.9146967714943526,0.08530322850564734,0.0,0.0,0.08530322850564742,-0.08530322850564734
