,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,0,1,1,671.9,0,1,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,1,1,0,404.9,0,2,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.007783230723374057,0.9922167692766259,0.5,0.5,0.0,0.0,0.5,-0.5
2,0,1,1,619.9,0,3,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9921675475996983,0.007832452400301719,0.9921675475996983,0.9922167692766259,0.007783230723374057,-0.007832452400301719,0.007832452400301726,0.0,0.0
3,1,1,0,444.9,0,4,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9921675475996983,0.00012192356832278674,0.9998780764316773,0.9921675475996983,0.007832452400301719,0.0,0.0,0.007832452400301726,-0.007832452400301719
4,1,1,0,394.0,0,5,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9998780764316773,0.00017191137596595446,0.999828088624034,0.9998780764316773,0.00012192356832278674,0.0,0.0,0.00012192356832274598,-0.00012192356832278674
5,0,1,1,548.8,0,6,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9997781058151717,0.00022189418482835785,0.9997781058151717,0.9999981020814742,1.8979185257466183e-06,-0.00022189418482835785,0.00022189418482831957,0.0,0.0
6,1,1,0,433.8,0,7,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9999481022712661,3.454107273388236e-06,0.9999965458927266,0.9999481022712661,5.189772873389405e-05,0.0,0.0,5.1897728733929505e-05,-5.189772873389405e-05
7,1,1,0,390.8,0,8,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9999991921360065,5.34537618626609e-05,0.9999465462381373,0.9999991921360065,8.078639935099567e-07,0.0,0.0,8.078639934794296e-07,-8.078639935099567e-07
8,1,1,0,603.9,0,9,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999874244163,0.00010344841648647464,0.9998965515835134,0.9999999874244163,1.2575583709188753e-08,0.0,0.0,1.2575583685503489e-08,-1.2575583709188753e-08
9,1,1,1,476.7,1,10,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.9575733897943975e-10,0.000153438071644826,0.9998465619283551,0.9999999998042427,1.9575733897943975e-10,0.0,0.0,-0.9999999998042427,0.9999999998042427
10,1,1,0,353.7,0,11,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8057302925807031,0.0002034227278376615,0.9997965772721622,0.8057302925807031,0.19426970741929697,0.0,0.0,0.19426970741929694,-0.19426970741929697
11,0,1,1,502.7,0,12,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.999746597614435,0.0002534023855648777,0.999746597614435,0.9969759080891865,0.0030240919108135145,-0.0002534023855648777,0.000253402385565038,0.0,0.0
12,0,1,0,437.7,1,13,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.944578465409662e-06,3.944578465409662e-06,0.9999960554215346,0.9969262104983775,0.003073789501622433,0.9999960554215346,-0.9999960554215346,0.0,0.0
13,0,1,1,622.7,0,14,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.805727114472069,0.19427288552793104,0.805727114472069,0.9968765178773277,0.003123482122672271,-0.19427288552793104,0.19427288552793098,0.0,0.0
14,0,1,1,501.7,0,15,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.996975858617281,0.003024141382719059,0.996975858617281,0.99682683022554,0.003173169774460004,-0.003024141382719059,0.0030241413827190033,0.0,0.0
15,0,1,0,442.6,1,16,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.707518024361186e-05,4.707518024361186e-05,0.9999529248197564,0.9967771475425174,0.003222852457482558,0.9999529248197564,-0.9999529248197564,0.0,0.0
16,1,1,0,485.5,0,17,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9967274698277632,0.19430763716032776,0.8056923628396723,0.9967274698277632,0.0032725301722368095,0.0,0.0,0.0032725301722368316,-0.0032725301722368095
17,0,1,1,618.6,0,18,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8056617936033883,0.19433820639661173,0.8056617936033883,0.9999490582852406,5.0941714759444433e-05,-0.19433820639661173,0.1943382063966117,0.0,0.0
18,0,1,1,467.5,0,19,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.996974841802497,0.0030251581975030417,0.996974841802497,0.999899063379412,0.00010093662058796849,-0.0030251581975030417,0.0030251581975030417,0.0,0.0
19,0,1,0,442.7,1,20,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.709100845174492e-05,4.709100845174492e-05,0.9999529089915482,0.9998490734730741,0.0001509265269259097,0.9999529089915482,-0.9999529089915482,0.0,0.0
20,1,1,0,493.4,0,21,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9997990885657267,0.19430764991359453,0.8056923500864054,0.9997990885657267,0.00020091143427321712,0.0,0.0,0.0002009114342732543,-0.00020091143427321712
