,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,0,1,1,523.6,0,2,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,0,1,1,552.5,0,3,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5687994117645597,0.4312005882354403,0.5687994117645597,0.5,0.5,-0.4312005882354403,0.4312005882354403,0.0,0.0
2,0,1,0,519.4,1,4,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37186789458917946,0.37186789458917946,0.6281321054108205,0.5,0.5,0.6281321054108205,-0.6281321054108205,0.0,0.0
3,1,1,0,500.4,0,5,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4582981333145772,0.5417018666854228,0.5,0.5,0.0,0.0,0.5,-0.5
4,1,1,1,523.4,1,6,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4312005882354403,0.4973150165561187,0.5026849834438814,0.5687994117645597,0.4312005882354403,0.0,0.0,-0.5687994117645597,0.5687994117645597
5,0,1,1,552.3,0,7,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5001728732228775,0.4998271267771225,0.5001728732228775,0.49053328188170114,0.5094667181182988,-0.4998271267771225,0.4998271267771225,0.0,0.0
6,1,1,0,525.3,0,8,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49939048336595426,0.4310515021646504,0.5689484978353496,0.49939048336595426,0.5006095166340457,0.0,0.0,0.5006095166340457,-0.5006095166340457
7,1,1,0,607.3,0,10,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5682737639022801,0.4955607364877719,0.5044392635122281,0.5682737639022801,0.4317262360977199,0.0,0.0,0.4317262360977199,-0.4317262360977199
8,1,1,0,612.5,0,11,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6276787860759813,0.4997141770865253,0.5002858229134747,0.6276787860759813,0.3723212139240188,0.0,0.0,0.37232121392401873,-0.3723212139240188
9,1,1,0,489.2,0,12,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6789097470868598,0.4999815972316935,0.5000184027683066,0.6789097470868598,0.3210902529131402,0.0,0.0,0.3210902529131402,-0.3210902529131402
10,1,1,0,560.2,0,13,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7230913881343753,0.49999881513389804,0.500001184866102,0.7230913881343753,0.2769086118656247,0.0,0.0,0.27690861186562465,-0.2769086118656247
11,0,1,1,461.2,0,14,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5000000762878528,0.4999999237121472,0.5000000762878528,0.7611936873521669,0.2388063126478332,-0.4999999237121472,0.4999999237121472,0.0,0.0
12,1,1,0,554.2,0,15,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5168170104105202,0.4312005224447063,0.5687994775552937,0.5168170104105202,0.4831829895894798,0.0,0.0,0.4831829895894798,-0.4831829895894798
13,0,1,1,561.1,0,16,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5044296688102027,0.4955703311897973,0.5044296688102027,0.5833024213273154,0.41669757867268464,-0.4955703311897973,0.4955703311897973,0.0,0.0
14,1,1,0,536.2,0,17,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5053634438905645,0.42738043664214515,0.5726195633578549,0.5053634438905645,0.49463655610943547,0.0,0.0,0.49463655610943547,-0.49463655610943547
15,1,1,1,509.1,1,18,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42657514791428186,0.49532437416318614,0.5046756258368139,0.5734248520857181,0.42657514791428186,0.0,0.0,-0.5734248520857181,0.5734248520857181
16,0,1,0,502.1,1,19,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4996989588486211,0.4996989588486211,0.5003010411513789,0.494522267056364,0.505477732943636,0.5003010411513789,-0.5003010411513789,0.0,0.0
17,1,1,0,499.0,0,20,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49964731501410686,0.5685397935214443,0.43146020647855554,0.49964731501410686,0.5003526849858931,0.0,0.0,0.5003526849858931,-0.5003526849858931
18,0,1,1,498.0,0,21,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49558705100085004,0.50441294899915,0.49558705100085004,0.5684952558178018,0.43150474418219814,-0.50441294899915,0.50441294899915,0.0,0.0
19,1,1,0,743.0,0,22,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5044100814297481,0.43500632064401323,0.5649936793559868,0.5044100814297481,0.4955899185702519,0.0,0.0,0.4955899185702519,-0.4955899185702519
20,0,1,0,597.9,1,23,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4958153683060726,0.4958153683060726,0.5041846316939274,0.5726026711779069,0.42739732882209314,0.5041846316939274,-0.5041846316939274,0.0,0.0
21,0,1,1,619.0,0,24,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4348094195313806,0.5651905804686194,0.4348094195313806,0.5046745382302605,0.4953254617697394,-0.5651905804686194,0.5651905804686195,0.0,0.0
22,1,1,0,488.0,0,25,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5003009711256026,0.4874210215263972,0.5125789784736027,0.5003009711256026,0.49969902887439743,0.0,0.0,0.49969902887439743,-0.49969902887439743
23,0,1,1,512.9,0,26,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5008099001705928,0.4991900998294072,0.5008099001705928,0.5690589696173631,0.43094103038263687,-0.4991900998294072,0.4991900998294072,0.0,0.0
24,1,1,1,470.0,1,27,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49555362373888795,0.4305021293754971,0.5694978706245029,0.504446376261112,0.49555362373888795,0.0,0.0,-0.504446376261112,0.504446376261112
25,1,1,0,530.9,0,28,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43503514835405543,0.4955253650053746,0.5044746349946254,0.43503514835405543,0.5649648516459445,0.0,0.0,0.5649648516459446,-0.5649648516459445
