,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,0,1,1,856.0,0,1,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,1,1,0,437.1,0,2,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.21381333959129262,0.7861866604087073,0.5,0.5,0.0,0.0,0.5,-0.5
2,1,1,0,460.0,0,3,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7861866604087073,0.21381333959129262,0.7861866604087073,0.7861866604087073,0.21381333959129262,0.0,0.0,0.21381333959129267,-0.21381333959129262
3,1,1,1,425.0,1,4,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09143228837436283,0.21381333959129262,0.7861866604087073,0.9085677116256371,0.09143228837436283,0.0,0.0,-0.9085677116256371,0.9085677116256372
4,1,1,0,435.8,0,5,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3885277933349919,0.21381333959129262,0.7861866604087073,0.3885277933349919,0.611472206665008,0.0,0.0,0.6114722066650081,-0.611472206665008
5,1,1,0,368.9,0,6,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738518170851395,0.21381333959129262,0.7861866604087073,0.738518170851395,0.26148182914860485,0.0,0.0,0.26148182914860496,-0.26148182914860485
6,1,1,0,363.9,0,7,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888183393734594,0.21381333959129262,0.7861866604087073,0.888183393734594,0.11181660626540602,0.0,0.0,0.11181660626540602,-0.11181660626540602
7,1,1,0,387.0,0,8,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9521842359852578,0.21381333959129262,0.7861866604087073,0.9521842359852578,0.04781576401474223,0.0,0.0,0.04781576401474219,-0.04781576401474223
8,0,1,1,450.0,0,9,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7861866604087073,0.21381333959129262,0.7861866604087073,0.9795527036217977,0.02044729637820238,-0.21381333959129262,0.21381333959129267,0.0,0.0
9,0,1,1,470.9,0,10,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9085677116256371,0.09143228837436283,0.9085677116256371,0.9795527036217977,0.02044729637820238,-0.09143228837436283,0.0914322883743629,0.0,0.0
10,0,1,1,403.9,0,11,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9609011141524066,0.03909888584759327,0.9609011141524066,0.9795527036217977,0.02044729637820238,-0.03909888584759327,0.039098885847593357,0.0,0.0
11,0,1,1,384.9,0,12,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9832802732852547,0.01671972671474529,0.9832802732852547,0.9795527036217977,0.02044729637820238,-0.01671972671474529,0.01671972671474531,0.0,0.0
12,1,1,1,415.8,1,13,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02044729637820238,0.007149801211866884,0.9928501987881331,0.9795527036217977,0.02044729637820238,0.0,0.0,-0.9795527036217977,0.9795527036217976
13,1,1,0,514.9,0,14,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4188828697341125,0.007149801211866884,0.9928501987881331,0.4188828697341125,0.5811171302658875,0.0,0.0,0.5811171302658875,-0.5811171302658875
14,0,1,1,417.8,0,15,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9928501987881331,0.007149801211866884,0.9928501987881331,0.7514988113682848,0.24850118863171528,-0.007149801211866884,0.007149801211866924,0.0,0.0
15,0,1,1,480.7,0,16,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9969425542509537,0.003057445749046259,0.9969425542509537,0.7514988113682848,0.24850118863171528,-0.003057445749046259,0.003057445749046317,0.0,0.0
16,1,1,0,441.7,0,17,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7514988113682848,0.0013074453724455635,0.9986925546275545,0.7514988113682848,0.24850118863171528,0.0,0.0,0.24850118863171522,-0.24850118863171528
17,1,1,0,506.6,0,18,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8937342619324944,0.0013074453724455635,0.9986925546275545,0.8937342619324944,0.10626573806750561,0.0,0.0,0.10626573806750561,-0.10626573806750561
18,0,1,1,463.7,0,19,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9986925546275545,0.0013074453724455635,0.9986925546275545,0.9545579353193061,0.04544206468069386,-0.0013074453724455635,0.001307445372445537,0.0,0.0
19,0,1,1,436.6,0,20,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9994409014771685,0.0005590985228315346,0.9994409014771685,0.9545579353193061,0.04544206468069386,-0.0005590985228315346,0.0005590985228315359,0.0,0.0
20,1,1,1,389.6,1,21,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04544206468069386,0.00023908544465433797,0.9997609145553457,0.9545579353193061,0.04544206468069386,0.0,0.0,-0.9545579353193061,0.9545579353193061
21,0,1,1,378.6,0,22,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997609145553457,0.00023908544465433797,0.9997609145553457,0.4081944399679799,0.5918055600320201,-0.00023908544465433797,0.00023908544465434112,0.0,0.0
22,0,1,1,383.7,0,23,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998977606852616,0.00010223931473842633,0.9998977606852616,0.4081944399679799,0.5918055600320201,-0.00010223931473842633,0.00010223931473840597,0.0,0.0
23,1,1,0,502.6,0,24,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4081944399679799,4.372025864349639e-05,0.9999562797413565,0.4081944399679799,0.5918055600320201,0.0,0.0,0.5918055600320201,-0.5918055600320201
24,1,1,0,499.4,0,25,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7469281536417172,4.372025864349639e-05,0.9999562797413565,0.7469281536417172,0.25307184635828284,0.0,0.0,0.25307184635828284,-0.25307184635828284
25,0,1,1,472.4,0,26,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999562797413565,4.372025864349639e-05,0.9999562797413565,0.8917797267472021,0.10822027325279793,-4.372025864349639e-05,4.372025864352036e-05,0.0,0.0
26,1,1,0,511.6,0,27,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8917797267472021,1.869594901672208e-05,0.9999813040509833,0.8917797267472021,0.10822027325279793,0.0,0.0,0.10822027325279793,-0.10822027325279793
27,1,1,0,416.4,0,28,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9537221239286741,1.869594901672208e-05,0.9999813040509833,0.9537221239286741,0.04627787607132593,0.0,0.0,0.04627787607132594,-0.04627787607132593
28,0,1,1,549.6,0,29,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999813040509833,1.869594901672208e-05,0.9999813040509833,0.9802103455359956,0.019789654464004332,-1.869594901672208e-05,1.8695949016711566e-05,0.0,0.0
