,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,0,910.0,0,1,0,20,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,0,1,1,651.0,0,2,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.6727448360169053,0.3272551639830948,-0.5,0.5,0.0,0.0
2,1,1,0,608.0,0,3,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6727448360169053,0.3272551639830948,0.6727448360169053,0.6727448360169053,0.3272551639830948,0.0,0.0,0.32725516398309473,-0.3272551639830948
3,0,1,0,655.0,1,4,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3272551639830948,0.3272551639830948,0.6727448360169053,0.7858081152927955,0.21419188470720452,0.6727448360169053,-0.6727448360169053,0.0,0.0
4,0,1,1,639.9,0,5,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.44031844325898506,0.5596815567410149,0.44031844325898506,0.7858081152927955,0.21419188470720452,-0.5596815567410149,0.5596815567410149,0.0,0.0
5,1,1,0,558.9,0,6,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7858081152927955,0.36631735925918923,0.6336826407408107,0.7858081152927955,0.21419188470720452,0.0,0.0,0.21419188470720452,-0.21419188470720452
6,1,1,0,627.9,0,7,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8598091992925914,0.36631735925918923,0.6336826407408107,0.8598091992925914,0.1401908007074087,0.0,0.0,0.14019080070740864,-0.1401908007074087
7,1,1,0,473.0,0,8,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9082436730511513,0.36631735925918923,0.6336826407408107,0.9082436730511513,0.09175632694884878,0.0,0.0,0.09175632694884872,-0.09175632694884878
8,1,1,1,959.8,1,9,1,20,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06005546364426393,0.36631735925918923,0.6336826407408107,0.9399445363557362,0.06005546364426393,0.0,0.0,-0.9399445363557362,0.939944536355736
9,1,1,0,624.8,0,10,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6152034067602209,0.36631735925918923,0.6336826407408107,0.6152034067602209,0.3847965932397792,0.0,0.0,0.3847965932397791,-0.3847965932397792
