P_diff,congruency,hand,postError,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,congruency.1,hand.1,postError.1,nblock_1.1,nblock_2.1,nblock_3.1,nblock_4.1,nblock_5.1,nblock_6.1,nblock_7.1,nblock_8.1,nblock_9.1,nblock_10.1,nblock_11.1,nblock_12.1,nblock_13.1,nblock_14.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,NBLOCK_1,NBLOCK_2,NBLOCK_3,NBLOCK_4,NBLOCK_5,NBLOCK_6,NBLOCK_7,NBLOCK_8,NBLOCK_9,NBLOCK_10,NBLOCK_11,NBLOCK_12,NBLOCK_13,NBLOCK_14,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,NBLOCK_1.1,NBLOCK_2.1,NBLOCK_3.1,NBLOCK_4.1,NBLOCK_5.1,NBLOCK_6.1,NBLOCK_7.1,NBLOCK_8.1,NBLOCK_9.1,NBLOCK_10.1,NBLOCK_11.1,NBLOCK_12.1,NBLOCK_13.1,NBLOCK_14.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,ccc,alpha_ccc,alpha_v,subject
-65.73805612280485,-17.42137102768875,-6.349290068585756,26.738185579289624,203.98741766622877,225.57623170543346,234.81687945018882,216.3766142969536,221.89815613324157,206.56688724349556,215.70244793107412,214.51399211115364,202.6744554700182,199.21100282399075,202.60116047801196,199.72640877206908,202.368703492416,204.688542179422,-65.73805612280442,-17.421371027688867,-6.349290068585403,26.73818557929021,203.98741766622825,225.57623170543357,234.81687945018888,216.3766142969534,221.89815613324168,206.5668872434952,215.70244793107426,214.5139921111536,202.67445547001782,199.21100282399058,202.6011604780116,199.72640877206922,202.36870349241627,204.6885421794215,1.5732031986907203e-33,3.2764371500663075e-09,0.006092428558280943,0.03398901081721943,2.993732929114371e-149,1.555537862637884e-180,7.10770343361478e-181,3.3703108291264725e-241,3.459081582467519e-168,4.518159874541081e-161,5.3140388504250165e-216,4.709441398092917e-166,1.8519143473679996e-146,5.475051937700153e-159,1.2353315731937622e-218,1.2610204169239672e-252,2.506517325388296e-218,2.5978529500418786e-256,1.5732031986922054e-33,3.276437150065613e-09,0.0060924285582837565,0.03398901081721563,2.993732929116754e-149,1.5555378626374413e-180,7.107703433618417e-181,3.3703108291268555e-241,3.459081582467519e-168,4.51815987454211e-161,5.314038850424412e-216,4.709441398094526e-166,1.8519143473685264e-146,5.475051937701086e-159,1.2353315731941841e-218,1.2610204169239672e-252,2.5065173253877263e-218,2.5978529500436517e-256,0.2298168602787177,-5285.33599327594,10580.67198655188,10604.864012556118,4875.0676690168075,SR_Q_D_alphaCCC_V_WOB,0.2935579557067053,0.2747834343476593,-0.3380105183221548,0.5119081273135169,0.5669568446249924,sub_1
-129.3322793174189,-9.331344562187967,8.812050371866631,22.329340399048057,221.52042278889118,186.35293489336232,172.85990928092951,157.40679917859063,168.4977547607064,156.1834972094639,167.22773222547883,146.47796597658132,154.38267410612406,142.97373253388378,159.70576700192527,153.7584573358073,159.93231650263027,149.1073314083221,-129.33227931741942,-9.331344562187672,8.812050371866091,22.329340399048323,221.5204227888908,186.3529348933614,172.85990928092951,157.40679917859043,168.49775476070658,156.1834972094637,167.2277322254789,146.47796597658115,154.38267410612391,142.97373253388383,159.7057670019251,153.75845733580738,159.93231650262996,149.1073314083226,7.509795198082693e-67,0.0015300901810391208,0.00017009520975955311,0.003839924384086296,2.88272334013946e-148,8.376142217015369e-113,4.098390177716184e-109,4.825377947267129e-120,2.420190672726207e-111,3.0733713428635227e-89,4.01902559644549e-148,4.12538233936903e-80,1.2292968412882754e-94,1.3217898822064817e-77,6.575256609951766e-165,1.1745042601076408e-132,3.862751120779055e-164,2.142754767899108e-132,7.509795198070698e-67,0.001530090181039614,0.0001700952097597141,0.003839924384085832,2.8827233401412638e-148,8.376142217017753e-113,4.098390177716184e-109,4.825377947268227e-120,2.4201906727266882e-111,3.073371342864223e-89,4.019025596445717e-148,4.125382339369736e-80,1.2292968412883808e-94,1.3217898822064061e-77,6.575256609951019e-165,1.1745042601076408e-132,3.862751120779055e-164,2.142754767898254e-132,0.3955805094021654,-5232.15748430368,10474.31496860736,10498.453114779872,4911.864694530471,SR_Q_D_alphaCCC_V_WOB,0.3930509346299028,0.7275575977713523,-0.321180244394623,0.5519997876460117,0.32054694882799817,sub_2
-65.36399267239611,13.9842129301141,25.563138290685586,-5.8145258076103445,241.20026708683213,202.27347097134881,203.8717615436934,209.49442605675412,213.8918462264798,277.3519120448801,244.72091413668392,266.24639339962084,243.7492814035131,260.68665377165325,238.81334059821447,219.106789227297,257.6348264705536,,-65.36399267239557,13.984212930114094,25.563138290685156,-5.814525807609527,241.2002670868317,202.27347097134842,203.8717615436936,209.49442605675372,213.89184622648014,277.35191204487984,244.72091413668397,266.2463933996206,243.7492814035128,260.68665377165365,238.81334059821472,219.1067892272961,257.6348264705535,,3.757595780506607e-07,0.02688136679393452,3.8814441927152316e-07,0.6268436305025404,1.830713613496125e-88,2.428710952926899e-81,8.590434764011591e-66,7.734800045484854e-91,3.6829786845578727e-41,8.013930402568513e-56,7.557991987536225e-71,4.5187335100751744e-45,2.4711017746534877e-39,5.455880215509451e-101,5.1854237333077676e-54,4.351723638532431e-55,5.774940093042939e-62,,3.757595780507587e-07,0.026881366793934804,3.8814441927170384e-07,0.6268436305025888,1.830713613496125e-88,2.4287109529278677e-81,8.590434764010612e-66,7.734800045488374e-91,3.6829786845578727e-41,8.013930402569201e-56,7.5579919875345e-71,4.518733510075045e-45,2.471101774653664e-39,5.4558802155072764e-101,5.185423733307176e-54,4.35172363853448e-55,5.774940093042939e-62,,0.14842244893734513,-5187.325987509115,10384.65197501823,10408.167915584434,19766.764757952144,SR_Q_D_alphaCCC_V_WOB,0.2933137032712341,0.541501886213541,-0.19880183096364235,0.03861495613469017,0.544768041162866,sub_3
-22.843074357612014,-21.968952322540908,0.17253819357129307,13.105352415110795,216.43730702643168,229.7521203010893,218.08277936345885,220.4611291339983,221.34721140352292,217.9752167301559,221.25221749651425,215.5415774026341,211.34219116300827,226.98765754515682,205.7312665276809,208.84076529057185,209.9360549406244,,-22.843074357612075,-21.968952322540698,0.1725381935714605,13.10535241511032,216.43730702643157,229.75212030108952,218.0827793634585,220.46112913399804,221.34721140352264,217.9752167301559,221.25221749651385,215.541577402634,211.3421911630083,226.9876575451569,205.7312665276809,208.84076529057185,209.9360549406243,,1.2623946772714443e-12,7.969763325821864e-14,0.9394192861669614,0.23818891978487505,1.4e-322,3.0728716861773912e-289,0.0,2.6612402020168945e-293,3.990013449932023e-194,6.147354797550146e-168,1.3609279291054989e-272,1.94977229965419e-166,5.852013604097911e-177,1.7169291965864978e-249,1.129788309578779e-177,4.2177816623957404e-160,1.6352845657673122e-179,,1.262394677271239e-12,7.969763325826041e-14,0.9394192861669026,0.23818891978489176,1.4e-322,3.072871686177041e-289,0.0,2.6612402020178024e-293,3.99001344993452e-194,6.147354797550146e-168,1.3609279291058082e-272,1.94977229965308e-166,5.852013604099908e-177,1.7169291965861065e-249,1.129788309578715e-177,4.2177816623957404e-160,1.6352845657677773e-179,,0.13704987634841415,-5201.88627520295,10413.7725504059,10437.905276523685,4656.6011828654355,SR_Q_D_alphaCCC_V_WOB,0.7777118317698002,0.06315225988415768,-0.2951717851192306,0.33184692788830394,0.997410582115722,sub_4
-24.975941455259356,4.385715575832196,23.746096268907923,33.8745913632436,245.7450121136176,267.91965680795767,248.08355642309633,245.73392409922883,251.47640571164462,278.5468305130905,256.54592485817284,270.64851682192847,218.77409894833352,253.415499819821,228.36200947831531,244.16887805942628,216.70499572526398,224.0351233934399,-24.975941455259274,4.385715575832228,23.746096268907962,33.87459136324341,245.74501211361698,267.91965680795784,248.0835564230965,245.73392409922863,251.4764057116445,278.5468305130905,256.545924858173,270.64851682192875,218.77409894833332,253.41549981982135,228.36200947831546,244.16887805942622,216.7049957252636,224.03512339343945,0.005016129651300558,0.4994967812234759,1.1257827614468555e-06,0.3086139476567659,1.3884420352150048e-59,9.244428891176225e-82,8.906792712897117e-62,1.480965781888797e-106,7.56554777436012e-64,5.5800962008502e-87,1.5756291078943363e-87,1.1249287178879704e-84,2.2027473990810563e-48,9.602408259611794e-75,2.677635839248367e-94,1.1596180518700362e-109,2.2248327520365954e-85,4.2897758922197035e-97,0.005016129651300725,0.4994967812234726,1.1257827614468077e-06,0.3086139476567677,1.3884420352152031e-59,9.244428891177806e-82,8.906792712895338e-62,1.480965781888797e-106,7.565547774362494e-64,5.580096200849723e-87,1.5756291078943363e-87,1.1249287178879063e-84,2.2027473990810563e-48,9.602408259609059e-75,2.6776358392482136e-94,1.1596180518700362e-109,2.2248327520369754e-85,4.2897758922203164e-97,0.08664244128001264,-5950.774680858739,11911.549361717478,11935.725284648215,21151.959725372388,SR_Q_D_alphaCCC_V_WOB,0.0001,0.0001,-0.7097784562198628,0.8318748566461508,0.4764878996246499,sub_5
-204.4164045413863,-33.653718781308456,-69.13540262833779,-34.82120146553094,264.35827795096947,416.0549835150597,609.7697067429965,492.607498044686,445.8964648080466,492.24781536106974,420.46475738921714,383.72408406144086,346.25953379271317,315.04502516075513,400.91352206951416,390.49463674372004,312.786108392482,322.82123652407915,-204.41640454138576,-33.65371878130897,-69.13540262833871,-34.821201465531175,264.3582779509684,416.05498351506105,609.7697067429951,492.6074980446858,445.89646480804674,492.2478153610701,420.4647573892173,383.72408406144143,346.259533792713,315.045025160754,400.9135220695137,390.49463674371833,312.78610839248324,322.8212365240773,0.009989455024034576,0.01959257518836222,0.011901899627449062,0.6490506214613201,2.427316818631985e-14,1.165207913664059e-20,4.973187091902947e-32,2.469494259196153e-37,1.1984539062538263e-20,4.055471162479783e-30,1.0048418450023308e-32,5.684803363473655e-22,6.034023898457293e-20,5.0745661838247186e-15,2.6484846232317147e-33,3.989669206457085e-28,5.727210102505107e-22,1.1065739137808096e-20,0.009989455024034843,0.01959257518836057,0.011901899627448044,0.6490506214613179,2.427316818632362e-14,1.165207913664059e-20,4.973187091903232e-32,2.469494259196223e-37,1.1984539062538263e-20,4.055471162479783e-30,1.0048418450023884e-32,5.6848033634734095e-22,6.034023898457077e-20,5.074566183824829e-15,2.6484846232313746e-33,3.989669206456714e-28,5.727210102505643e-22,1.1065739137808257e-20,0.25486172897892395,-3672.29333726558,7354.58667453116,7375.9226772738675,66086.51784257498,SR_Q_D_alphaCCC_V_WOB,0.005778207907217822,0.0017214903499000091,-0.6785788441247863,1.0,0.028868823564150086,sub_6
-69.94550578653445,-3.4550292227059214,14.499673754123881,6.780820290237088,182.49060375269391,191.17826325564386,181.46653688746133,186.30315951977173,185.0096386405994,175.37901052123095,196.37361102721587,191.7743004320073,180.08982733284833,176.6193998713298,188.03034612798373,186.20251249441708,200.50958000412444,,-69.94550578653434,-3.4550292227060524,14.499673754123785,6.780820290236463,182.49060375269448,191.17826325564343,181.46653688746127,186.30315951977158,185.00963864059952,175.37901052123095,196.373611027216,191.77430043200744,180.0898273328485,176.61939987132988,188.03034612798373,186.2025124944173,200.50958000412444,,1.3385038090148896e-21,0.2771649672525748,1.178160724057663e-08,0.6693911711714655,2.218515413906368e-160,5.257905541897666e-194,6.608157406077005e-157,2.4158879942001468e-206,1.8769604047957876e-103,2.5533528561090885e-106,6.710789242487464e-156,1.978864821130004e-122,4.073861684006157e-104,4.362094526320756e-155,1.8441380702763506e-106,5.838098894772391e-117,5.762980362529026e-114,,1.338503809015178e-21,0.2771649672525565,1.1781607240579131e-08,0.6693911711714937,2.218515413904097e-160,5.257905541900058e-194,6.608157406077005e-157,2.4158879942005593e-206,1.8769604047953063e-103,2.553352856108798e-106,6.710789242487464e-156,1.9788648211295538e-122,4.073861684005113e-104,4.362094526319763e-155,1.8441380702763506e-106,5.838098894771727e-117,5.762980362529026e-114,,0.14701025853435,-5377.980416553402,10765.960833106805,10790.163565753248,5801.22487307185,SR_Q_D_alphaCCC_V_WOB,0.22948995984260145,0.4024963519292205,-0.5217833766888846,0.8598296547120231,0.3434493956940285,sub_7
-57.15675050150816,11.594493799581695,21.86362202236125,36.36852595402514,366.9260055162374,336.2926139043415,321.74587505003916,281.92772962893775,251.60748099655285,273.12832730899504,322.98585255268506,313.2055742439396,316.4329953119681,302.2985221590053,317.98016095916716,334.69481043854364,288.8826868040614,,-57.15675050150828,11.594493799581151,21.863622022361174,36.36852595402527,366.92600551623724,336.292613904342,321.74587505003916,281.9277296289384,251.60748099655245,273.12832730899504,322.985852552685,313.20557424393945,316.4329953119684,302.2985221590054,317.9801609591674,334.69481043854273,288.8826868040616,,4.9504091558810994e-11,0.05557233103140738,7.629698902731373e-06,0.01780809788809673,1.277077647062598e-151,3.1273314623964507e-176,7.264158563550259e-203,1.844287853283694e-154,8.263285246333536e-79,3.439501317789638e-79,2.874440678939419e-169,4.821186027196273e-86,6.459215241645973e-106,9.382839062220422e-132,2.0959377222325345e-104,2.546794872159254e-95,3.647540396717845e-100,,4.9504091558805966e-11,0.05557233103141917,7.629698902731908e-06,0.01780809788809616,1.277077647062598e-151,3.1273314623948505e-176,7.264158563550259e-203,1.8442878532827494e-154,8.263285246334948e-79,3.439501317789638e-79,2.874440678939582e-169,4.821186027197647e-86,6.459215241646892e-106,9.382839062218818e-132,2.0959377222325345e-104,2.5467948721602688e-95,3.647540396717845e-100,,0.19233481267093835,-5274.234690721049,10558.469381442099,10582.082530416375,19069.17749834483,SR_Q_D_alphaCCC_V_WOB,0.1408471233377115,9.999999999999095e-05,-0.9953038367911968,1.0,0.31114611759206984,sub_8
-385.3880525942942,-12.75044142077106,-3.5817109204611954,6.660228416028232,27.18983069641081,35.731323148006155,41.15131298753619,39.377994706388385,23.94101918656509,50.41906054720458,44.483698881298096,45.05622546232453,46.43141385900711,38.0340726173954,41.260696044783415,39.68333263254071,32.99049868066618,24.43054811296976,-385.388052594294,-12.750441420771155,-3.5817109204613637,6.6602284160283025,27.189830696410823,35.73132314800637,41.151312987536436,39.37799470638817,23.941019186565104,50.4190605472046,44.48369888129811,45.05622546232453,46.43141385900715,38.034072617395346,41.26069604478357,39.683332632540704,32.99049868066612,24.430548112969745,1.6614886100725153e-17,1.6901690244580368e-05,0.12381723286026093,0.3928371599639683,0.22968026040712805,0.11328986498345404,0.06859241319946212,0.07721635848497324,0.2901756064822941,0.02600331700655389,0.04533344216992173,0.04724938926320823,0.04387837242750402,0.09200085893168143,0.06180599572596916,0.07004294413720208,0.13554688423517794,0.26547651650334114,1.6614886100721563e-17,1.6901690244578e-05,0.1238172328602436,0.3928371599639631,0.22968026040712736,0.11328986498344665,0.06859241319945568,0.07721635848497663,0.2901756064822917,0.02600331700655404,0.04533344216991986,0.04724938926320831,0.04387837242750391,0.09200085893168336,0.06180599572596676,0.07004294413720233,0.13554688423517833,0.2654765165033413,0.14417799665312958,-5155.466291685213,10320.932583370426,10345.005297856726,4819.282966557444,SR_Q_D_alphaCCC_V_WOB,0.04762287277216756,0.5359056974194939,-0.13336288040673885,0.17239596365544885,0.033030118019650195,sub_9
-87.16212303147378,-9.2206268911679,-0.14520486377002584,31.841070311652306,329.48444730065194,279.43216747674455,266.4984162566321,251.262935292629,235.04548862760825,258.6516766461799,234.1274316098,218.49209802412662,195.746753593392,226.65030989084676,207.8102127854649,203.75297033191967,204.10880737151183,212.87207199082732,-87.16212303147428,-9.220626891168042,-0.14520486377027986,31.841070311652945,329.48444730065125,279.4321674767449,266.49841625663225,251.26293529262887,235.0454886276083,258.65167664618014,234.12743160980037,218.4920980241265,195.74675359339162,226.6503098908466,207.81021278546532,203.75297033192047,204.1088073715108,212.87207199082744,3.928745582353435e-09,0.06311105653548259,0.9709188546328266,0.2033674531980472,9.426837448207146e-125,1.8728198820287473e-85,4.686852198701621e-89,1.2178905831357558e-101,3.5394208349892098e-71,2.5520301232669203e-78,6.999994259764136e-100,1.2020043668614073e-63,9.888538511462971e-48,1.551630370866896e-63,2.79101881102673e-91,5.969932835162105e-78,4.5760569360993075e-88,4.480282455540808e-83,3.9287455823524895e-09,0.06311105653547844,0.9709188546327756,0.20336745319803806,9.426837448205001e-125,1.8728198820284807e-85,4.6868521987012215e-89,1.2178905831359292e-101,3.5394208349892098e-71,2.552030123266484e-78,6.99999425976294e-100,1.2020043668614073e-63,9.888538511466221e-48,1.5516303708667185e-63,2.791018811025856e-91,5.969932835159385e-78,4.5760569361012626e-88,4.480282455540171e-83,0.2333493037990032,-5779.735637833794,11569.471275667587,11593.652572053972,14447.998892933716,SR_Q_D_alphaCCC_V_WOB,0.036487278794179394,0.10336533788887446,-0.28688706629170113,0.5192117665554852,0.16294206512168208,sub_10
