subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
sub_19,-5321.746665809919,-5319.895659705126,-5319.434933115742,-5315.990919618905,-5317.062742565398
sub_20,-5472.965904164113,-5472.98347209632,-5473.028867425601,-5472.1027636333365,-5472.3244989295945
sub_21,-5721.147657941711,-5720.979928385697,-5720.58744257573,-5720.507085748668,-5718.552177539026
sub_22,-5636.661121480487,-5622.677353822766,-5621.909702136316,-5618.556480054632,-5618.570741746539
sub_23,-5755.366897617249,-5753.180461580778,-5753.162672642846,-5751.796596512669,-5752.292497100354
sub_24,-5574.491371658252,-5568.6871564565745,-5568.978776403337,-5567.023799365363,-5567.770526626442
sub_25,-5196.105554158341,-5194.042564921911,-5192.03467367155,-5189.733173799633,-5189.669562167971
sub_26,-4794.881482214412,-4785.220578269265,-4785.146584831211,-4783.144906366223,-4782.860608298578
sub_28,-4982.858238472893,-4982.856813946831,-4982.781934886474,-4978.75276188299,-4979.336177140804
sub_29,-5316.597598135775,-5316.5984241666465,-5316.060928845852,-5314.612975202354,-5314.589184715745
sub_30,-6031.197006371202,-6027.194825474289,-6027.194825479443,-6025.870268158772,-6025.727257465513
sub_31,-5399.706485480238,-5397.428708136059,-5397.326858164422,-5394.1811587616885,-5394.80593636945
sub_32,-5490.174345191534,-5478.787682843887,-5477.917525592531,-5476.091004478438,-5475.172887864142
sub_33,-4831.464704295311,-4826.587388497889,-4826.332079498453,-4822.812699233381,-4821.029719707762
sub_34,-4755.18309676623,-4748.178800509915,-4739.476862955732,-4742.898079420545,-4733.860889736205
sub_35,-5578.173497672701,-5578.173716060588,-5577.1655778884315,-5574.538358792702,-5574.650954973534
sub_36,-4969.9697127702975,-4969.969900152401,-4969.888897560871,-4968.942568015015,-4968.070569107456
