subject,SR_Q_V_WOB,SR_Q_D_V_WOB,SR_Q_D_E_V_WOB,SR_Q_D_alphaCCC_V_WOB,SR_Q_D_E_alphaCCC_V_WOB
sub_19,0.07477979382407485,0.07886783679366992,0.07988256473843436,0.08743251199301094,0.08508953144895204
sub_20,0.1220441078500668,0.12201064979478116,0.12192418867094013,0.12368638623414295,0.12326478884471324
sub_21,0.1514264629770261,0.1517426948442424,0.15248221441959353,0.15263354277473573,0.1563067220637665
sub_22,0.12478408570034705,0.15231617565753494,0.15380224504882878,0.16026314275725906,0.16023576844058673
sub_23,0.12385501158991552,0.1279826983345398,0.12801620149579376,0.13058518783424433,0.12965349390586445
sub_24,0.2442241263597278,0.2536800614764904,0.2532078041374205,0.2563680434304506,0.2551625331780534
sub_25,0.17237136665072472,0.17597701120733011,0.17947127156144693,0.18345826628070028,0.18356818809185813
sub_26,0.07049096542249332,0.09218942872078296,0.09235364864618913,0.0967848896680964,0.09741250112490996
sub_28,0.1323944033150296,0.13239703854937468,0.13253554624386332,0.13995600211526382,0.13888547971534115
sub_29,0.08604403899370118,0.0860423687358951,0.08712855453780001,0.09004820199326269,0.09009609497193727
sub_30,0.1201174112316502,0.1276097936766799,0.12760979366707134,0.13007538587843248,0.13034117544211965
sub_31,0.15152473679527612,0.15567078408634738,0.1558556991176452,0.16154701641564462,0.16041970732062694
sub_32,0.2156169515748696,0.23461140025919006,0.2360438760524773,0.2390420291229146,0.2405446300855761
sub_33,0.105191285471546,0.11631202514684726,0.11689033197030953,0.12482371005763393,0.1288156585535809
sub_34,0.2749147253800651,0.2860887336937101,0.2997314418452013,0.2943991129889135,0.3083973073296147
sub_35,0.08981812915634467,0.08981768297734716,0.09187503897448868,0.09721470700122714,0.0969865071745667
sub_36,0.14251267059581274,0.1425123220539215,0.14266297850112186,0.14442109388360536,0.14603792406181235
