,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,1,775.4,1,1,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-0.5,0.5
1,0,1,0,446.5,1,2,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.15141575934414647,0.8485842406558535,0.5,-0.5,0.0,0.0
2,1,1,1,515.6,1,3,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8371348645400745,0.8485842406558535,0.15141575934414647,0.1628651354599255,0.8371348645400745,0.0,0.0,-0.1628651354599255,0.16286513545992554
3,0,1,0,552.6,1,4,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8371348645400745,0.8371348645400745,0.1628651354599255,0.04932069631270379,0.9506793036872963,0.16286513545992554,-0.1628651354599255,0.0,0.0
4,1,1,1,431.4,1,5,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9358765781085241,0.9506793036872963,0.04932069631270379,0.06412342189147589,0.9358765781085241,0.0,0.0,-0.06412342189147589,0.0641234218914759
5,1,1,0,870.3,0,6,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019418593234885775,0.9358765781085241,0.06412342189147589,0.019418593234885775,0.9805814067651142,0.0,0.0,0.9805814067651142,-0.9805814067651142
6,0,1,0,443.5,1,7,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9215600534330721,0.9215600534330721,0.0784399465669279,0.7030490433918177,0.29695095660818227,0.07843994656692788,-0.0784399465669279,0.0,0.0
7,0,1,1,808.4,0,8,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023754088144691328,0.9762459118553086,0.023754088144691328,0.6963798237410153,0.3036201762589847,-0.9762459118553086,0.9762459118553086,0.0,0.0
8,1,1,0,437.6,0,9,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6899296570343079,0.29563803210038053,0.7043619678996195,0.6899296570343079,0.31007034296569214,0.0,0.0,0.31007034296569214,-0.31007034296569214
9,1,1,1,698.5,1,10,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938990728605004,0.3023503752339691,0.6976496247660309,0.9061009271394996,0.0938990728605004,0.0,0.0,-0.9061009271394996,0.9061009271394996
10,0,1,0,433.3,1,11,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3088422490169926,0.3088422490169926,0.6911577509830074,0.2743959198505249,0.7256040801494751,0.6911577509830074,-0.6911577509830074,0.0,0.0
11,1,1,0,774.3,0,12,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2818059678837515,0.7906956486166308,0.2093043513833691,0.2818059678837515,0.7181940321162484,0.0,0.0,0.7181940321162485,-0.7181940321162484
12,0,1,0,653.3,1,13,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7811476443523816,0.7811476443523816,0.2188523556476183,0.7825082105413679,0.21749178945863212,0.2188523556476184,-0.2188523556476183,0.0,0.0
13,1,1,1,714.3,1,14,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22677087434267074,0.9337246087707213,0.06627539122927864,0.7732291256573293,0.22677087434267074,0.0,0.0,-0.7732291256573293,0.7732291256573293
14,1,1,1,689.3,1,15,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76584184958317,0.9194787663105403,0.08052123368945963,0.23415815041682997,0.76584184958317,0.0,0.0,-0.23415815041682997,0.23415815041682997
15,0,1,0,672.4,1,16,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9057008337251886,0.9057008337251886,0.0942991662748113,0.07091046830397035,0.9290895316960297,0.09429916627481139,-0.0942991662748113,0.0,0.0
16,0,1,1,1317.3,0,17,1,80,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028556759734040968,0.971443240265959,0.028556759734040968,0.08500406997250246,0.9149959300274976,-0.971443240265959,0.9714432402659591,0.0,0.0
17,1,1,1,572.3,1,18,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9013652378296443,0.2941836317692166,0.7058163682307833,0.09863476217035569,0.9013652378296443,0.0,0.0,-0.09863476217035569,0.09863476217035572
18,1,1,1,587.3,1,19,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9701302851764926,0.30094374521044465,0.6990562547895552,0.029869714823507393,0.9701302851764926,0.0,0.0,-0.029869714823507393,0.02986971482350742
19,1,1,1,488.3,1,20,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990954508897211,0.3074818202679858,0.6925181797320141,0.00904549110278896,0.990954508897211,0.0,0.0,-0.00904549110278896,0.00904549110278896
