,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,0,1,0,548.1,1,1,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,0,1,0,345.1,1,2,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.731962497687044,0.731962497687044,0.268037502312956,0.5,0.5,0.268037502312956,-0.268037502312956,0.0,0.0
2,0,1,1,438.1,0,3,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.14368820529233575,0.8563117947076643,0.14368820529233575,0.5,0.5,-0.8563117947076643,0.8563117947076643,0.0,0.0
3,1,1,1,515.3,1,4,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.45904734930913405,0.540952650690866,0.5,0.5,0.0,0.0,-0.5,0.5
4,1,1,1,404.1,1,5,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.731962497687044,0.48106589308878334,0.5189341069112167,0.268037502312956,0.731962497687044,0.0,0.0,-0.268037502312956,0.268037502312956
5,1,1,1,379.0,1,6,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8563117947076643,0.4912459780141816,0.5087540219858184,0.14368820529233575,0.8563117947076643,0.0,0.0,-0.14368820529233575,0.14368820529233572
6,1,1,1,408.0,1,7,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9229723446832221,0.4959526529934826,0.5040473470065173,0.07702765531677787,0.9229723446832221,0.0,0.0,-0.07702765531677787,0.07702765531677791
7,0,1,0,485.3,1,8,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.49812874381424876,0.49812874381424876,0.5018712561857512,0.04129260068026484,0.9587073993197351,0.5018712561857512,-0.5018712561857512,0.0,0.0
8,1,1,0,522.0,0,9,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.28792056696776475,0.7309593640186112,0.26904063598138883,0.28792056696776475,0.7120794330322353,0.0,0.0,0.7120794330322353,-0.7120794330322353
9,0,1,0,425.0,1,10,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6067820816651155,0.6067820816651155,0.3932179183348845,0.6182720146432278,0.38172798535677227,0.3932179183348845,-0.3932179183348845,0.0,0.0
