,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,0,1,0,503.8,1,1,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,0,1,0,604.8,1,2,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6941742977147167,0.6941742977147167,0.3058257022852833,0.5,0.5,0.3058257022852833,-0.3058257022852833,0.0,0.0
2,0,1,1,545.8,0,3,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18705872035657345,0.8129412796434266,0.18705872035657345,0.5,0.5,-0.8129412796434266,0.8129412796434266,0.0,0.0
3,1,1,1,534.7,1,4,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4972366755272956,0.5027633244727043,0.5,0.5,0.0,0.0,-0.5,0.5
4,0,1,0,621.6,1,5,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49781170167067673,0.49781170167067673,0.5021882983293232,0.3058257022852833,0.6941742977147167,0.5021882983293233,-0.5021882983293232,0.0,0.0
5,0,1,0,570.5,1,6,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6928358219679667,0.6928358219679667,0.3071641780320333,0.3462318502644803,0.6537681497355197,0.30716417803203333,-0.3071641780320333,0.0,0.0
6,0,1,1,451.6,0,7,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18787740092705674,0.8121225990729433,0.18787740092705674,0.3782297958516414,0.6217702041483586,-0.8121225990729433,0.8121225990729433,0.0,0.0
7,1,1,1,552.5,1,8,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5964307800011703,0.49673592840646486,0.5032640715935351,0.4035692199988296,0.5964307800011703,0.0,0.0,-0.4035692199988296,0.40356921999882966
8,0,1,0,445.6,1,9,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4974151560971289,0.4974151560971289,0.5025848439028712,0.24684368025373213,0.7531563197462678,0.5025848439028711,-0.5025848439028712,0.0,0.0
9,0,1,0,436.5,1,10,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6925932743109299,0.6925932743109299,0.3074067256890701,0.29952352428007845,0.7004764757199216,0.3074067256890701,-0.3074067256890701,0.0,0.0
