,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,1,539.2,1,1,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-0.5,0.5
1,1,1,0,504.1,0,2,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2549660527271187,0.5,0.5,0.2549660527271187,0.7450339472728813,0.0,0.0,0.7450339472728813,-0.7450339472728813
2,0,1,0,543.1,1,3,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.6200832706322583,0.3799167293677417,0.5,-0.5,0.0,0.0
3,0,1,0,442.0,1,4,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7450339472728813,0.7450339472728813,0.2549660527271187,0.620071262305195,0.3799287376948049,0.2549660527271187,-0.2549660527271187,0.0,0.0
4,0,1,0,359.0,1,5,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8699846239135043,0.8699846239135043,0.13001537608649577,0.6200592551789645,0.3799407448210354,0.13001537608649572,-0.13001537608649577,0.0,0.0
5,0,1,0,432.0,1,6,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9337009855307887,0.9337009855307887,0.0662990144692113,0.6200472492534467,0.3799527507465533,0.06629901446921127,-0.0662990144692113,0.0,0.0
6,1,1,1,457.0,1,7,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3799647554714787,0.9661920039621742,0.03380799603782587,0.6200352445285213,0.3799647554714787,0.0,0.0,-0.6200352445285213,0.6200352445285213
7,1,1,1,751.9,1,8,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6838241223017382,0.966145384761778,0.033854615238222086,0.31617587769826183,0.6838241223017382,0.0,0.0,-0.31617587769826183,0.31617587769826183
8,1,1,1,487.0,1,9,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8387717689914839,0.9660987702233018,0.033901229776698266,0.16122823100851613,0.8387717689914839,0.0,0.0,-0.16122823100851613,0.16122823100851613
9,0,1,1,461.9,0,10,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339478396537206,0.9660521603462795,0.0339478396537206,0.0822154512968348,0.9177845487031652,-0.9660521603462795,0.9660521603462794,0.0,0.0
10,1,1,1,442.8,1,11,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9177427702482949,0.4926210121039929,0.5073789878960071,0.08225722975170512,0.9177427702482949,0.0,0.0,-0.08225722975170512,0.08225722975170513
11,0,1,0,456.1,1,12,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4926217500027825,0.4926217500027825,0.5073782499972175,0.04194560235611993,0.95805439764388,0.5073782499972175,-0.5073782499972175,0.0,0.0
12,1,1,1,454.8,1,13,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9580085922041156,0.7412715407172324,0.25872845928276755,0.04199140779588432,0.9580085922041156,0.0,0.0,-0.04199140779588432,0.041991407795884395
13,1,1,1,407.8,1,14,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9785872330116572,0.7412474135631607,0.2587525864368393,0.021412766988342772,0.9785872330116572,0.0,0.0,-0.021412766988342772,0.021412766988342824
