,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,1,775.4,1,1,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-0.5,0.5
1,0,1,0,446.5,1,2,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.07633891615133948,0.9236610838486605,0.5,-0.5,0.0,0.0
2,1,1,1,515.6,1,3,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8877614229806966,0.9236610838486605,0.07633891615133948,0.11223857701930337,0.8877614229806966,0.0,0.0,-0.11223857701930337,0.1122385770193034
3,0,1,0,552.6,1,4,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8877614229806966,0.8877614229806966,0.11223857701930337,0.017136342640044516,0.9828636573599555,0.1122385770193034,-0.11223857701930337,0.0,0.0
4,1,1,1,431.4,1,5,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9419473631674038,0.9828636573599555,0.017136342640044516,0.05805263683259624,0.9419473631674038,0.0,0.0,-0.05805263683259624,0.058052636832596205
5,1,1,0,870.3,0,6,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008863350751055453,0.9419473631674038,0.05805263683259624,0.008863350751055453,0.9911366492489445,0.0,0.0,0.9911366492489445,-0.9911366492489445
6,0,1,0,443.5,1,7,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9044981825273708,0.9044981825273708,0.09550181747262927,0.8486754048769305,0.1513245951230695,0.0955018174726292,-0.09550181747262927,0.0,0.0
7,0,1,1,808.4,0,8,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014581010472687145,0.9854189895273129,0.014581010472687145,0.8191297863028317,0.1808702136971683,-0.9854189895273129,0.9854189895273129,0.0,0.0
8,1,1,0,437.6,0,9,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7920877672505697,0.15045163523092642,0.8495483647690736,0.7920877672505697,0.2079122327494303,0.0,0.0,0.20791223274943027,-0.2079122327494303
9,1,1,1,698.5,1,10,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031743589005393064,0.18007122558405805,0.8199287744159419,0.9682564109946069,0.031743589005393064,0.0,0.0,-0.9682564109946069,0.9682564109946069
10,0,1,0,433.3,1,11,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20718094828763875,0.20718094828763875,0.7928190517123612,0.14783128994382833,0.8521687100561717,0.7928190517123612,-0.7928190517123612,0.0,0.0
11,1,1,0,774.3,0,12,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17767291982513478,0.8789541057762912,0.12104589422370882,0.17767291982513478,0.8223270801748652,0.0,0.0,0.8223270801748652,-0.8223270801748652
