,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,0,689.3,0,1,0,80,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,1,1,1,454.3,1,2,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4260955723261377,0.5,0.5,0.5739044276738623,0.4260955723261377,0.0,0.0,-0.5739044276738623,0.5739044276738623
2,0,1,0,363.2,1,3,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.4459128292815224,0.5540871707184776,0.5,-0.5,0.0,0.0
3,0,1,0,704.2,1,4,0,80,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5739044276738623,0.5739044276738623,0.4260955723261377,0.45608489786139766,0.5439151021386023,0.4260955723261377,-0.4260955723261377,0.0,0.0
4,0,1,0,349.3,1,5,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6368851264881223,0.6368851264881223,0.3631148735118777,0.46434392536666674,0.5356560746333332,0.36311487351187766,-0.3631148735118777,0.0,0.0
5,0,1,0,358.1,1,6,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6905567203016467,0.6905567203016467,0.3094432796983533,0.4710496936965955,0.5289503063034044,0.3094432796983533,-0.3094432796983533,0.0,0.0
6,1,1,1,339.2,1,7,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5235056787287914,0.7362951772689061,0.2637048227310939,0.47649432127120855,0.5235056787287914,0.0,0.0,-0.47649432127120855,0.4764943212712086
7,1,1,1,410.3,1,8,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5939357589355797,0.6918556046984747,0.30814439530152526,0.4060642410644203,0.5939357589355797,0.0,0.0,-0.4060642410644203,0.4060642410644203
8,0,1,0,343.3,1,9,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6557736957632821,0.6557736957632821,0.34422630423671785,0.34604435039504583,0.6539556496049541,0.34422630423671785,-0.34422630423671785,0.0,0.0
9,0,1,0,306.2,1,10,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7066533917730891,0.7066533917730891,0.293346608226911,0.3749984887838345,0.6250015112161654,0.29334660822691094,-0.293346608226911,0.0,0.0
10,1,1,1,343.1,1,11,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601492721094805,0.7500126181552462,0.2499873818447539,0.39850727890519494,0.601492721094805,0.0,0.0,-0.39850727890519494,0.398507278905195
11,0,1,0,284.1,1,12,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7029932332636545,0.7029932332636545,0.29700676673634563,0.3396043741624816,0.6603956258375183,0.2970067667363455,-0.29700676673634563,0.0,0.0
12,0,1,0,319.2,1,13,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7468934634854824,0.7468934634854824,0.25310653651451775,0.36976966630585245,0.6302303336941475,0.25310653651451764,-0.25310653651451775,0.0,0.0
