,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,1,0,531.6,0,1,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,0,1,0,434.5,1,2,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.6759158331122602,0.3240841668877398,0.5,-0.5,0.0,0.0
2,0,1,1,401.6,0,3,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3240841668877398,0.6759158331122602,0.3240841668877398,0.6759158331122602,0.3240841668877398,-0.6759158331122602,0.6759158331122602,0.0,0.0
3,1,1,1,558.5,1,4,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3240841668877398,0.43810723932083884,0.5618927606791612,0.6759158331122602,0.3240841668877398,0.0,0.0,-0.6759158331122602,0.6759158331122602
4,1,1,0,435.5,0,5,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.43810723932083884,0.43810723932083884,0.5618927606791612,0.43810723932083884,0.5618927606791612,0.0,0.0,0.5618927606791612,-0.5618927606791612
5,1,1,0,496.5,0,6,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6357989055500838,0.43810723932083884,0.5618927606791612,0.6357989055500838,0.3642010944499162,0.0,0.0,0.3642010944499162,-0.3642010944499162
6,0,1,1,419.3,0,7,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5618927606791612,0.43810723932083884,0.5618927606791612,0.7639363834511917,0.23606361654880825,-0.43810723932083884,0.43810723932083884,0.0,0.0
7,0,1,0,436.4,1,8,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.28396723932556334,0.28396723932556334,0.7160327606744367,0.7639363834511917,0.23606361654880825,0.7160327606744367,-0.7160327606744367,0.0,0.0
8,0,1,1,359.3,0,9,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4641097614150063,0.5358902385849937,0.4641097614150063,0.7639363834511917,0.23606361654880825,-0.5358902385849937,0.5358902385849937,0.0,0.0
9,1,1,0,420.4,0,10,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7639363834511917,0.3473470830301796,0.6526529169698205,0.7639363834511917,0.23606361654880825,0.0,0.0,0.23606361654880825,-0.23606361654880825
10,0,1,1,403.3,0,11,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6526529169698205,0.3473470830301796,0.6526529169698205,0.8469910389965453,0.15300896100345476,-0.3473470830301796,0.34734708303017947,0.0,0.0
11,0,1,1,442.5,0,12,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7748606199505554,0.22513938004944464,0.7748606199505554,0.8469910389965453,0.15300896100345476,-0.22513938004944464,0.22513938004944456,0.0,0.0
12,1,1,0,393.3,0,13,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8469910389965453,0.14592821683389298,0.8540717831661071,0.8469910389965453,0.15300896100345476,0.0,0.0,0.15300896100345474,-0.15300896100345476
13,1,1,0,430.3,0,14,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9008244366936734,0.14592821683389298,0.8540717831661071,0.9008244366936734,0.0991755633063266,0.0,0.0,0.0991755633063266,-0.0991755633063266
14,1,1,1,395.2,1,15,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0642824596195063,0.14592821683389298,0.8540717831661071,0.9357175403804937,0.0642824596195063,0.0,0.0,-0.9357175403804937,0.9357175403804937
15,0,1,1,450.2,0,16,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8540717831661071,0.14592821683389298,0.8540717831661071,0.6065024790329145,0.3934975209670854,-0.14592821683389298,0.1459282168338929,0.0,0.0
16,0,1,1,359.2,0,17,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9054139508439487,0.0945860491560513,0.9054139508439487,0.6065024790329145,0.3934975209670854,-0.0945860491560513,0.09458604915605129,0.0,0.0
17,0,1,1,428.2,0,18,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9386923181201167,0.06130768187988338,0.9386923181201167,0.6065024790329145,0.3934975209670854,-0.06130768187988338,0.061307681879883336,0.0,0.0
18,1,1,1,385.2,1,19,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3934975209670854,0.03973769801172117,0.9602623019882789,0.6065024790329145,0.3934975209670854,0.0,0.0,-0.6065024790329145,0.6065024790329145
19,1,1,0,438.1,0,20,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3931157012654619,0.03973769801172117,0.9602623019882789,0.3931157012654619,0.606884298734538,0.0,0.0,0.6068842987345381,-0.606884298734538
20,1,1,0,475.1,0,21,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6066368152947341,0.03973769801172117,0.9602623019882789,0.6066368152947341,0.3933631847052659,0.0,0.0,0.3933631847052659,-0.3933631847052659
21,1,1,0,434.1,0,22,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7450344400009716,0.03973769801172117,0.9602623019882789,0.7450344400009716,0.25496555999902837,0.0,0.0,0.25496555999902837,-0.25496555999902837
22,1,1,1,551.1,1,23,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1652606021947023,0.03973769801172117,0.9602623019882789,0.8347393978052977,0.1652606021947023,0.0,0.0,-0.8347393978052977,0.8347393978052977
23,0,1,1,472.1,0,24,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9602623019882789,0.03973769801172117,0.9602623019882789,0.541051644612207,0.458948355387793,-0.03973769801172117,0.03973769801172111,0.0,0.0
24,0,1,0,613.0,1,25,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.025756717508330494,0.025756717508330494,0.9742432824916696,0.541051644612207,0.458948355387793,0.9742432824916695,-0.9742432824916696,0.0,0.0
25,1,1,0,446.1,0,26,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.541051644612207,0.3685263548954207,0.6314736451045793,0.541051644612207,0.458948355387793,0.0,0.0,0.458948355387793,-0.458948355387793
26,1,1,0,400.9,0,27,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7025242091992976,0.3685263548954207,0.6314736451045793,0.7025242091992976,0.2974757908007024,0.0,0.0,0.2974757908007024,-0.2974757908007024
27,1,1,0,439.9,0,28,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8071856123381655,0.3685263548954207,0.6314736451045793,0.8071856123381655,0.1928143876618344,0.0,0.0,0.19281438766183445,-0.1928143876618344
28,1,1,0,414.8,0,29,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8750238196212894,0.3685263548954207,0.6314736451045793,0.8750238196212894,0.12497618037871058,0.0,0.0,0.12497618037871061,-0.12497618037871058
29,0,1,1,475.9,0,30,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6314736451045793,0.3685263548954207,0.6314736451045793,0.9189943974023074,0.08100560259769263,-0.3685263548954207,0.36852635489542074,0.0,0.0
30,1,1,0,387.0,0,31,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9189943974023074,0.23886711340491587,0.7611328865950842,0.9189943974023074,0.08100560259769263,0.0,0.0,0.08100560259769263,-0.08100560259769263
31,0,1,1,415.7,0,32,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7611328865950842,0.23886711340491587,0.7611328865950842,0.9474947335377749,0.052505266462225086,-0.23886711340491587,0.23886711340491584,0.0,0.0
32,1,1,0,422.7,0,33,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9474947335377749,0.15482609888942284,0.8451739011105772,0.9474947335377749,0.052505266462225086,0.0,0.0,0.052505266462225086,-0.052505266462225086
33,1,1,0,419.8,0,34,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.965967748922742,0.15482609888942284,0.8451739011105772,0.965967748922742,0.034032251077258005,0.0,0.0,0.03403225107725805,-0.034032251077258005
34,0,1,1,544.8,0,35,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8451739011105772,0.15482609888942284,0.8451739011105772,0.9779413725246249,0.02205862747537509,-0.15482609888942284,0.15482609888942278,0.0,0.0
35,0,1,1,427.8,0,36,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8996466254578852,0.10035337454211482,0.8996466254578852,0.9779413725246249,0.02205862747537509,-0.10035337454211482,0.10035337454211479,0.0,0.0
36,0,1,1,396.7,0,37,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9349541204342908,0.06504587956570919,0.9349541204342908,0.9779413725246249,0.02205862747537509,-0.06504587956570919,0.06504587956570917,0.0,0.0
37,0,1,0,407.7,1,38,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04216067937706624,0.04216067937706624,0.9578393206229338,0.9779413725246249,0.02205862747537509,0.9578393206229338,-0.9578393206229338,0.0,0.0
38,0,1,1,366.8,0,39,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6208411164728043,0.3791588835271957,0.6208411164728043,0.9779413725246249,0.02205862747537509,-0.3791588835271957,0.37915888352719573,0.0,0.0
39,0,1,1,447.6,0,40,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7542412182280064,0.24575878177199353,0.7542412182280064,0.9779413725246249,0.02205862747537509,-0.24575878177199353,0.24575878177199362,0.0,0.0
40,1,1,0,376.5,0,41,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9779413725246249,0.15929306009184474,0.8407069399081553,0.9779413725246249,0.02205862747537509,0.0,0.0,0.022058627475375125,-0.02205862747537509
41,0,1,0,405.6,1,42,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.15929306009184474,0.15929306009184474,0.8407069399081553,0.9857022961839121,0.014297703816087887,0.8407069399081553,-0.8407069399081553,0.0,0.0
42,1,1,0,490.5,0,43,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9857022961839121,0.4550803835662488,0.5449196164337512,0.9857022961839121,0.014297703816087887,0.0,0.0,0.014297703816087859,-0.014297703816087887
43,1,1,1,473.5,1,44,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.009267318859289001,0.4550803835662488,0.5449196164337512,0.990732681140711,0.009267318859289001,0.0,0.0,-0.990732681140711,0.990732681140711
44,0,1,1,490.6,0,45,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5449196164337512,0.4550803835662488,0.5449196164337512,0.6421615511518881,0.3578384488481119,-0.4550803835662488,0.4550803835662488,0.0,0.0
45,0,1,1,447.4,0,46,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7050313060499585,0.2949686939500416,0.7050313060499585,0.6421615511518881,0.3578384488481119,-0.2949686939500416,0.29496869395004155,0.0,0.0
46,1,1,0,426.4,0,47,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6421615511518881,0.19118936687352783,0.8088106331264722,0.6421615511518881,0.3578384488481119,0.0,0.0,0.3578384488481119,-0.3578384488481119
