,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,0,1,1,651.9,0,1,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,0,1,0,516.9,1,2,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05509039664457638,0.05509039664457638,0.9449096033554236,0.5,0.5,0.9449096033554236,-0.9449096033554236,0.0,0.0
2,0,1,0,459.8,1,3,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8958891103157608,0.8958891103157608,0.1041108896842392,0.5,0.5,0.1041108896842392,-0.1041108896842392,0.0,0.0
3,1,1,0,502.8,0,4,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.9885289795845511,0.011471020415448951,0.5,0.5,0.0,0.0,0.5,-0.5
4,0,1,0,481.7,1,5,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9885289795845511,0.9885289795845511,0.011471020415448951,0.9449096033554236,0.05509039664457638,0.011471020415448896,-0.011471020415448951,0.0,0.0
5,0,1,0,384.7,1,6,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9987361138707898,0.9987361138707898,0.0012638861292102316,0.9449096033554236,0.05509039664457638,0.0012638861292102455,-0.0012638861292102316,0.0,0.0
6,1,1,1,499.9,1,7,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05509039664457638,0.9998607440236564,0.0001392559763435399,0.9449096033554236,0.05509039664457638,0.0,0.0,-0.9449096033554236,0.9449096033554236
7,1,1,0,594.6,0,8,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1041108896842392,0.9998607440236564,0.0001392559763435399,0.1041108896842392,0.8958891103157608,0.0,0.0,0.8958891103157608,-0.8958891103157608
8,1,1,0,531.7,0,9,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9012902271262961,0.9998607440236564,0.0001392559763435399,0.9012902271262961,0.09870977287370386,0.0,0.0,0.09870977287370386,-0.09870977287370386
9,1,1,1,524.7,1,10,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010875921080616788,0.9998607440236564,0.0001392559763435399,0.9891240789193833,0.010875921080616788,0.0,0.0,-0.9891240789193833,0.9891240789193833
10,0,1,0,449.6,1,11,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998607440236564,0.9998607440236564,0.0001392559763435399,0.10898247567674013,0.8910175243232599,0.00013925597634356635,-0.0001392559763435399,0.0,0.0
11,0,1,0,370.5,1,12,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999846566660562,0.9999846566660562,1.5343333943786705e-05,0.10898247567674013,0.8910175243232599,1.5343333943818038e-05,-1.5343333943786705e-05,0.0,0.0
12,0,1,0,383.5,1,13,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999983094592944,0.9999983094592944,1.6905407056268034e-06,0.10898247567674013,0.8910175243232599,1.6905407056455601e-06,-1.6905407056268034e-06,0.0,0.0
13,1,1,1,408.5,1,14,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8910175243232599,0.999999813734884,1.8626511603356527e-07,0.10898247567674013,0.8910175243232599,0.0,0.0,-0.10898247567674013,0.10898247567674013
14,0,1,0,407.4,1,15,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999813734884,0.999999813734884,1.8626511603356527e-07,0.012007775624679029,0.987992224375321,1.8626511599784124e-07,-1.8626511603356527e-07,0.0,0.0
15,1,1,1,404.5,1,16,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987992224375321,0.9999999794771618,2.052283824667431e-08,0.012007775624679029,0.987992224375321,0.0,0.0,-0.012007775624679029,0.012007775624679029
16,1,1,1,339.4,1,17,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9986769737560347,0.9999999794771618,2.052283824667431e-08,0.001323026243965287,0.9986769737560347,0.0,0.0,-0.001323026243965287,0.0013230262439652973
17,1,1,1,344.4,1,18,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998542279188976,0.9999999794771618,2.052283824667431e-08,0.00014577208110246346,0.9998542279188976,0.0,0.0,-0.00014577208110246346,0.00014577208110244655
18,0,1,1,621.3,0,19,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.052283824667431e-08,0.9999999794771618,2.052283824667431e-08,1.6061283535280128e-05,0.9999839387164647,-0.9999999794771618,0.9999999794771618,0.0,0.0
19,0,1,0,440.4,1,20,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11018079102793021,0.11018079102793021,0.8898192089720698,1.6061283535280128e-05,0.9999839387164647,0.8898192089720698,-0.8898192089720698,0.0,0.0
20,1,1,1,381.3,1,21,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999839387164647,0.901959013671531,0.09804098632846903,1.6061283535280128e-05,0.9999839387164647,0.0,0.0,-1.6061283535280128e-05,1.6061283535262483e-05
21,0,1,0,398.3,1,22,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901959013671531,0.901959013671531,0.09804098632846903,1.7696449611591726e-06,0.9999982303550389,0.09804098632846903,-0.09804098632846903,0.0,0.0
22,1,1,1,397.5,1,23,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999982303550389,0.9891977663514783,0.010802233648521703,1.7696449611591726e-06,0.9999982303550389,0.0,0.0,-1.7696449611591726e-06,1.769644961124861e-06
23,0,1,0,636.3,1,24,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9891977663514783,0.9891977663514783,0.010802233648521703,1.9498088566066966e-07,0.9999998050191143,0.01080223364852173,-0.010802233648521703,0.0,0.0
24,1,1,0,593.4,0,25,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9498088566066966e-07,0.9988098013273111,0.0011901986726888993,1.9498088566066966e-07,0.9999998050191143,0.0,0.0,0.9999998050191143,-0.9999998050191143
25,0,1,0,598.3,1,26,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9988098013273111,0.9988098013273111,0.0011901986726888993,0.889819228193996,0.11018077180600405,0.0011901986726888802,-0.0011901986726888993,0.0,0.0
26,1,1,1,427.3,1,27,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11018077180600405,0.9998688629660715,0.00013113703392855953,0.889819228193996,0.11018077180600405,0.0,0.0,-0.889819228193996,0.889819228193996
27,1,1,1,424.3,1,28,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9019590115536439,0.9998688629660715,0.00013113703392855953,0.09804098844635611,0.9019590115536439,0.0,0.0,-0.09804098844635611,0.09804098844635611
28,1,1,1,333.3,1,29,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9891977661181278,0.9998688629660715,0.00013113703392855953,0.01080223388187218,0.9891977661181278,0.0,0.0,-0.01080223388187218,0.01080223388187218
29,1,1,1,452.2,1,30,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9988098013016004,0.9998688629660715,0.00013113703392855953,0.0011901986983996402,0.9988098013016004,0.0,0.0,-0.0011901986983996402,0.001190198698399647
30,1,1,1,369.2,1,31,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998688629632386,0.9998688629660715,0.00013113703392855953,0.00013113703676138943,0.9998688629632386,0.0,0.0,-0.00013113703676138943,0.00013113703676137511
31,1,1,1,516.1,1,32,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999855512172601,0.9998688629660715,0.00013113703392855953,1.4448782739958673e-05,0.9999855512172601,0.0,0.0,-1.4448782739958673e-05,1.4448782739928667e-05
32,0,1,0,603.1,1,33,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998688629660715,0.9998688629660715,0.00013113703392855953,1.5919783443512641e-06,0.9999984080216556,0.00013113703392853004,-0.00013113703392855953,0.0,0.0
33,0,1,0,506.1,1,34,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999855512175722,0.9999855512175722,1.444878242783523e-05,1.5919783443512641e-06,0.9999984080216556,1.4448782427844975e-05,-1.444878242783523e-05,0.0,0.0
34,1,1,1,575.1,1,35,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999984080216556,0.99999840802169,1.5919783099612555e-06,1.5919783443512641e-06,0.9999984080216556,0.0,0.0,-1.5919783443512641e-06,1.5919783443729685e-06
35,0,1,0,436.1,1,36,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99999840802169,0.99999840802169,1.5919783099612555e-06,1.7540543687977423e-07,0.9999998245945632,1.5919783099560547e-06,-1.5919783099612555e-06,0.0,0.0
36,1,1,1,385.1,1,37,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999998245945632,0.9999998245945669,1.7540543309065578e-07,1.7540543687977423e-07,0.9999998245945632,0.0,0.0,-1.7540543687977423e-07,1.7540543684191334e-07
37,0,1,1,558.0,0,38,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7540543309065578e-07,0.9999998245945669,1.7540543309065578e-07,1.9326310182643924e-08,0.9999999806736898,-0.9999998245945669,0.9999998245945669,0.0,0.0
38,0,1,1,450.9,0,39,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889819226037157,0.11018077396284298,0.889819226037157,1.9326310182643924e-08,0.9999999806736898,-0.11018077396284298,0.11018077396284298,0.0,0.0
39,0,1,0,458.0,1,40,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012139805080438867,0.012139805080438867,0.9878601949195611,1.9326310182643924e-08,0.9999999806736898,0.9878601949195611,-0.9878601949195611,0.0,0.0
40,0,1,1,577.1,0,41,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.10884321993501433,0.8911567800649857,0.10884321993501433,1.9326310182643924e-08,0.9999999806736898,-0.8911567800649857,0.8911567800649857,0.0,0.0
41,1,1,1,374.0,1,42,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999806736898,0.09818836097256711,0.9018116390274329,1.9326310182643924e-08,0.9999999806736898,0.0,0.0,-1.9326310182643924e-08,1.9326310218836795e-08
42,0,1,1,394.9,0,43,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9018116390274329,0.09818836097256711,0.9018116390274329,2.1293881872759373e-09,0.9999999978706118,-0.09818836097256711,0.09818836097256711,0.0,0.0
43,0,1,1,387.9,0,44,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9891815284962808,0.010818471503719132,0.9891815284962808,2.1293881872759373e-09,0.9999999978706118,-0.010818471503719132,0.010818471503719174,0.0,0.0
44,0,1,1,384.8,0,45,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9988080122275441,0.0011919877724558669,0.9988080122275441,2.1293881872759373e-09,0.9999999978706118,-0.0011919877724558669,0.0011919877724558825,0.0,0.0
45,1,1,0,575.9,0,46,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1293881872759373e-09,0.00013133415836015755,0.9998686658416398,2.1293881872759373e-09,0.9999999978706118,0.0,0.0,0.9999999978706118,-0.9999999978706118
46,1,1,1,646.9,1,47,1,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1101807930545351,0.00013133415836015755,0.9998686658416398,0.8898192069454649,0.1101807930545351,0.0,0.0,-0.8898192069454649,0.8898192069454649
47,0,1,0,511.8,1,48,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00013133415836015755,0.00013133415836015755,0.9998686658416398,0.09804098610517609,0.9019590138948239,0.9998686658416398,-0.9998686658416398,0.0,0.0
48,0,1,0,564.9,1,49,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8898336772126013,0.8898336772126013,0.11016632278739869,0.09804098610517609,0.9019590138948239,0.11016632278739869,-0.11016632278739869,0.0,0.0
